strata,patch,time,R_eff
1,1,1,3.3333018169093998
2,1,1,5.253289617887926
3,1,1,2.606876501110844
1,2,1,3.3333572716364936
2,2,1,5.253253357894006
3,2,1,2.6069082981639826
1,3,1,3.3333461769963106
2,3,1,5.253264229434036
3,3,1,2.606887383153003
1,4,1,3.333363909005688
2,4,1,5.253261946517525
3,4,1,2.6069133483361684
1,5,1,3.333307108639647
2,5,1,5.253226781890388
3,5,1,2.6068778708442326
1,1,2,3.3332607954196862
2,1,2,5.253241356728494
3,1,2,2.606850838499033
1,2,2,3.33332656820317
2,2,2,5.253199068925932
3,2,2,2.606887232218348
1,3,2,3.333313556301121
2,3,2,5.253211624468324
3,3,2,2.606864933790169
1,4,2,3.333335053258196
2,4,2,5.253209361046154
3,4,2,2.6068935581422656
1,5,2,3.333266963767403
2,5,2,5.253168883505699
3,5,2,2.6068521890644782
1,1,3,3.33320902387565
2,1,3,5.253179247490515
3,1,3,2.6068185222680205
1,2,3,3.333286461961105
2,2,3,5.253130115198784
3,2,3,2.606859970714198
1,3,3,3.3332713370910385
2,3,3,5.2531445640523
3,3,3,2.606836291414295
1,4,3,3.333297215987559
2,4,3,5.2531423783567615
3,4,3,2.606867820687594
1,5,3,3.3332161558965976
2,5,3,5.253095933537658
3,5,3,2.606819823554616
1,1,4,3.33314345246631
2,1,4,5.253099226632744
3,1,4,2.6067776483072276
1,2,4,3.3332341520685502
2,2,4,5.253042267696652
3,2,4,2.606824700424526
1,3,4,3.3332166947269415
2,3,4,5.253058862353287
3,3,4,2.606799647631371
1,4,4,3.3332476898760035
2,4,4,5.253056824732179
3,4,4,2.6068343740267883
1,5,4,3.3331516490592703
2,5,4,5.253003625586878
3,5,4,2.6067788640110368
1,1,5,3.333060311247966
2,1,5,5.252996211460679
3,1,5,2.6067258559846964
1,2,5,3.3331661154367804
2,2,5,5.252930267252868
3,2,5,2.6067791529622317
1,3,5,3.333146081971312
2,3,5,5.252949304567732
3,3,5,2.6067527298200455
1,4,5,3.33318305673203
2,4,5,5.252947500513355
3,4,5,2.60679100644546
1,5,5,3.333069686002344
2,5,5,5.252886621751011
3,5,5,2.606726943709068
1,1,6,3.3329548626472327
2,1,6,5.252863763233476
3,1,6,2.6066601762504757
1,2,6,3.333077873846455
2,2,6,5.252787483022597
3,2,6,2.606720454776774
1,3,6,3.333054997665424
2,3,6,5.2528093071729955
3,3,6,2.606692658272745
1,4,6,3.3330989582789874
2,4,6,5.252807840444932
3,4,6,2.6067349081367883
1,5,6,3.332965541612637
2,5,6,5.252738208536043
3,5,6,2.606661086943682
1,1,7,3.3328211049312717
2,1,7,5.252693675518609
3,1,7,2.6065768448530147
1,2,7,3.3329637090963122
2,2,7,5.252605493673504
3,2,7,2.6066449439317094
1,3,7,3.3329377016027206
2,3,7,5.252630501083013
3,3,7,2.606615765880126
1,4,7,3.33298981590371
2,4,7,5.252629497486522
3,4,7,2.6066624904914293
1,5,7,3.332833226960376
2,5,7,5.252549874977851
3,5,7,2.6065775216901588
1,1,8,3.3326514168108448
2,1,8,5.252475474450614
3,1,8,2.6064710767427144
1,2,8,3.3328163157583357
2,2,8,5.252373580771851
3,2,8,2.60654794781487
1,3,8,3.3327868669233394
2,3,8,5.252402226723949
3,3,8,2.6065173768396552
1,4,8,3.33284848790635
2,4,8,5.252401838699901
3,4,8,2.6065691662982777
1,5,8,3.332665134177095
2,5,8,5.252310803394717
3,5,8,2.6064714535881057
1,1,9,3.332436117689382
2,1,9,5.252195796653793
3,1,9,2.6063367866358154
1,2,9,3.332626367963683
2,2,9,5.252078100300956
3,2,9,2.6064235065448975
1,3,9,3.3325931467283705
2,3,9,5.252110907037641
3,3,9,2.606391530315612
1,4,9,3.332665840753761
2,4,9,5.252111319113351
3,4,9,2.606449075557813
1,5,9,3.332451596861227
2,5,9,5.2520072386184715
3,5,9,2.606336786176132
1,1,10,3.3321629149307856
2,1,10,5.251837603971181
3,1,10,2.6061662374135146
1,2,10,3.332381972527429
2,2,10,5.251701691133059
3,2,10,2.606264023825807
1,3,10,3.3323446272741224
2,3,10,5.251739257344635
3,3,10,2.606230631370827
1,4,10,3.3324302069345633
2,4,10,5.251740692526494
3,4,10,2.606294738808579
1,5,10,3.3321803374335577
2,5,10,5.251621694395667
3,5,10,2.6061657689883133
1,1,11,3.331816206357965
2,1,11,5.251379188529771
3,1,11,2.6059495954706673
1,2,11,3.332067977086085
2,2,11,5.251222273615709
3,2,11,2.6060598245226063
1,3,11,3.3320261364219927
2,3,11,5.251265285325842
3,3,11,2.6060250086869643
1,4,11,3.332126698327106
2,4,11,5.251268012564414
3,4,11,2.6060966173954037
1,5,11,3.331835769665118
2,5,11,5.251131949994675
3,5,11,2.6059485525796267
1,1,12,3.331376200951669
2,1,12,5.250792913248992
3,1,12,2.6056743684095607
1,2,12,3.3316650964443846
2,2,12,5.250611783104752
3,2,12,2.605798594498514
1,3,12,3.3316183705290006
2,3,12,5.250661026023263
3,3,12,2.6057623546959543
1,4,12,3.331736338413574
2,4,12,5.250665368917524
3,4,12,2.605842556327271
1,5,12,3.331398119349902
2,5,12,5.250509781754357
3,5,12,2.6056726258489786
1,1,13,3.330817813509529
2,1,13,5.250043621212484
3,1,13,2.605324695306608
1,2,13,3.331148812943397
2,2,13,5.249834571712708
3,2,13,2.605464673031127
1,3,13,3.3310967955841875
2,3,13,5.24989094516421
3,3,13,2.6054270184536894
1,4,13,3.3312349691989485
2,4,13,5.249897292092071
3,4,13,2.6055170801007925
1,5,13,3.3308423188810328
2,5,13,5.249719362790949
3,5,13,2.6053221058753517
1,1,14,3.3301092804201775
2,1,14,5.24908663281734
3,1,14,2.604880453315771
1,2,14,3.3304879979015576
2,2,14,5.248845397150438
3,2,14,2.605038161597913
1,3,14,3.3304302696468957
2,3,14,5.248909929693208
3,3,14,2.604999115038449
1,4,14,3.330591879853959
2,4,14,5.248918745563969
3,4,14,2.6051005052992955
1,5,14,3.3301366228790257
2,5,14,5.248715249735102
3,5,14,2.6048768440268035
1,1,15,3.3292104344304305
2,1,15,5.247865232889789
3,1,15,2.6043161368530314
1,2,15,3.3296431917497027
2,2,15,5.247586900923464
3,2,15,2.6044938052432216
1,3,15,3.329579324222904
2,3,15,5.247660767752236
3,3,15,2.6044534076761616
1,4,15,3.3297680945850106
2,4,15,5.247672607574025
3,4,15,2.6045678261653054
1,5,15,3.329240882738511
2,5,15,5.247439858799342
3,5,15,2.6043113045876294
1,1,16,3.3280705673526145
2,1,16,5.246307531811937
3,1,16,2.6035994573612693
1,2,16,3.3285644713799174
2,2,16,5.245986460120024
3,2,16,2.603799594438007
1,3,16,3.328494033118751
2,3,16,5.246071002297441
3,3,16,2.6037579104958866
1,4,16,3.328714248020266
2,4,16,5.246086526735842
3,4,16,2.603887321003724
1,5,16,3.328104409024093
2,5,16,5.245820315498247
3,5,16,2.6035931639080054
1,1,17,3.3266258027024023
2,1,17,5.244322566493289
3,1,17,2.602689603244703
1,2,17,3.327188826065977
2,2,17,5.243952278969262
3,2,17,2.602915026873158
1,3,17,3.327111390151145
2,3,17,5.244049024447359
3,3,17,2.6028721513491795
1,4,17,3.327367969081444
2,4,17,5.244069017513203
