	t	H	expr	parvals	sse	bic	Hp
59000	59000	-93.3341094392169	((((((_a1_ * T) / _a0_) / _a3_) * pow2(T)) + (_a3_ + T)) * T)	{'France': {'_a0_': 4315.26763762683, '_a1_': -73841830462520.27, '_a3_': -83.41923486886466, '_a2_': 1.0, '_a4_': 1.0}}	{'France': 0.4661754270323494}	-259.310202967439	36.32099204450286
52000	52000	-80.6515260456747	((((((_a4_ * P) * (-(_a4_) / _a3_)) + -(_a0_)) * pow2(exp((_a1_ ** (_a1_ ** P))))) + ((T / sqrt(_a1_)) + _a1_)) / (_a4_ * _a1_))	{'France': {'_a0_': -2508738158100.393, '_a1_': 2.7822945034238803e-31, '_a3_': 2.507113906833375e+75, '_a4_': -1.7158711567604247e+44, '_a2_': 1.0}}	{'France': 0.2406176613957678}	-325.402124766887	82.04953633776859
46000	46000	-74.089687722109	(((((T * ((_a2_ + pow2(sqrt(_a2_))) * P)) + _a2_) / pow2(exp(((_a3_ * (_a0_ + _a0_)) * (_a1_ ** P))))) + ((T / _a1_) / _a4_)) / (P + _a0_))	{'France': {'_a0_': 0.041476613836563474, '_a1_': 2.7894195365623967e-32, '_a2_': -0.033156350228067975, '_a3_': 999.5229299293817, '_a4_': -7.650776665936266e+30}}	{'France': 0.23091675356472352}	-325.132552986919	88.47658877135075
63000	63000	-129.583511928679	(((((T + _a0_) + P) * P) + _a4_) / _a2_)	{'France': {'_a0_': -0.25929907043755945, '_a2_': 0.05208180678377213, '_a4_': 0.0004481005765073536, '_a1_': 1.0, '_a3_': 1.0}}	{'France': 0.2914563029446463}	-309.565099020054	25.199037581348737
34000	34000	-104.263133897168	(((((T + _a4_) * (T * T)) + -(_a2_)) * _a4_) / _a2_)	{'France': {'_a2_': -7.161301476083775e-10, '_a4_': -0.006193898242730365, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0}}	{'France': 0.43655153799675556}	-271.008178521887	31.24095536377536
35000	35000	-104.257886839908	(((((T + _a4_) * (T * T)) + pow2(_a2_)) * _a4_) / _a2_)	{'France': {'_a2_': -7.45226168685271e-10, '_a4_': -0.006219581413362556, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0}}	{'France': 0.43682796326442686}	-270.940447359006	31.212336839595363
58000	58000	-107.824476472078	(((((_a0_ * T) + (T * T)) * T) / _a1_) + _a1_)	{'France': {'_a0_': -0.0062195809171080125, '_a1_': 1.198192613775489e-07, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0}}	{'France': 0.43682795492599513}	-270.940449401486	27.64574822866545
63000	63000	-74.4547085473219	(((((_a1_ * (T * _a4_)) / _a1_) + (_a2_ + -(((_a3_ / cos(T)) * _a3_)))) * T) * _a2_)	{'France': {'_a2_': 2.472859429891921e-05, '_a3_': -1974.074062302026, '_a4_': 271278129.28606623, '_a0_': 1.0, '_a1_': 1.0}}	{'France': 0.4834401678018292}	-250.746261031049	50.91842196820306
73000	73000	-81.2200247149162	(((((_a1_ * _a0_) / ((_a0_ * (_a3_ + _a0_)) + (_a1_ + ((P * (P + _a3_)) / ((_a3_ / _a1_) + _a0_))))) * _a0_) / (_a2_ ** P)) * _a0_)	{'France': {'_a0_': 0.17915205402797862, '_a1_': -7.42467329027586e-05, '_a2_': 0.0009930089236318143, '_a3_': -0.17870376923180153, '_a4_': 1.0}}	{'France': 0.26896456786210443}	-313.48548699566	75.52271878291465
36000	36000	-95.2940548998894	(((((_a3_ + T) / (_a4_ * _a3_)) / ((_a2_ ** T) * _a3_)) * T) / _a4_)	{'France': {'_a2_': 5.457062451436415e-216, '_a3_': -0.00545705551847375, '_a4_': 2.1321761246619597, '_a0_': 1.0, '_a1_': 1.0}}	{'France': 0.42979834295228503}	-268.003512912362	38.70770155629179
53000	53000	-40.1617158662459	(((((_a4_ ** _a4_) / (_a1_ * _a1_)) / (((pow2(_a3_) * (((_a3_ * _a4_) + _a2_) ** T)) + (_a1_ * (_a0_ + T))) * (_a1_ + _a1_))) / pow2(pow2((_a1_ + _a1_)))) * _a2_)	{'France': {'_a0_': -0.02757730128355638, '_a1_': 2.5567947070991445e-37, '_a2_': -2.7812987284418567e-300, '_a3_': 8.461703818603997e-20, '_a4_': 5.146000997642033}}	{'France': 0.42966712207527746}	-258.690528188473	89.18354822799047
87000	87000	-51.86210671198	((((-((_a2_ + (P * (_a2_ ** T)))) * T) + _a3_) + exp(((_a0_ ** (pow2(((sin(((P / _a3_) / _a2_)) * T) * (T + (_a4_ / _a3_)))) / _a4_)) ** (P / _a2_)))) * (_a0_ + (P / _a3_)))	{'France': {'_a0_': 0.12231321537759231, '_a2_': 371.9805596736262, '_a3_': -3.1567326593166594, '_a4_': 1.4032114265053643e+17, '_a1_': 1.0}}	{'France': 0.21157719571321393}	-339.164388051793	117.72008731391648
86000	86000	-66.4964724520536	((((-((_a2_ + _a2_)) * T) + _a3_) + exp(((_a0_ ** (pow2(((-(((P / _a3_) / _a3_)) * T) * (P + (_a4_ / _a3_)))) / _a2_)) ** (P / _a2_)))) * (_a0_ + (P / _a3_)))	{'France': {'_a0_': 0.1263408426678553, '_a2_': 161.65632478526928, '_a3_': -3.15839256778969, '_a4_': -39963355.416430004, '_a1_': 1.0}}	{'France': 0.2071204210115748}	-341.442370469938	104.22471278291572
26000	26000	-94.2484644202827	((((-(T) * _a2_) + _a3_) * _a2_) / (_a3_ * (pow2(T) ** (_a4_ * T))))	{'France': {'_a2_': -0.024706418018576988, '_a3_': -0.0001327442824642956, '_a4_': 88.5878492058199, '_a0_': 1.0, '_a1_': 1.0}}	{'France': 0.429219957816582}	-268.147601155458	39.82533615744609
