	t	H	expr	parvals	sse	bic	Hp
89000	89000	-228.796742835739	(((((((((_a4_ / T) ** cos(_a2_)) * P) * _a4_) + pow2((_a1_ + ((_a4_ + (_a4_ * T)) + (P * (_a2_ / _a1_)))))) * P) + _a2_) * (_a0_ + P)) * T)	{'India': {'_a0_': -0.10253569499471561, '_a1_': 1.6945538978450772, '_a2_': -30430.40096758184, '_a4_': 1507.7057634166347, '_a3_': 1.0}}	{'India': 0.013272225317603796}	-635.438442186984	88.92247825775274
36000	36000	-213.699633577924	((((((((_a4_ + (_a1_ ** (_a2_ * (P + T)))) + (_a0_ ** P)) * -(P)) + _a2_) / _a3_) / (-((_a1_ * pow2((_a1_ * (_a2_ * _a0_))))) * ((_a0_ * _a1_) * _a1_))) * P) * _a2_)	{'India': {'_a0_': 4.247587723594809e-24, '_a1_': 1.2554772249172452e-46, '_a2_': 0.011135347225082545, '_a3_': -1.5785154806362627e+297, '_a4_': -0.7810190688559748}}	{'India': 0.013515633099829363}	-628.821049579305	100.71089121172824
25000	25000	-218.462987470407	(((((((P + _a3_) ** (P * (_a1_ + _a2_))) * (_a0_ * (_a0_ + pow2(_a2_)))) * ((_a3_ * (T + (P / _a1_))) / _a4_)) + _a2_) * sin(pow2(_a1_))) * _a2_)	{'India': {'_a0_': 1.6191228910229245e+71, '_a1_': -96.85450770925081, '_a2_': -4634.968540330762, '_a3_': 0.8610801685692098, '_a4_': 1.0302509261731037e+146}}	{'India': 0.015768752115587117}	-612.323442395898	87.6987337275418
81000	81000	-187.039503487436	(((((((_a4_ ** sqrt(T)) + cos(((_a3_ + ((_a1_ / _a3_) ** P)) + _a0_))) + _a3_) * (_a4_ * _a4_)) * (((pow2(((T + (_a3_ * _a4_)) * -(_a4_))) * pow2(_a4_)) * _a4_) * _a4_)) * (_a0_ * pow3(_a1_))) * _a4_)	{'India': {'_a0_': -1.1268018702549481e-307, '_a1_': -2005823560352.9092, '_a3_': -17.312541808639693, '_a4_': 1.5306216335904667e+24, '_a2_': 1.0}}	{'India': 0.015177755560098764}	-621.083602921625	123.50229797337612
34000	34000	-211.815750313583	(((((((_a4_ + (_a1_ ** (_a2_ * (P + T)))) + (_a0_ ** P)) * -(P)) + _a2_) / _a3_) / (-((_a1_ * pow2((_a1_ * _a0_)))) * (pow3(_a0_) * _a1_))) * (_a2_ + (P + P)))	{'India': {'_a0_': 5.9404563130776e-24, '_a1_': 1.9550744599655714e-46, '_a2_': 0.011315188456101747, '_a3_': -8.391370134626058e+294, '_a4_': -0.7780906767507808}}	{'India': 0.013505157902413288}	-628.904011338609	102.63625535572172
23000	23000	-240.796712339758	(((((((_a4_ + P) + (_a1_ * ((P + (_a2_ / -(P))) + (P + T)))) + (_a0_ ** P)) * P) + _a2_) / _a3_) + P)	{'India': {'_a0_': 2.7519212305178867e-23, '_a1_': -1.052880153878325, '_a2_': -0.005886407240197507, '_a3_': -0.0006093847572393801, '_a4_': 0.22829441324579497}}	{'India': 0.01421776458138657}	-623.402014600522	70.90429496050247
38000	38000	-181.940405314864	(((((((_a4_ + exp(P)) * -(T)) / _a0_) + ((_a0_ ** ((P + ((_a1_ + _a1_) * _a4_)) * (_a3_ + _a1_))) / (-((T + _a1_)) / (_a2_ * _a1_)))) * ((_a4_ + P) + (_a3_ / (_a2_ * T)))) * _a4_) / (T + T))	{'India': {'_a0_': 0.008064486873411193, '_a1_': -17.607214001437907, '_a2_': 1.4933516413821964e-140, '_a3_': 7.393749415382573e-146, '_a4_': -0.10494562724985558}}	{'India': 0.015775772730076392}	-612.275814113879	124.197501742075
68000	68000	-219.863062921768	((((((P * ((P * P) * (_a1_ * _a3_))) + (T + (((_a2_ + T) / -(_a0_)) ** ((_a0_ * _a2_) + P)))) / (_a2_ * _a4_)) / _a2_) * P) * pow2((_a1_ + -(P))))	{'India': {'_a0_': 3.726072227966112e-23, '_a1_': 0.10689847572658785, '_a2_': -0.0014777359276860233, '_a3_': -484082.8994359156, '_a4_': -558.3058303676252}}	{'India': 0.013364902353413245}	-630.021052379758	95.14746326811076
42000	42000	-194.351791276172	((((((P * ((P * P) * _a2_)) + ((_a2_ + _a4_) * ((T + ((_a4_ + _a1_) / -(T))) ** P))) * ((P * _a4_) * pow3(_a4_))) / (_a0_ / _a2_)) * pow3(_a4_)) * pow2(((_a2_ * _a0_) + (P * _a1_))))	{'India': {'_a0_': -6.537913459280013e-172, '_a1_': 7.301861444383128e-155, '_a2_': 1.1974988773157798e+16, '_a4_': -1.1975223745851596e+16, '_a3_': 1.0}}	{'India': 0.014181641955721776}	-628.347040885694	119.82172916667466
67000	67000	-242.143522710647	((((((P * ((P * P) / _a4_)) + (_a3_ + (((_a4_ / T) / _a3_) ** P))) * _a1_) / _a2_) * P) * pow2((_a1_ + -(P))))	{'India': {'_a1_': 0.10718060828164853, '_a2_': -0.00013205299250865197, '_a3_': -1.601009674120988e-21, '_a4_': -1.958828136831694e-05, '_a0_': 1.0}}	{'India': 0.01418080153421845}	-628.353382024878	72.0331683017916
85000	85000	-197.890592814618	((((((P * (T * _a3_)) + ((_a0_ * (_a2_ + _a2_)) + (_a0_ ** P))) + ((_a4_ * _a3_) * T)) / (_a4_ / _a1_)) * P) * pow2((((P + (_a4_ * ((((_a1_ + _a4_) / _a1_) + _a2_) ** P))) ** _a1_) + _a4_)))	{'India': {'_a0_': 1.0907726403442725e+34, '_a1_': 1.2208367165468863, '_a2_': 9.26330001058315e-33, '_a3_': -4999055.0996295605, '_a4_': -0.037598955004130345}}	{'India': 0.01363063353564275}	-627.91447038676	116.06664237876184
21000	21000	-237.067566679519	((((((P * (pow2(P) * _a4_)) + (_a2_ * ((P * (_a2_ / -(T))) ** P))) * P) / -(_a0_)) * _a4_) * pow2((_a0_ + (P * _a1_))))	{'India': {'_a0_': -4.361617045123174e-38, '_a1_': 4.071994391354486e-37, '_a2_': -6.863988320954114e+16, '_a4_': 3.263733414431703e+21, '_a3_': 1.0}}	{'India': 0.014110238695797613}	-628.887136832487	77.3760017367244
