	t	H	expr	parvals	sse	bic	Hp
20000	20000	-2571.78380770183	(((-((((((P * _a3_) + _a1_) * ((T ** _a2_) + _a0_)) + ((exp(exp((P + T))) + _a2_) * _a2_)) + _a3_)) / (((_a1_ + _a2_) * P) + pow2(((_a4_ * T) + (P + (P + _a0_)))))) * (P + _a2_)) + _a0_)	{'Belgium': {'_a0_': -0.20644877214831325, '_a1_': 0.4446992539996158, '_a2_': -0.09611041496831958, '_a3_': -0.3588195973426088, '_a4_': 16.532921129713667}, 'Canada': {'_a0_': -0.16823982731464054, '_a1_': 0.012833581575203312, '_a2_': -0.010545815034847712, '_a3_': 0.024957078888022365, '_a4_': 72.24867597403544}, 'Catalonia': {'_a0_': -0.19025939835678152, '_a1_': 3.66798720883049e+25, '_a2_': 11298316.848610327, '_a3_': 6.976134260087117e+24, '_a4_': -1.6529654413267075e+18}, 'Croatia': {'_a0_': -0.4501082364915725, '_a1_': 5.049216087859874e+17, '_a2_': 0.2308681328919526, '_a3_': 1.1548657752162507e+17, '_a4_': -157296631727.83215}, 'France': {'_a0_': -4.644484463101631, '_a1_': 350.15913422058827, '_a2_': 0.09316681216198745, '_a3_': 282.6407987622888, '_a4_': -37.580186880318664}, 'Hungary': {'_a0_': -0.3343665638787964, '_a1_': 0.14845797111335327, '_a2_': -0.11888292018003328, '_a3_': 0.0532193999439597, '_a4_': 147.3318921079351}, 'India': {'_a0_': -0.36648538800044955, '_a1_': -6.789048057308451e+24, '_a2_': 2.5678374229444363, '_a3_': -2.5348440310628323e+24, '_a4_': -2498333128438504.0}, 'Italy': {'_a0_': -0.1147767324518719, '_a1_': 0.07605574334528671, '_a2_': -0.02014246456515418, '_a3_': 0.0040714561490912075, '_a4_': 56.63746840592304}, 'UK': {'_a0_': -0.21552672994207317, '_a1_': -3.4465439494828092e+16, '_a2_': 1.3988983193879283, '_a3_': -7631818409594048.0, '_a4_': -16239602600.448973}}	{'Belgium': 0.3086812419959305, 'Canada': 0.225215447594752, 'Catalonia': 0.38445329562871167, 'Croatia': 0.25106150634505436, 'France': 0.7627036673761809, 'Hungary': 0.11541099280721713, 'India': 0.06534973207045666, 'Italy': 0.06279226387338051, 'UK': 0.1651473157550588}	-5391.80165411861	124.11701935747854
21000	21000	-2615.15710881586	(((-((((_a1_ * ((T * pow2((_a2_ + T))) * P)) + (P * ((_a3_ * _a3_) / P))) + _a3_)) / (((P + _a2_) * _a2_) + pow2(((_a4_ * T) + (P + _a0_))))) * (_a0_ + ((_a2_ * (_a0_ + P)) + _a4_))) + _a0_)	{'Belgium': {'_a0_': -0.07185097111959395, '_a1_': 65.84738536748523, '_a2_': -0.05223230084082551, '_a3_': -1.769718813190792e-05, '_a4_': 20.45759949074892}, 'Canada': {'_a0_': -0.1531580322479065, '_a1_': 695.0493306371566, '_a2_': 0.004532233647495265, '_a3_': -4.3415639560286254e-07, '_a4_': 72.51655503779332}, 'Catalonia': {'_a0_': 48019.35117519393, '_a1_': -8.208150710866511e-10, '_a2_': 13406782.41835885, '_a3_': 3661.064940889547, '_a4_': -9080076.790804002}, 'Croatia': {'_a0_': -0.42414469475884226, '_a1_': 3.3869628645971495, '_a2_': -0.18840063308255095, '_a3_': -1.1247659898489762e-05, '_a4_': 558.8424113950587}, 'France': {'_a0_': -0.10835771043097527, '_a1_': 215.97504855232157, '_a2_': 0.03435751377757775, '_a3_': -1.3540201376990874e-05, '_a4_': 14.750999820787934}, 'Hungary': {'_a0_': -0.28779983050439367, '_a1_': -9.221135558425347e-06, '_a2_': 242535971.10122123, '_a3_': 16473.258672790915, '_a4_': 46190925.12379466}, 'India': {'_a0_': -0.30889981902949976, '_a1_': 19.359117193106094, '_a2_': 0.048573741200325704, '_a3_': -0.9999995680289361, '_a4_': 420.783904910413}, 'Italy': {'_a0_': -0.08896946932381143, '_a1_': 154.13483136275718, '_a2_': -0.02675339323322963, '_a3_': -2.8517039690045745e-06, '_a4_': 53.29127748745621}, 'UK': {'_a0_': -0.24444575552892764, '_a1_': 6.477299382289702e-28, '_a2_': -1.2799043513242366e+27, '_a3_': 1563512124996.505, '_a4_': -1.5005902578739702e+30}}	{'Belgium': 0.23789565157376374, 'Canada': 0.2007224914520433, 'Catalonia': 0.20028661310330864, 'Croatia': 0.1946503916571175, 'France': 0.668814044078301, 'Hungary': 0.38623589804600594, 'India': 0.049003660921503746, 'Italy': 0.05775354281270563, 'UK': 0.17981815588512778}	-5471.50388885143	120.59483560985797
22000	22000	-2607.23216965663	(((-((((_a1_ * ((T * pow2((_a2_ + T))) * P)) + (P * ((_a3_ * _a3_) / P))) + _a3_)) / (((P + _a2_) * _a2_) + pow2(((_a4_ * T) + (tan(P) + _a0_))))) * (_a0_ + ((_a2_ * (_a0_ + P)) + _a4_))) + _a0_)	{'Belgium': {'_a0_': -0.07262765305118168, '_a1_': 65.30667068557042, '_a2_': -0.05248530819689609, '_a3_': -1.772597887429504e-05, '_a4_': 20.861388257973694}, 'Canada': {'_a0_': -0.15318319577862766, '_a1_': 695.3760009832047, '_a2_': 0.004531440021255539, '_a3_': -4.3441227733130866e-07, '_a4_': 72.53041681449206}, 'Catalonia': {'_a0_': 48026.79198294534, '_a1_': -8.202519527481656e-10, '_a2_': 13409869.312722577, '_a3_': 3661.4864458423262, '_a4_': -9083201.937378338}, 'Croatia': {'_a0_': -0.42365644375391753, '_a1_': 3.5239985153003124, '_a2_': -0.1861202309845289, '_a3_': -1.1230632255989736e-05, '_a4_': 554.0867754396206}, 'France': {'_a0_': -0.10837360565593401, '_a1_': 214.93806476240135, '_a2_': 0.0347921279631931, '_a3_': -1.3858015874206724e-05, '_a4_': 14.753252082357525}, 'Hungary': {'_a0_': -0.2877998306057039, '_a1_': -9.20944724537474e-06, '_a2_': 242843791.3474874, '_a3_': 16483.708952737226, '_a4_': 46249549.012747884}, 'India': {'_a0_': -0.30858223985692607, '_a1_': 19.310906617795457, '_a2_': 0.04897560294560106, '_a3_': -0.9999995653932754, '_a4_': 420.6419744304755}, 'Italy': {'_a0_': -0.08915489276297626, '_a1_': 153.92285308564206, '_a2_': -0.026804713662856083, '_a3_': -2.8611644687223506e-06, '_a4_': 53.43544002110606}, 'UK': {'_a0_': -0.244445751600499, '_a1_': 6.46333491743273e-28, '_a2_': -1.2826687984788455e+27, '_a3_': 1565199586491.161, '_a4_': -1.5038310697154593e+30}}	{'Belgium': 0.23697418014315197, 'Canada': 0.2007711751823208, 'Catalonia': 0.20028659858915848, 'Croatia': 0.19377861689326492, 'France': 0.6690556967586132, 'Hungary': 0.38623589804568303, 'India': 0.04903092586595924, 'Italy': 0.05757734166688728, 'UK': 0.17981815588512665}	-5473.16687289768	129.35126679221395
23000	23000	-2640.52994157623	(((-((((((_a3_ * log((T * P))) + ((P ** _a4_) + _a2_)) * (_a0_ + T)) / _a0_) + -(_a4_))) / (_a4_ + pow2((_a2_ + (P * -((P ** P))))))) * _a1_) + _a0_)	{'Belgium': {'_a0_': -0.008446651390829223, '_a1_': 0.011708915973593427, '_a2_': 0.04780664286191046, '_a3_': 0.10621129174680839, '_a4_': 0.005006033416815077}, 'Canada': {'_a0_': -0.006895938419546091, '_a1_': -4.121101637111468, '_a2_': -1.5248493475093292, '_a3_': -0.05819225185606435, '_a4_': 0.042803870599478176}, 'Catalonia': {'_a0_': -0.003094274507101191, '_a1_': -1.4113512451299818e+24, '_a2_': -6.985909810678604e+23, '_a3_': -8.933913962390229e+22, '_a4_': 5.565676574097371e+22}, 'Croatia': {'_a0_': -0.0019077469380546109, '_a1_': -3.8657337304623933, '_a2_': -2.7622668376517416, '_a3_': -0.3364726042426493, '_a4_': 1.1656460010537764}, 'France': {'_a0_': 0.005146377764595738, '_a1_': 0.004350422890551831, '_a2_': 0.04504758735801686, '_a3_': 0.09276032207217855, '_a4_': 0.0052497293515165345}, 'Hungary': {'_a0_': -0.2929115981033716, '_a1_': 0.00036996071078225403, '_a2_': 0.06126702241558853, '_a3_': 0.11547651024597423, '_a4_': 7.940271027602704e-05}, 'India': {'_a0_': -0.0008297477899323871, '_a1_': -54.924086571292165, '_a2_': -19.462965711383504, '_a3_': -1.7956602263364096, '_a4_': 2.487208047539328}, 'Italy': {'_a0_': -0.14016294483884034, '_a1_': 2.4691850344314065e-05, '_a2_': 0.014909531109536925, '_a3_': 0.09929106984896556, '_a4_': 6.79965571960912e-06}, 'UK': {'_a0_': -0.003247044320209284, '_a1_': 4.976409654808663, '_a2_': 4.602367000298836, '_a3_': 0.9739829277919623, '_a4_': -0.31663408534508497}}	{'Belgium': 0.3316030785527366, 'Canada': 0.29468848159909833, 'Catalonia': 0.18082057236166194, 'Croatia': 0.21201289188348946, 'France': 0.7327162602803521, 'Hungary': 0.17249785307300708, 'India': 0.045082625226488635, 'Italy': 0.07146044574356042, 'UK': 0.14963219191676813}	-5482.79783799823	100.86897742288204
24000	24000	-2657.76260177489	(((-((((((_a3_ * log((T * P))) + ((P ** _a4_) + _a2_)) * (_a0_ + T)) / _a0_) + (_a1_ * (_a4_ * _a4_)))) / (_a4_ + pow2((_a2_ + (P / -(cos(_a3_))))))) * _a1_) + _a0_)	{'Belgium': {'_a0_': -0.008401918327762081, '_a1_': 0.026111980801061512, '_a2_': 0.053271384111652685, '_a3_': 0.10492340710943453, '_a4_': 0.011779365317648968}, 'Canada': {'_a0_': -0.18674844920585928, '_a1_': -1.0651327626609404, '_a2_': 38.847239189731305, '_a3_': -7.853697003040816, '_a4_': 10.759823059577277}, 'Catalonia': {'_a0_': -0.003094274499693012, '_a1_': -1.2798357568576842e+28, '_a2_': -6.334927360525287e+27, '_a3_': -8.101407651570026e+26, '_a4_': 0.1985826134545661}, 'Croatia': {'_a0_': -0.00201092967422214, '_a1_': -6.168216947208586, '_a2_': -5.060866578934288, '_a3_': -0.606098331162723, '_a4_': 0.5965647393960747}, 'France': {'_a0_': 0.0053813961486113854, '_a1_': 0.010041965328089134, '_a2_': 0.047671742067997486, '_a3_': 0.09187296469934876, '_a4_': 0.01164682613812753}, 'Hungary': {'_a0_': -0.29520966697119877, '_a1_': 0.0006524124583824485, '_a2_': 0.07485569110525982, '_a3_': 0.11700943369550218, '_a4_': 0.00013801215505600354}, 'India': {'_a0_': -0.0008249407209129938, '_a1_': -27816553610.459007, '_a2_': -10009493819.484198, '_a3_': -924567702.6352607, '_a4_': 0.21523482857962034}, 'Italy': {'_a0_': -0.14052675405974063, '_a1_': 3.0201870787611198e-05, '_a2_': 0.015979910173096325, '_a3_': 0.09952176440622723, '_a4_': 8.5330110102407e-06}, 'UK': {'_a0_': -0.002682497982208023, '_a1_': 1.2353231758868555, '_a2_': 1.971214153879533, '_a3_': 0.5424366777426733, '_a4_': -0.229695792085099}}	{'Belgium': 0.33741868211237314, 'Canada': 0.21603409765371528, 'Catalonia': 0.18082057235791837, 'Croatia': 0.2150537161401677, 'France': 0.735163317494437, 'Hungary': 0.1706891722613108, 'India': 0.045094188372991714, 'Italy': 0.07172775517049795, 'UK': 0.1483356357625909}	-5529.90338602725	107.18909123872876
25000	25000	-2614.45210068684	(((-((((_a1_ * ((T * pow2((_a2_ + T))) * P)) + (P * ((_a2_ * _a3_) / P))) + _a3_)) / (((P + _a2_) * _a2_) + pow2(((_a4_ * T) + (P + _a0_))))) * (_a4_ + ((_a2_ * (_a0_ + P)) + (P * _a2_)))) + _a0_)	{'Belgium': {'_a0_': -0.07186265072941747, '_a1_': 65.61144815971686, '_a2_': -0.05223543336067308, '_a3_': -1.860842928765945e-05, '_a4_': 20.462415697541168}, 'Canada': {'_a0_': -0.15315787974793496, '_a1_': 693.5683342452536, '_a2_': 0.00453228915937542, '_a3_': -4.312811337925133e-07, '_a4_': 72.51643038547026}, 'Catalonia': {'_a0_': 29997.478183722873, '_a1_': -4.1707247651698494e-09, '_a2_': 6124821.095970722, '_a3_': 1.0000397678754318, '_a4_': -5274343.067775629}, 'Croatia': {'_a0_': -0.424136494042055, '_a1_': 3.3862313564750792, '_a2_': -0.18836397013787207, '_a3_': -1.3846173747278149e-05, '_a4_': 558.7874160557024}, 'France': {'_a0_': -0.10834448551211728, '_a1_': 214.40961084793253, '_a2_': 0.034353560436484264, '_a3_': -1.2990450306116818e-05, '_a4_': 14.748701109648348}, 'Hungary': {'_a0_': -0.28779982078311717, '_a1_': 7.0041278105809e-08, '_a2_': -15965176706.43171, '_a3_': 0.5594728995563174, '_a4_': -1486354142.6625433}, 'India': {'_a0_': -0.3088462258293541, '_a1_': 19.310607406923623, '_a2_': 0.04868359890087634, '_a3_': -4.1161592883970635e-07, '_a4_': 420.7806224094103}, 'Italy': {'_a0_': -0.08897086844046515, '_a1_': 153.877598212745, '_a2_': -0.02675370126203361, '_a3_': -2.925278192511427e-06, '_a4_': 53.29233867109199}, 'UK': {'_a0_': -0.24444419205424223, '_a1_': 4.488431567575364e-29, '_a2_': -1.845321785079994e+28, '_a3_': -0.0019099410508760688, '_a4_': -2.1634960560060573e+31}}	{'Belgium': 0.23788559830465883, 'Canada': 0.20072235956351614, 'Catalonia': 0.1895965021426469, 'Croatia': 0.1946472231823007, 'France': 0.6688070579603054, 'Hungary': 0.38623589985510254, 'India': 0.04900344624972589, 'Italy': 0.05775273911236872, 'UK': 0.1798177640306544}	-5480.40439194779	125.7500952870564
26000	26000	-2659.69131514245	(((-((((((P * ((_a3_ * _a1_) + P)) / _a0_) + ((P + pow2(_a3_)) + _a4_)) + _a3_) + (_a1_ / (T / -(T))))) / ((sqrt(P) * P) + pow2(((abs(_a4_) * T) + (_a0_ + _a0_))))) * (T + _a2_)) + _a0_)	{'Belgium': {'_a0_': -0.15443657883333753, '_a1_': -2.8777410379877746e+69, '_a2_': -0.0032589175401010746, '_a3_': -1.7168929507388955, '_a4_': 2.1814371760291802e+36}, 'Canada': {'_a0_': 0.006425586095354732, '_a1_': -8.19106440219907e+38, '_a2_': -0.0011182388454816898, '_a3_': -0.01601274202871774, '_a4_': -9.729702684229957e+20}, 'Catalonia': {'_a0_': -0.15317865273192657, '_a1_': -1.1793088493214752e+80, '_a2_': -0.00286179097099743, '_a3_': -7.300129313517227e+79, '_a4_': -1.8053242394257285e+81}, 'Croatia': {'_a0_': -0.30960835046657026, '_a1_': -531.3542806768847, '_a2_': -0.000796304249152618, '_a3_': 0.09719229185391581, '_a4_': -535.5801456624356}, 'France': {'_a0_': -0.311096969831434, '_a1_': 16.023669961943945, '_a2_': -0.004009450713184653, '_a3_': 6.927697585972718, '_a4_': 6.937885974459722e-10}, 'Hungary': {'_a0_': -0.3328295973521231, '_a1_': 507.4398844834883, '_a2_': -0.0013752995086936336, '_a3_': 0.16020374846321678, '_a4_': 537.1989615364431}, 'India': {'_a0_': -0.3681861773595354, '_a1_': 519.2019422581601, '_a2_': -0.0007843050436966258, '_a3_': 1.0552372221560735, '_a4_': 584.723411298172}, 'Italy': {'_a0_': -0.13606178487549514, '_a1_': 167.86240998294082, '_a2_': -0.001618855577965191, '_a3_': 0.020319884191423266, '_a4_': 170.60067026562305}, 'UK': {'_a0_': -0.10238101236266536, '_a1_': 47.09631966217489, '_a2_': -0.003434808825200757, '_a3_': -0.011793826564617903, '_a4_': 47.84644692685761}}	{'Belgium': 0.5477988977125774, 'Canada': 0.2756195568583851, 'Catalonia': 0.22572047526930455, 'Croatia': 0.10595729011847699, 'France': 0.9760925182836608, 'Hungary': 0.10509999010428675, 'India': 0.04477045916518413, 'Italy': 0.06062265861486969, 'UK': 0.1287466185228048}	-5574.68068463948	127.64902717729328
27000	27000	-2650.42929115803	sin((((-((((((P * ((_a3_ * _a1_) + _a2_)) * _a0_) + ((_a3_ + pow2(_a3_)) + P)) + (_a4_ + P)) + (_a1_ / (T / -(T))))) / ((sqrt(P) * P) + pow2(((abs(_a4_) * T) + (_a0_ + _a0_))))) * (T + _a2_)) + _a0_))	{'Belgium': {'_a0_': -0.15510795355337134, '_a1_': -4.563881720571336e+69, '_a2_': -0.003265792904265352, '_a3_': -72.10121464127374, '_a4_': 2.743868692640633e+36}, 'Canada': {'_a0_': 0.008933304786360612, '_a1_': -6.316101082421639e+38, '_a2_': -0.0011176416027750143, '_a3_': -280.1483023714596, '_a4_': -8.468022340989586e+20}, 'Catalonia': {'_a0_': -0.15393446822376827, '_a1_': 6.591582710779013e+88, '_a2_': -0.0028611655143589124, '_a3_': 9.613158878539397e+86, '_a4_': 2.3641812075497554e+88}, 'Croatia': {'_a0_': -0.31593453301434704, '_a1_': -539.3420864339934, '_a2_': -0.0008036437444476029, '_a3_': 1.0715190472263638, '_a4_': -546.1306031849875}, 'France': {'_a0_': -0.3172112967508426, '_a1_': 107.31119053705878, '_a2_': -0.003954783499448114, '_a3_': 11.81653288806768, '_a4_': 6.937885974459722e-10}, 'Hungary': {'_a0_': -0.3391508021161067, '_a1_': 517.5030487082539, '_a2_': -0.0013733974129130915, '_a3_': 1.4960497139273914, '_a4_': 545.8501607384313}, 'India': {'_a0_': -0.3770442034663092, '_a1_': 583.0135312762859, '_a2_': -0.000784396036272638, '_a3_': 7.7853852428873065, '_a4_': 592.1591461722733}, 'Italy': {'_a0_': -0.13659314048795523, '_a1_': 170.7060576432328, '_a2_': -0.0016186035278328743, '_a3_': 1.1825980657012112, '_a4_': 170.9443309360415}, 'UK': {'_a0_': -0.10347590056166331, '_a1_': 46.96578205723763, '_a2_': -0.003439364665003685, '_a3_': -0.6033422573593724, '_a4_': 47.99340552567292}}	{'Belgium': 0.5461034408139439, 'Canada': 0.2755137646641381, 'Catalonia': 0.22596357233179215, 'Croatia': 0.10599213054565522, 'France': 0.9569998268785983, 'Hungary': 0.1052153575759966, 'India': 0.04462655792636046, 'Italy': 0.06093329598727726, 'UK': 0.12846373690336704}	-5578.08974999185	138.61558383789765
28000	28000	-2666.5759002438	(((-((((((P * ((_a3_ * _a1_) + _a1_)) * _a0_) + ((_a0_ * (P + T)) / _a4_)) + (_a4_ * _a3_)) + (_a1_ / (T / -(T))))) / ((sqrt(P) * P) + pow2(((abs(_a4_) * T) + (_a0_ + _a0_))))) * (T + _a2_)) + _a0_)	{'Belgium': {'_a0_': -0.1544365793602229, '_a1_': -4.065479378205108e+69, '_a2_': -0.0032589175269282936, '_a3_': -72.98514136279523, '_a4_': 2.5928443444665967e+36}, 'Canada': {'_a0_': 0.00642522412640878, '_a1_': -5.998498321675026e+38, '_a2_': -0.0011182392096201253, '_a3_': -388.8500567199848, '_a4_': -8.326290030184986e+20}, 'Catalonia': {'_a0_': -0.1531786460058918, '_a1_': 9.017232898171604e+94, '_a2_': -0.0028617907806741953, '_a3_': 2.1415281926102955e+90, '_a4_': 1.3097027836610173e+93}, 'Croatia': {'_a0_': -0.30926323194417915, '_a1_': -330.9559068557862, '_a2_': -0.0007935621351438793, '_a3_': 0.6264731681127967, '_a4_': -534.8035999672837}, 'France': {'_a0_': -0.016814646708725584, '_a1_': 0.2354443194875174, '_a2_': 0.002245673828073062, '_a3_': 301.1676776176933, '_a4_': -0.0007806977077555623}, 'Hungary': {'_a0_': -0.33282238010282617, '_a1_': 405.02874410911573, '_a2_': -0.001375225894893931, '_a3_': 0.809903409665527, '_a4_': 537.1185592238792}, 'India': {'_a0_': -0.3681863691204563, '_a1_': 1244.8748283783348, '_a2_': -0.0007843045520234679, '_a3_': 2.244589111208474, '_a4_': 584.7668336530107}, 'Italy': {'_a0_': -0.13631325515869935, '_a1_': 111.64103059722996, '_a2_': -0.0016189559588511838, '_a3_': 0.6699578829227604, '_a4_': 170.8051154988547}, 'UK': {'_a0_': -0.10825681933155117, '_a1_': -24.783946282005417, '_a2_': -0.0034743778858346524, '_a3_': -0.490203736599837, '_a4_': 48.56419465700448}}	{'Belgium': 0.5477988982154118, 'Canada': 0.27561955692892676, 'Catalonia': 0.22572047526776273, 'Croatia': 0.10611454624646159, 'France': 0.8264513802075664, 'Hungary': 0.10504194077303619, 'India': 0.044769697101985674, 'Italy': 0.06087511363365265, 'UK': 0.12983213089309517}	-5599.45874298104	133.15347124672172
29000	29000	-2670.56794599515	(((-((((((P * ((_a3_ * _a1_) + _a3_)) / _a0_) + (exp(P) / _a4_)) + (_a4_ * _a3_)) + (_a1_ / (T / -(T))))) / ((sqrt(P) * P) + pow2(((abs(_a4_) * T) + (_a0_ + _a0_))))) * (T + _a2_)) + (T + _a0_))	{'Belgium': {'_a0_': -0.15790005647241614, '_a1_': -2.297112146730617e+72, '_a2_': -0.003264828595682103, '_a3_': -1.7341476092350032, '_a4_': 6.1660726062855735e+37}, 'Canada': {'_a0_': -0.0003884408231175605, '_a1_': -6.265388545533022e+38, '_a2_': -0.0011254485446009386, '_a3_': 0.0009898853763185469, '_a4_': -8.584152880032375e+20}, 'Catalonia': {'_a0_': -0.15725075548713635, '_a1_': -8.666553165817164e+95, '_a2_': -0.0028715902264691492, '_a3_': -8.601857931268344e+92, '_a4_': -5.2341801838628133e+95}, 'Croatia': {'_a0_': -0.3112094033639718, '_a1_': -167.217585609985, '_a2_': -0.0008037650584769385, '_a3_': 0.31801887375211174, '_a4_': -538.863430485062}, 'France': {'_a0_': -0.05919189403897205, '_a1_': -0.9998369062666942, '_a2_': -0.0002941925032871233, '_a3_': -177356.17878426894, '_a4_': -0.0023695367430091973}, 'Hungary': {'_a0_': -0.3343234154203643, '_a1_': 195.27036261961732, '_a2_': -0.0013737891900874961, '_a3_': 0.4178632529020998, '_a4_': 539.7066101473908}, 'India': {'_a0_': -0.36896368220007, '_a1_': 534.781404736897, '_a2_': -0.0007843173409217795, '_a3_': 1.0310014402964134, '_a4_': 584.9455301452869}, 'Italy': {'_a0_': -0.1368444152741681, '_a1_': 21.774500048860848, '_a2_': -0.001617246401572183, '_a3_': 0.14321195021629607, '_a4_': 171.43940994543573}, 'UK': {'_a0_': -0.11183651842329063, '_a1_': -1.0425015594541422, '_a2_': -0.00348250519557115, '_a3_': 0.0008785865214244409, '_a4_': 49.06002419861817}}	{'Belgium': 0.5483597924937035, 'Canada': 0.2757653350964623, 'Catalonia': 0.22306353633328863, 'Croatia': 0.10655879689448411, 'France': 0.7825216644683498, 'Hungary': 0.10494190664007184, 'India': 0.044792081202761624, 'Italy': 0.0610086540884809, 'UK': 0.12937449073977408}	-5609.58747408493	134.22579104731545
