	t	H	expr	parvals	sse	bic	Hp
20000	20000	-1865.65426456497	((((-((P * (_a0_ * _a4_))) + (((sin(_a2_) * pow2((T + (_a1_ / _a2_)))) / -(pow3(T))) / (((P * _a1_) * T) * (_a0_ + (_a1_ + (T / P)))))) + (T * _a2_)) * (P + sin(_a4_))) + _a0_)	{'Belgium': {'_a0_': -0.10226985737871302, '_a1_': 0.5809272016058441, '_a2_': -169.6460032762302, '_a4_': 87.71151710953708, '_a3_': 1.0}, 'Canada': {'_a0_': -0.22064208867291565, '_a1_': 10.712239190985585, '_a2_': -8469.734355899473, '_a4_': 1809.5166025479555, '_a3_': 1.0}, 'Catalonia': {'_a0_': -0.12201847993427936, '_a1_': 1.4783894995024443e+53, '_a2_': 1947.787454095173, '_a4_': -565.5794106159784, '_a3_': 1.0}, 'Croatia': {'_a0_': -0.4478881706713006, '_a1_': -0.21039582883446817, '_a2_': 898.4954989390367, '_a4_': -12.847820810776605, '_a3_': 1.0}, 'France': {'_a0_': 0.15653935078207515, '_a1_': -0.08583927439650524, '_a2_': 169.6460032943478, '_a4_': -128.53014407051361, '_a3_': 1.0}, 'Hungary': {'_a0_': -0.31028705169262555, '_a1_': 0.6480534862561984, '_a2_': -2189.6900795567867, '_a4_': 68.92070955719409, '_a3_': 1.0}, 'India': {'_a0_': -0.3843363134685606, '_a1_': -2.2361532167913776, '_a2_': 3681.9465861629, '_a4_': -103.63355587090881, '_a3_': 1.0}, 'Italy': {'_a0_': -0.05158409799775727, '_a1_': -0.19103957739652186, '_a2_': 232.47785647358486, '_a4_': -50.2838528531974, '_a3_': 1.0}, 'UK': {'_a0_': 0.1789630815758365, '_a1_': -0.788091034688878, '_a2_': 301.59289488844473, '_a4_': -15.413265330962819, '_a3_': 1.0}}	{'Belgium': 0.07428686146051852, 'Canada': 0.09800440442919589, 'Catalonia': 0.10452800971903509, 'Croatia': 0.12634975491999326, 'France': 0.2773891295271374, 'Hungary': 0.051460074119720124, 'India': 0.028446289961230123, 'Italy': 0.06198576181231808, 'UK': 0.06016967985746747}	-3980.33376175185	124.5126163109579
21000	21000	-1865.65426456497	((((-((P * (_a0_ * _a4_))) + (((sin(_a2_) * pow2((T + (_a1_ / _a2_)))) / -(pow3(T))) / (((P * _a1_) * T) * (_a0_ + (_a1_ + (T / P)))))) + (T * _a2_)) * (P + sin(_a4_))) + _a0_)	{'Belgium': {'_a0_': -0.10226985737871302, '_a1_': 0.5809272016058441, '_a2_': -169.6460032762302, '_a4_': 87.71151710953708, '_a3_': 1.0}, 'Canada': {'_a0_': -0.22064208867291565, '_a1_': 10.712239190985585, '_a2_': -8469.734355899473, '_a4_': 1809.5166025479555, '_a3_': 1.0}, 'Catalonia': {'_a0_': -0.12201847993427936, '_a1_': 1.4783894995024443e+53, '_a2_': 1947.787454095173, '_a4_': -565.5794106159784, '_a3_': 1.0}, 'Croatia': {'_a0_': -0.4478881706713006, '_a1_': -0.21039582883446817, '_a2_': 898.4954989390367, '_a4_': -12.847820810776605, '_a3_': 1.0}, 'France': {'_a0_': 0.15653935078207515, '_a1_': -0.08583927439650524, '_a2_': 169.6460032943478, '_a4_': -128.53014407051361, '_a3_': 1.0}, 'Hungary': {'_a0_': -0.31028705169262555, '_a1_': 0.6480534862561984, '_a2_': -2189.6900795567867, '_a4_': 68.92070955719409, '_a3_': 1.0}, 'India': {'_a0_': -0.3843363134685606, '_a1_': -2.2361532167913776, '_a2_': 3681.9465861629, '_a4_': -103.63355587090881, '_a3_': 1.0}, 'Italy': {'_a0_': -0.05158409799775727, '_a1_': -0.19103957739652186, '_a2_': 232.47785647358486, '_a4_': -50.2838528531974, '_a3_': 1.0}, 'UK': {'_a0_': 0.1789630815758365, '_a1_': -0.788091034688878, '_a2_': 301.59289488844473, '_a4_': -15.413265330962819, '_a3_': 1.0}}	{'Belgium': 0.07428686146051852, 'Canada': 0.09800440442919589, 'Catalonia': 0.10452800971903509, 'Croatia': 0.12634975491999326, 'France': 0.2773891295271374, 'Hungary': 0.051460074119720124, 'India': 0.028446289961230123, 'Italy': 0.06198576181231808, 'UK': 0.06016967985746747}	-3980.33376175185	124.5126163109579
22000	22000	-1856.09378258499	((((-((P * (_a0_ * _a4_))) + (((sin(_a2_) * pow2((T + (_a1_ / _a2_)))) / -(pow3(T))) / (((P * _a1_) * T) * (_a0_ + (_a1_ + (T / P)))))) + (T * (_a2_ + _a0_))) * (P + sin((_a4_ + T)))) + _a0_)	{'Belgium': {'_a0_': -0.10216811145657274, '_a1_': 0.5790050378501649, '_a2_': -169.64600327632996, '_a4_': 87.70742808059272, '_a3_': 1.0}, 'Canada': {'_a0_': -0.22079384208870637, '_a1_': 10.696685963409369, '_a2_': -8469.734350105231, '_a4_': 1809.5142901762392, '_a3_': 1.0}, 'Catalonia': {'_a0_': -0.12267915647847263, '_a1_': 3.529456182766114e+66, '_a2_': 1947.7874537369844, '_a4_': -565.5815535096375, '_a3_': 1.0}, 'Croatia': {'_a0_': -0.4479910954982886, '_a1_': -0.2106357179855099, '_a2_': 898.4954989390636, '_a4_': -12.84868951061183, '_a3_': 1.0}, 'France': {'_a0_': 0.1601068925971046, '_a1_': -0.09677297843117226, '_a2_': 169.64600329447939, '_a4_': -128.53567006383068, '_a3_': 1.0}, 'Hungary': {'_a0_': -0.3103252113157985, '_a1_': 0.648017146686267, '_a2_': -2189.690079556723, '_a4_': 68.9190318037888, '_a3_': 1.0}, 'India': {'_a0_': -0.38427756700391197, '_a1_': -2.23705986080339, '_a2_': 3681.9465861547246, '_a4_': -103.63431899572588, '_a3_': 1.0}, 'Italy': {'_a0_': -0.053018733658922346, '_a1_': -0.190842987797215, '_a2_': 232.47785647077995, '_a4_': -50.28543051991157, '_a3_': 1.0}, 'UK': {'_a0_': 0.17637452969593675, '_a1_': -0.7881037826641578, '_a2_': 301.59289489180344, '_a4_': -15.418908643723473, '_a3_': 1.0}}	{'Belgium': 0.07480246870022594, 'Canada': 0.09929393423519947, 'Catalonia': 0.1023187771993673, 'Croatia': 0.1262664855414335, 'France': 0.2779478325975779, 'Hungary': 0.05143724147626872, 'India': 0.028437097021223254, 'Italy': 0.060741565088206245, 'UK': 0.060232738358988416}	-3982.47549383958	135.14396433479791
23000	23000	-1901.10649984611	((((sin((pow3(-(_a3_)) + (_a1_ * (T ** _a3_)))) / (cosh(P) ** _a4_)) / T) + _a2_) / (((_a2_ + (((T * _a4_) * P) + tan(_a2_))) * P) + _a0_))	{'Belgium': {'_a0_': 0.10800609201282202, '_a1_': -8.882181783410545e-47, '_a2_': -0.021478217232999555, '_a3_': -14.689725388593928, '_a4_': 437.5247511165938}, 'Canada': {'_a0_': 4022.5724673418645, '_a1_': -2409312805.6530657, '_a2_': -758.694448818492, '_a3_': 3.3085206526328066, '_a4_': 1701.7986632450575}, 'Catalonia': {'_a0_': 5128.535240230779, '_a1_': -5027.608829521784, '_a2_': -636.172783171069, '_a3_': -0.0011030127388722128, '_a4_': -5.770035993166511}, 'Croatia': {'_a0_': 11625.961782074222, '_a1_': -68770.07758857608, '_a2_': -4346.3931229382115, '_a3_': 1.4545198081722288, '_a4_': 27.902351124336793}, 'France': {'_a0_': 86.1977332801605, '_a1_': -4.14908955111717, '_a2_': -70.68677423171256, '_a3_': 0.03822254028632907, '_a4_': 252.6116570762023}, 'Hungary': {'_a0_': 916.77641197961, '_a1_': 6932258.025646277, '_a2_': -677.013358078522, '_a3_': 2.3192219929909457, '_a4_': 249.63630596873583}, 'India': {'_a0_': -2738.243388278375, '_a1_': 23.24440701208702, '_a2_': 6.178475665864888e-14, '_a3_': -0.022869380448491305, '_a4_': -8.536429391283518}, 'Italy': {'_a0_': 1296.9917141943497, '_a1_': 276904772274.0312, '_a2_': -281.1726739019906, '_a3_': 3.972090685236275, '_a4_': 6639.128445095784}, 'UK': {'_a0_': 1160.849822838023, '_a1_': -386377.8963417469, '_a2_': -368.04309926761186, '_a3_': 14.304344195398114, '_a4_': -11.489835533135743}}	{'Belgium': 0.07669876216628974, 'Canada': 0.07541974032098304, 'Catalonia': 0.04326171194605324, 'Croatia': 0.13863612987966747, 'France': 0.2830136821967349, 'Hungary': 0.0627932800392535, 'India': 0.04055748287160871, 'Italy': 0.03702553644843483, 'UK': 0.07808180104831954}	-4013.20722237018	105.49711133897898
24000	24000	-1900.36370095819	((((sin((pow3(-(_a3_)) + (_a1_ * (T ** _a3_)))) / (cosh(P) ** _a4_)) / T) + _a2_) / (((T + (((T * _a4_) * P) + tan(_a2_))) * P) + _a0_))	{'Belgium': {'_a0_': 0.11069286891871816, '_a1_': -8.471301842429089e-47, '_a2_': -0.022497881278680097, '_a3_': -14.689725384825874, '_a4_': 433.10202767107535}, 'Canada': {'_a0_': 4022.653064268429, '_a1_': -2409316738.225853, '_a2_': -758.6944699653473, '_a3_': 3.3085214644220264, '_a4_': 1701.6378268828412}, 'Catalonia': {'_a0_': 5128.363005549422, '_a1_': -5027.608533794319, '_a2_': -636.172839216161, '_a3_': -0.0011030222937122585, '_a4_': -5.772419171936757}, 'Croatia': {'_a0_': 11640.168746272844, '_a1_': -68687.67817976125, '_a2_': -4346.393300469048, '_a3_': 1.4538631901964292, '_a4_': 27.825994089852934}, 'France': {'_a0_': 86.18457566857516, '_a1_': -4.14908800481856, '_a2_': -70.68684101166195, '_a3_': 0.038222402460937124, '_a4_': 252.58403500058827}, 'Hungary': {'_a0_': 916.8586606069408, '_a1_': 6932177.18206458, '_a2_': -677.0133730202908, '_a3_': 2.319222256802216, '_a4_': 249.64466808782262}, 'India': {'_a0_': -2738.268723122322, '_a1_': 23.244322530639433, '_a2_': 6.178475665864888e-14, '_a3_': -0.02286982948105918, '_a4_': -8.53643961896447}, 'Italy': {'_a0_': 1296.9292271694912, '_a1_': 276904223968.097, '_a2_': -281.1726789328948, '_a3_': 3.9720906991336182, '_a4_': 6639.1097068392155}, 'UK': {'_a0_': 1163.4087489903854, '_a1_': -386377.8963417469, '_a2_': -372.00974246876336, '_a3_': 14.304307703932638, '_a4_': -7.68660328865018}}	{'Belgium': 0.07756126237608511, 'Canada': 0.07541973412432035, 'Catalonia': 0.04326171206170573, 'Croatia': 0.13895285237466173, 'France': 0.28301374310390404, 'Hungary': 0.06279328316923737, 'India': 0.040557483281429316, 'Italy': 0.03702553273344986, 'UK': 0.0781145636532226}	-4011.72162459433	105.49711133897898
25000	25000	-1885.18414237909	((((sin((pow3(-(_a3_)) + (_a1_ * (T ** _a3_)))) / (cosh(P) ** (P + _a4_))) / T) + _a2_) / ((((_a2_ + _a2_) + (((T * (P + _a4_)) * P) + tan(_a2_))) * P) + _a0_))	{'Belgium': {'_a0_': 0.10147882267418049, '_a1_': -7.439668618823287e-47, '_a2_': -0.020196901880086642, '_a3_': -14.689725393476676, '_a4_': 433.1363294048709}, 'Canada': {'_a0_': 4022.614954244998, '_a1_': -2409316152.5293746, '_a2_': -758.6944216245248, '_a3_': 3.308521183912085, '_a4_': 1701.6555857465487}, 'Catalonia': {'_a0_': 5127.8274880906465, '_a1_': -5027.608211824924, '_a2_': -636.1727428464475, '_a3_': -0.001103032842265409, '_a4_': -5.858555042353284}, 'Croatia': {'_a0_': 15453.982474032055, '_a1_': -81548.31083632896, '_a2_': -5800.951527804145, '_a3_': 1.4857723641696683, '_a4_': 9.894199662178792}, 'France': {'_a0_': 86.1694960890886, '_a1_': -4.149061040470359, '_a2_': -70.68671556877118, '_a3_': 0.03822143569945612, '_a4_': 252.4875548222442}, 'Hungary': {'_a0_': 916.8761558912731, '_a1_': 6931172.258680175, '_a2_': -677.0133457586294, '_a3_': 2.319222036341714, '_a4_': 249.53558275122862}, 'India': {'_a0_': -2738.6062243280194, '_a1_': 23.243707681418638, '_a2_': 6.178475665864888e-14, '_a3_': -0.02287309330515673, '_a4_': -8.63463954848049}, 'Italy': {'_a0_': 1296.96931268305, '_a1_': 276905359166.43866, '_a2_': -281.17266921926904, '_a3_': 3.9720907065102584, '_a4_': 6639.109823804966}, 'UK': {'_a0_': 1317.6740036348056, '_a1_': -386377.8963417469, '_a2_': -414.14822493545563, '_a3_': 14.30367209346769, '_a4_': -15.264479927774286}}	{'Belgium': 0.07628124916779536, 'Canada': 0.07541967012771808, 'Catalonia': 0.043262294593330794, 'Croatia': 0.13935406228592825, 'France': 0.28300343223237856, 'Hungary': 0.06278885507563269, 'India': 0.04056248509273746, 'Italy': 0.037025521837626044, 'UK': 0.07806645444250065}	-4013.25655150766	121.44413337473898
26000	26000	-1873.52374215162	((((sin((pow3(-(_a3_)) + (_a1_ * (T ** _a3_)))) / (cosh(P) ** _a4_)) / T) + _a2_) / ((((_a2_ + _a2_) + (((T * (((_a0_ / _a4_) * ((_a1_ / _a3_) / _a0_)) + _a4_)) * P) + tan(_a2_))) * P) + _a0_))	{'Belgium': {'_a0_': 0.10147882267418049, '_a1_': -7.439668618823287e-47, '_a2_': -0.020196901880086642, '_a3_': -14.689725393476676, '_a4_': 433.1363294048709}, 'Canada': {'_a0_': 4021.7156552311817, '_a1_': -2409277585.7079725, '_a2_': -758.6944185490139, '_a3_': 3.308518436333603, '_a4_': 1701.6497127691161}, 'Catalonia': {'_a0_': 5064.704352222501, '_a1_': -5027.535334135133, '_a2_': -636.1726853528764, '_a3_': -0.0011051587681857578, '_a4_': -1.4025326765212947}, 'Croatia': {'_a0_': 15452.757022325879, '_a1_': -81717.00899398983, '_a2_': -5800.951522848162, '_a3_': 1.4862427777839042, '_a4_': 10.320603216138876}, 'France': {'_a0_': 86.19259955832356, '_a1_': -4.149084968398174, '_a2_': -70.6867157139314, '_a3_': 0.03822235759273433, '_a4_': 252.59573988768358}, 'Hungary': {'_a0_': 917.6622674771808, '_a1_': 6930738.033386186, '_a2_': -677.0133459006654, '_a3_': 2.31922438678923, '_a4_': 249.6191965705756}, 'India': {'_a0_': -2738.2622675730663, '_a1_': 23.244344251862753, '_a2_': 6.178475665864888e-14, '_a3_': -0.022869713890838243, '_a4_': -8.536371137573745}, 'Italy': {'_a0_': 1581.093395331971, '_a1_': 295560139386.1538, '_a2_': -281.174407243526, '_a3_': 3.9724385620400122, '_a4_': 6571.299327148621}, 'UK': {'_a0_': 1314.0440974023481, '_a1_': -193541286.6899822, '_a2_': -414.6385752442, '_a3_': 14.303566101145545, '_a4_': -10.200744882732662}}	{'Belgium': 0.0762880277566921, 'Canada': 0.07541803788004986, 'Catalonia': 0.043112500356728305, 'Croatia': 0.1394500244469154, 'France': 0.28301368567415136, 'Hungary': 0.06280367675100944, 'India': 0.040557484639858976, 'Italy': 0.034262397036717185, 'UK': 0.07803492472133428}	-4021.87292587585	137.4127207863096
27000	27000	-1880.50822216217	((((sin((pow3(-(_a3_)) + (_a1_ * (T ** _a3_)))) / (cosh(P) ** _a4_)) / T) + (_a2_ + T)) / ((((_a2_ + _a2_) + (((T * ((P + ((_a1_ / _a2_) / _a0_)) + _a4_)) * P) + tan(_a2_))) * P) + _a0_))	{'Belgium': {'_a0_': 0.09954133986607305, '_a1_': -7.057089600635522e-47, '_a2_': -0.023382221779283115, '_a3_': -14.689725390293518, '_a4_': 409.0358243091811}, 'Canada': {'_a0_': 4022.5844186263444, '_a1_': -2409317782.005935, '_a2_': -758.6944215718387, '_a3_': 3.3085210999137282, '_a4_': 1701.633062293003}, 'Catalonia': {'_a0_': 5127.551678342866, '_a1_': -5027.609292374472, '_a2_': -636.1727426782066, '_a3_': -0.0011029987489322235, '_a4_': -5.7726650408404705}, 'Croatia': {'_a0_': 15453.052266254317, '_a1_': -81720.06635702228, '_a2_': -5800.951524870053, '_a3_': 1.4862488428233673, '_a4_': 10.312566435382928}, 'France': {'_a0_': 86.18740422371661, '_a1_': -4.149026610455235, '_a2_': -70.68671576091846, '_a3_': 0.03822025366907328, '_a4_': 252.59046091979113}, 'Hungary': {'_a0_': 916.8134389452301, '_a1_': 6932083.805412781, '_a2_': -677.0133457618662, '_a3_': 2.319222054183711, '_a4_': 249.63236184498328}, 'India': {'_a0_': -148.5046101595334, '_a1_': 27.89088025955415, '_a2_': 4.508864218768441e-09, '_a3_': -0.00166502804288224, '_a4_': -232.39634843358684}, 'Italy': {'_a0_': 1279.4606368118293, '_a1_': 275670550352.6161, '_a2_': -281.17266181260203, '_a3_': 3.9720682360146427, '_a4_': 6642.056599157005}, 'UK': {'_a0_': 1314.0435446861218, '_a1_': -723594640397.3636, '_a2_': -414.64472277857584, '_a3_': 14.303563946292718, '_a4_': -10.193361061131542}}	{'Belgium': 0.07568065902060844, 'Canada': 0.07541970339530527, 'Catalonia': 0.04326170171515194, 'Croatia': 0.1394397723092892, 'France': 0.28301561372687284, 'Hungary': 0.06279336730305832, 'India': 0.03254364946490602, 'Italy': 0.03736810121630048, 'UK': 0.07803493598740467}	-4036.65137834453	137.8174670100958
28000	28000	-1900.57736488962	((((sin((pow3(-(_a3_)) + (_a1_ * (T ** _a3_)))) / (cosh(P) ** _a4_)) / T) + _a2_) / ((((_a2_ + _a2_) + (((T * (P + _a4_)) * P) + tan(_a2_))) * P) + _a0_))	{'Belgium': {'_a0_': 0.10488023127687555, '_a1_': -8.172717772600351e-47, '_a2_': -0.02076396718188494, '_a3_': -14.689725390855248, '_a4_': 440.8367957329354}, 'Canada': {'_a0_': 4022.5844186263444, '_a1_': -2409317782.005935, '_a2_': -758.6944215718387, '_a3_': 3.3085210999137282, '_a4_': 1701.633062293003}, 'Catalonia': {'_a0_': 5127.551678342866, '_a1_': -5027.609292374472, '_a2_': -636.1727426782066, '_a3_': -0.0011029987489322235, '_a4_': -5.7726650408404705}, 'Croatia': {'_a0_': 15452.994826221657, '_a1_': -81709.80498032838, '_a2_': -5800.951524594129, '_a3_': 1.486223552039875, '_a4_': 10.297381414521942}, 'France': {'_a0_': 86.20071372027907, '_a1_': -4.1490873901269785, '_a2_': -70.68671574173133, '_a3_': 0.03822249366809591, '_a4_': 252.6125250655101}, 'Hungary': {'_a0_': 916.7408751233268, '_a1_': 6932214.091447126, '_a2_': -677.0133457507826, '_a3_': 2.319221850168856, '_a4_': 249.63251604433535}, 'India': {'_a0_': -427.6650825659562, '_a1_': -30.322758585287826, '_a2_': -7.853873686017819, '_a3_': -0.003988198057439948, '_a4_': -152.8370296855678}, 'Italy': {'_a0_': 1296.9681385461809, '_a1_': 276905286714.2504, '_a2_': -281.1726692188087, '_a3_': 3.972090702697659, '_a4_': 6639.126282642922}, 'UK': {'_a0_': 1314.0435446861218, '_a1_': -723594640397.3636, '_a2_': -414.64472277857584, '_a3_': 14.303563946292718, '_a4_': -10.193361061131542}}	{'Belgium': 0.07610023458881716, 'Canada': 0.07541973303809539, 'Catalonia': 0.0432617165687973, 'Croatia': 0.13943977194664087, 'France': 0.2830136774678611, 'Hungary': 0.06279328085333781, 'India': 0.03344030704640113, 'Italy': 0.03702553593698184, 'UK': 0.0785663206889813}	-4033.41164850487	116.12845936281906
29000	29000	-1905.89027760105	((((sin((pow3(-(_a3_)) + (_a1_ * (T ** _a3_)))) / (cosh(P) ** _a4_)) / T) + _a2_) / ((((_a2_ + _a2_) + (((T * _a4_) * P) + tan(_a2_))) * P) + _a0_))	{'Belgium': {'_a0_': 0.10488023127687555, '_a1_': -8.172717772600351e-47, '_a2_': -0.02076396718188494, '_a3_': -14.689725390855248, '_a4_': 440.8367957329354}, 'Canada': {'_a0_': 4022.5844186263444, '_a1_': -2409317782.005935, '_a2_': -758.6944215718387, '_a3_': 3.3085210999137282, '_a4_': 1701.633062293003}, 'Catalonia': {'_a0_': 5127.551678342866, '_a1_': -5027.609292374472, '_a2_': -636.1727426782066, '_a3_': -0.0011029987489322235, '_a4_': -5.7726650408404705}, 'Croatia': {'_a0_': 15452.994826221657, '_a1_': -81709.80498032838, '_a2_': -5800.951524594129, '_a3_': 1.486223552039875, '_a4_': 10.297381414521942}, 'France': {'_a0_': 86.20071372027907, '_a1_': -4.1490873901269785, '_a2_': -70.68671574173133, '_a3_': 0.03822249366809591, '_a4_': 252.6125250655101}, 'Hungary': {'_a0_': 916.7408751233268, '_a1_': 6932214.091447126, '_a2_': -677.0133457507826, '_a3_': 2.319221850168856, '_a4_': 249.63251604433535}, 'India': {'_a0_': -427.6650825659562, '_a1_': -30.322758585287826, '_a2_': -7.853873686017819, '_a3_': -0.003988198057439948, '_a4_': -152.8370296855678}, 'Italy': {'_a0_': 1296.9681385461809, '_a1_': 276905286714.2504, '_a2_': -281.1726692188087, '_a3_': 3.972090702697659, '_a4_': 6639.126282642922}, 'UK': {'_a0_': 1314.0435446861218, '_a1_': -723594640397.3636, '_a2_': -414.64472277857584, '_a3_': 14.303563946292718, '_a4_': -10.193361061131542}}	{'Belgium': 0.07610416053943414, 'Canada': 0.07541973303830637, 'Catalonia': 0.04326171654839428, 'Croatia': 0.13943977281694295, 'France': 0.28301368264628773, 'Hungary': 0.0627932807189616, 'India': 0.033440307044261, 'Italy': 0.03702553603109097, 'UK': 0.07856632075268878}	-4033.4061259039	110.81278535089906
