	t	H	expr	parvals	sse	bic	Hp
86000	86000	-137.831032842752	((((((((((_a3_ / (_a1_ * P)) * _a2_) + T) * -(T)) * ((sin((_a0_ * -(T))) / pow2((P / _a0_))) + _a2_)) + _a3_) * _a2_) + (_a2_ * _a4_)) / (_a3_ + T)) * _a0_)	{'Canada': {'_a0_': 5572.111651558577, '_a1_': -6.616326295690296e-10, '_a2_': -4.005921103160613e-13, '_a3_': -0.012470484690552093, '_a4_': -965415.8767162418}}	{'Canada': 0.055493324913214806}	-477.692567665626	101.01525099006103
66000	66000	-109.147418402923	(((((((((_a2_ + (_a2_ + _a2_)) * (_a1_ * ((_a3_ ** T) * (T + T)))) ** (P / _a0_)) + (P + P)) * (pow2(_a0_) / exp((((pow2((T ** (_a1_ / T))) ** P) ** P) ** _a4_)))) / _a1_) * _a0_) * _a0_) / T)	{'Canada': {'_a0_': 9.841295389053292e-05, '_a1_': -3.4343975676321322e-15, '_a2_': -6.227270206285676e+16, '_a3_': 8.113539350749318e-211, '_a4_': 12944006787639.572}}	{'Canada': 0.05681225129384826}	-475.179217639899	128.44219041702664
80000	80000	-100.44227244538	(((((((((_a2_ + (_a2_ + _a2_)) * (_a1_ * ((_a3_ ** T) * (T + T)))) ** (P / _a0_)) + P) * (pow2(_a0_) * sin((((pow2((_a0_ ** (_a1_ / T))) * exp(_a1_)) ** pow2(P)) ** _a4_)))) / _a1_) * _a0_) * _a0_) / T)	{'Canada': {'_a0_': 9.474389130541379e-05, '_a1_': -3.3298403528013425e-15, '_a2_': -6.334654779993387e+16, '_a3_': 6.711223527459389e-209, '_a4_': -13894190776343.748}}	{'Canada': 0.06349269922803068}	-463.283713890243	131.1995844997419
33000	33000	-95.0617849583064	((((((((_a0_ * abs((T + _a3_))) + _a2_) / pow2((pow2(T) / (((_a0_ / (((_a4_ * _a4_) * _a3_) * pow2(_a2_))) * T) * (_a0_ + T))))) + _a4_) * (_a1_ / _a3_)) * (_a2_ * log(T))) + _a3_) * _a2_)	{'Canada': {'_a0_': -4543111.09965067, '_a1_': -3.831579117680413e-16, '_a2_': 9398.925581744837, '_a3_': -0.002047013697222706, '_a4_': -201835.65212538996}}	{'Canada': 0.09801413247031415}	-416.825731570439	113.35108082691282
60000	60000	-82.6694569215658	((((((((_a3_ * abs((T + _a3_))) + _a2_) / pow2((pow2(_a2_) * ((_a0_ * (T * _a0_)) * (pow2(_a2_) * ((((_a0_ * _a0_) * (_a1_ * pow2(_a0_))) * _a0_) * pow2(_a2_))))))) + _a0_) * _a4_) * (_a1_ * (_a1_ / T))) + _a0_) / _a2_)	{'Canada': {'_a0_': -9.853874627739418e-06, '_a1_': 1.9517578280207583e+70, '_a2_': 3.7246323648904976e-06, '_a3_': -0.0020687543531490112, '_a4_': -7.793123013523635e-144}}	{'Canada': 0.0995308745902839}	-415.182616429781	124.92185129332458
61000	61000	-79.0742513370239	((((((((_a3_ * abs((T + _a3_))) + _a2_) / pow2((pow2(_a2_) * ((_a0_ * (T * _a0_)) * (pow2(_a2_) * ((((_a2_ * _a0_) * (_a1_ * pow2(_a0_))) * _a0_) * pow2(_a2_))))))) + -(_a2_)) * _a4_) * (_a1_ * (_a1_ / T))) + _a0_) / _a2_)	{'Canada': {'_a0_': -9.856122551601671e-06, '_a1_': 8.384730441843147e+70, '_a2_': 3.7247924418264076e-06, '_a3_': -0.002068757688194013, '_a4_': -1.1173657934418067e-144}}	{'Canada': 0.09953087170562215}	-415.182619530917	128.51705842843458
63000	63000	-77.8469782324669	((((((((_a3_ * abs((T + _a3_))) + _a2_) / pow2((pow2(_a2_) * ((_a0_ * (T * _a2_)) * (pow2(_a2_) * (((pow2(pow3(_a3_)) * (_a1_ * pow2(_a0_))) * _a2_) * pow2(_a0_))))))) + _a0_) * _a4_) * (_a1_ * (_a1_ / T))) + _a0_) / _a2_)	{'Canada': {'_a0_': -9.856969522265907e-06, '_a1_': -2.4126290169034355e+76, '_a2_': 3.724855742236144e-06, '_a3_': -0.002068759343417278, '_a4_': -5.100240411207818e-156}}	{'Canada': 0.09953087218001386}	-415.182619020926	129.74433127799577
87000	87000	-134.137562850113	((((((((_a4_ / (P + P)) / T) + _a0_) * -(T)) * ((sin((_a0_ * -(T))) / pow2((P / _a0_))) * (_a0_ + ((_a0_ + P) * _a0_)))) + P) * (_a0_ / _a2_)) + _a3_)	{'Canada': {'_a0_': 5564.067411708015, '_a2_': 2.1717886571761805e+24, '_a3_': -0.20878526347239465, '_a4_': -0.08840626750637876, '_a1_': 1.0}}	{'Canada': 0.060750123441228696}	-472.681214643895	102.20304447183472
88000	88000	-106.222724587855	(((((((_a3_ * _a0_) * _a0_) / _a2_) * -((sin((pow2(pow2((_a4_ + -(T)))) / ((_a1_ * _a2_) / _a0_))) * _a1_))) / _a4_) / T) + (-(((T ** _a1_) * _a3_)) + _a3_))	{'Canada': {'_a0_': 4.062211680014525e-08, '_a1_': 1.328632802517875e-06, '_a2_': 2.7291531947220997e-11, '_a3_': -27747.97038662452, '_a4_': 0.013125785365502605}}	{'Canada': 0.10751418355033887}	-406.927043687113	97.2407972557016
49000	49000	-84.5602551989481	(((((((_a3_ * abs((T + _a3_))) + _a2_) / pow2((-(_a2_) * ((_a2_ * (T * (_a3_ + _a4_))) * ((_a2_ * _a2_) * (((_a2_ * _a1_) * _a2_) * pow2(_a2_))))))) + _a3_) * _a4_) * (_a1_ * (((T + _a1_) + _a2_) / T))) + _a0_)	{'Canada': {'_a0_': -2.646090224481955, '_a1_': -4.23261869400684e+47, '_a2_': 3.724793662145043e-06, '_a3_': -0.002068757710892746, '_a4_': -2.119563045617295e-95}}	{'Canada': 0.09953087170542424}	-415.18261953113	123.03105456661685
