	t	H	expr	parvals	sse	bic	Hp
92000	92000	-113.733886495342	((((((((((_a1_ * _a1_) + (_a3_ + T)) ** ((-(_a4_) * _a3_) * (_a3_ * pow2((_a2_ + T))))) + -(_a3_)) / _a0_) * (_a4_ * _a4_)) / (T / sqrt(_a0_))) * _a4_) * pow2(_a4_)) * (pow2(pow2(_a4_)) * (_a2_ + pow2((pow2(_a4_) * _a4_)))))	{'Italy': {'_a0_': 1.7668311503930365e+308, '_a1_': -0.3854355081559976, '_a2_': -0.0012948487357216253, '_a3_': 0.8507625747237256, '_a4_': 11264531880.509037}}	{'Italy': 0.05072397527461371}	-487.308021846172	129.92012442774458
79000	79000	-125.31201258063	(((((((((_a3_ + (_a3_ + T)) ** ((-(_a4_) / _a3_) * (_a3_ * pow2((_a2_ + T))))) + _a1_) / _a0_) * (_a4_ * _a4_)) / (T / sqrt(_a0_))) * _a4_) * _a4_) * (pow2(pow2(_a4_)) * (T + pow2((pow2(_a4_) * _a4_)))))	{'Italy': {'_a0_': 1.624887356057653e+284, '_a1_': -0.8508238786745136, '_a2_': -0.0012948520562725884, '_a3_': 0.4996615434109418, '_a4_': 8151722151.77229}}	{'Italy': 0.05072396784137793}	-487.308037526258	118.34200618249918
21000	21000	-201.115310582061	((((((((P * (_a3_ * _a4_)) * _a4_) * (((sqrt(_a2_) * _a3_) / _a0_) * T)) * _a4_) + (((cos(T) ** (_a0_ * abs((P + _a3_)))) / _a1_) * (_a4_ + _a2_))) * _a3_) + _a4_) * _a0_)	{'Italy': {'_a0_': 220009135.091182, '_a1_': -6.018050732297562e+76, '_a2_': 4.357969298027611e+69, '_a3_': -0.015166309817067363, '_a4_': -8.479666948235459e-10}}	{'Italy': 0.01516582875121089}	-616.494888646843	107.13213374136072
27000	27000	-195.482273675054	((((((((P * sin(-(_a4_))) * _a4_) * (((sqrt(-(_a1_)) * _a4_) / _a0_) * pow2(T))) * _a4_) + (((cos(T) ** (_a0_ * abs((P + _a3_)))) / _a1_) * _a2_)) * _a3_) + _a4_) * _a0_)	{'Italy': {'_a0_': 229152295.96867412, '_a1_': -4.2581833610260546e+85, '_a2_': 2.896656626534249e+78, '_a3_': -0.01517388777328507, '_a4_': -7.816511093831544e-10}}	{'Italy': 0.014895713223994626}	-618.417819899723	113.7266362748073
24000	24000	-196.101565976516	((((((((T * (_a3_ * _a4_)) * _a4_) * (((sqrt(_a2_) * _a4_) / (_a0_ + _a3_)) * pow2(T))) * _a4_) + (((cos(T) ** (_a0_ * abs((P + _a3_)))) / _a1_) * _a2_)) * _a3_) + _a4_) * _a0_)	{'Italy': {'_a0_': 223296944.77524742, '_a1_': -3.6692488265513255e+99, '_a2_': 2.608499104586994e+92, '_a3_': -0.015158811095426855, '_a4_': -8.366136804315409e-10}}	{'Italy': 0.015584407086368511}	-613.581698082434	110.68928306470072
26000	26000	-224.154544769974	(((((((P * _a0_) * T) * T) + _a4_) + ((_a1_ / ((_a1_ ** _a1_) / _a3_)) * (_a3_ / (((_a3_ ** (_a1_ ** P)) + (_a2_ * pow2(P))) * T)))) + _a4_) * _a3_)	{'Italy': {'_a0_': 4.903514822283482e-12, '_a1_': 26.249394678529413, '_a2_': -1.946832243563265e+20, '_a3_': 7294276083970004.0, '_a4_': -1.2142736522911598e-17}}	{'Italy': 0.01360826004728533}	-628.090245793006	89.8905781265293
50000	50000	-178.203524725813	(((((((_a0_ / _a2_) * -(cos((((_a1_ * _a1_) + _a2_) / (_a3_ / (_a1_ + (_a4_ * (_a2_ * T)))))))) + (((sin(_a4_) * (P * pow2(_a3_))) / (T + _a2_)) * _a4_)) * _a1_) * log(P)) + (_a3_ + _a0_)) / P)	{'Italy': {'_a0_': 2.3279783812233367e-07, '_a1_': 1.7057087039090137, '_a2_': 0.0013962765631150445, '_a3_': 0.010362334722658828, '_a4_': 21469.644310104715}}	{'Italy': 0.01682993839345783}	-605.354630824548	124.47379068646042
83000	83000	-207.572743440067	((((((T * cos((T + P))) + (P + _a0_)) ** (((_a1_ * pow2((P / _a0_))) * _a1_) / _a2_)) * T) + ((_a4_ ** (T * _a3_)) + _a3_)) + (_a0_ / (_a1_ * T)))	{'Italy': {'_a0_': 0.9761570082300992, '_a1_': 4056.3104094261157, '_a2_': -5.870663688189789, '_a3_': -1.419150711960667, '_a4_': 1.409920629324029e-19}}	{'Italy': 0.016680180541617042}	-606.311010409974	95.58276176491952
30000	30000	-183.457125171203	((((((_a0_ * ((T + T) * (P * _a1_))) + _a4_) + (((_a3_ / _a0_) / ((_a1_ ** _a1_) / abs((_a2_ * _a2_)))) * (_a3_ / (((_a3_ ** (_a1_ ** P)) + (_a2_ * pow2(P))) * (T * _a0_))))) + _a4_) * (_a3_ + _a4_)) + _a4_)	{'Italy': {'_a0_': 1.522926788105617e-13, '_a1_': 52.47374425802531, '_a2_': -2.1986089656300336e+17, '_a3_': 8365160794693.816, '_a4_': -1.0961068275817166e-14}}	{'Italy': 0.014257615917573534}	-623.102521095523	128.0941353765584
33000	33000	-192.287924274713	((((((_a0_ * pow2(cos((_a4_ * (_a3_ / (-(_a4_) + (pow2(_a1_) * (T / (_a3_ * _a3_))))))))) + (((_a3_ * P) + _a2_) / pow2(_a2_))) * (_a0_ + T)) * log(P)) + (_a1_ + (_a2_ * T))) / P)	{'Italy': {'_a0_': -0.02498513711762251, '_a1_': -0.020777826127534618, '_a2_': 4.882724077247274, '_a3_': -79.59886691994086, '_a4_': -1.1266100509221593e-09}}	{'Italy': 0.015580392045063073}	-613.609268253527	114.5167098520502
