	t	H	expr	parvals	sse	bic	Hp
20000	20000	-1666.77468784976	((sin(((sinh(-((T ** ((_a1_ / (_a4_ + _a4_)) * T)))) * (_a0_ + ((T * ((_a1_ + _a3_) + T)) * (T + T)))) + T)) + _a3_) * (T + ((_a1_ * _a1_) * _a2_)))	{'Belgium': {'_a0_': 7.643950044858155, '_a1_': -4743099.261170128, '_a2_': -5.582152022304765e-15, '_a3_': 0.1006511723422968, '_a4_': -18697.1322687069}, 'Canada': {'_a0_': -3.629770962144257, '_a1_': 3853706.388404459, '_a2_': -8.382979068814734e-13, '_a3_': 1.0111546965902158, '_a4_': 8688.091658056423}, 'Catalonia': {'_a0_': 2.1267673024210385, '_a1_': 219234.127942382, '_a2_': 1.043109920046001e-09, '_a3_': 0.9963238983884477, '_a4_': 1395.1727903328242}, 'Croatia': {'_a0_': 25.92655031486513, '_a1_': 23965303.88999832, '_a2_': -1.5517063964499302e-16, '_a3_': 4.19005891873632, '_a4_': 67518.4744499603}, 'France': {'_a0_': -1.4937631725194653, '_a1_': -194413.23587432585, '_a2_': -1.5594211654511889e-10, '_a3_': -0.8378003138359943, '_a4_': -1095.7687373075682}, 'Hungary': {'_a0_': 631.8877981341097, '_a1_': -225583.79032653483, '_a2_': 1.1838832126581705e-13, '_a3_': -35.98439479024513, '_a4_': -24179.195057278157}, 'India': {'_a0_': 335.5715742992197, '_a1_': 4004583.5033764425, '_a2_': 1.854186937230102e-15, '_a3_': -12.966469900504425, '_a4_': 189496995121305.56}, 'Italy': {'_a0_': 6.3350401427929155, '_a1_': 4891573.968905588, '_a2_': -5.266830764666969e-15, '_a3_': 0.5801339828528809, '_a4_': 20743.019636595294}, 'UK': {'_a0_': -23.420623230089703, '_a1_': -1982612.3285225814, '_a2_': -3.7371385675575385e-12, '_a3_': -0.9893463731442386, '_a4_': -12056.413210807155}}	{'Belgium': 0.26850541407244327, 'Canada': 0.1289131959524521, 'Catalonia': 0.04280082814715341, 'Croatia': 0.14875814384333758, 'France': 0.42761260118286915, 'Hungary': 0.30401217545992704, 'India': 0.038789418735332426, 'Italy': 0.10643822541311625, 'UK': 0.053011496650419175}	-3535.67774897738	101.0641866389296
21000	21000	-1673.59839097475	((sin(((sinh(-((T ** ((_a1_ / (_a4_ + _a4_)) * T)))) * (_a0_ + ((T * _a1_) * (T + T)))) + T)) + _a3_) * (T + ((_a1_ * pow2(_a1_)) * _a2_)))	{'Belgium': {'_a0_': 7.643950166479575, '_a1_': -4743099.138538097, '_a2_': 1.1768997670565733e-21, '_a3_': 0.10065118291445814, '_a4_': -18697.131839180223}, 'Canada': {'_a0_': -3.626106999914932, '_a1_': 3852306.0533369835, '_a2_': -2.178698106421738e-19, '_a3_': 1.0111494150881513, '_a4_': 8685.737324991222}, 'Catalonia': {'_a0_': 2.12676731344344, '_a1_': 219235.1290306035, '_a2_': 4.757908267877218e-15, '_a3_': 0.9963238992345695, '_a4_': 1395.1791571806375}, 'Croatia': {'_a0_': 25.92672336258384, '_a1_': 23964655.312159635, '_a2_': -6.475382053956179e-24, '_a3_': 4.190031036328866, '_a4_': 67517.43453630229}, 'France': {'_a0_': -1.4934483473559157, '_a1_': -194374.78327437566, '_a2_': 8.024283538555465e-16, '_a3_': -0.8376853124335681, '_a4_': -1095.5489871601496}, 'Hungary': {'_a0_': 631.8363573805889, '_a1_': -244931.2586734706, '_a2_': -4.0947372410324524e-19, '_a3_': -36.01938335539701, '_a4_': -26350.422389647574}, 'India': {'_a0_': 335.5716223567243, '_a1_': 4004539.4128253665, '_a2_': 4.6303303594048365e-22, '_a3_': -12.966429751408205, '_a4_': 4.17009423299358e+19}, 'Italy': {'_a0_': 6.335039992613274, '_a1_': 4891574.828488205, '_a2_': -1.0767143691427309e-21, '_a3_': 0.580133938659395, '_a4_': 20743.02275488643}, 'UK': {'_a0_': -23.42062324397983, '_a1_': -1982613.3265320116, '_a2_': 1.884954025204265e-18, '_a3_': -0.9893463735457414, '_a4_': -12056.419247646543}}	{'Belgium': 0.2685054140708651, 'Canada': 0.12891319573885315, 'Catalonia': 0.04280082816753748, 'Croatia': 0.1487581440648453, 'France': 0.427612601302017, 'Hungary': 0.30398527435346157, 'India': 0.038789418724873896, 'Italy': 0.10643822541488089, 'UK': 0.05301149664974735}	-3535.68721746491	94.24521775769963
22000	22000	-1681.49012276691	(((pow3(T) + sin(_a3_)) / -((((_a1_ + (T + (T * _a2_))) + ((log(T) * T) * _a2_)) + (T * _a3_)))) * pow3(_a3_))	{'Belgium': {'_a1_': 0.009617320104560767, '_a2_': 4.716544192968634, '_a3_': 18.849555913342453, '_a0_': 1.0, '_a4_': 1.0}, 'Canada': {'_a1_': 0.008677592727298884, '_a2_': 4.609804703841008, '_a3_': 18.849555925891565, '_a0_': 1.0, '_a4_': 1.0}, 'Catalonia': {'_a1_': 0.010216966962351564, '_a2_': 3.4994310522604457, '_a3_': 12.56637062695746, '_a0_': 1.0, '_a4_': 1.0}, 'Croatia': {'_a1_': 0.024997172528787196, '_a2_': 10.598188932185229, '_a3_': 47.12388976610073, '_a0_': 1.0, '_a4_': 1.0}, 'France': {'_a1_': 0.0013759845323027431, '_a2_': 0.30720422953215715, '_a3_': 0.0824849963153832, '_a0_': 1.0, '_a4_': 1.0}, 'Hungary': {'_a1_': -0.09214732148318464, '_a2_': -15.744104813432273, '_a3_': -72.25663107786917, '_a0_': 1.0, '_a4_': 1.0}, 'India': {'_a1_': 0.011035578150806647, '_a2_': 23.357442322991336, '_a3_': 131.94689145071266, '_a0_': 1.0, '_a4_': 1.0}, 'Italy': {'_a1_': -0.00800190973887615, '_a2_': -4.765754553176508, '_a3_': -21.991148571988695, '_a0_': 1.0, '_a4_': 1.0}, 'UK': {'_a1_': 30811647.28700629, '_a2_': 2696966969.142511, '_a3_': -35119.864274466294, '_a0_': 1.0, '_a4_': 1.0}}	{'Belgium': 0.2827759667328492, 'Canada': 0.165402181723445, 'Catalonia': 0.05953360163780504, 'Croatia': 0.1842419527776248, 'France': 0.4304249615381824, 'Hungary': 0.32394178297398984, 'India': 0.03915586922979781, 'Italy': 0.082902776750532, 'UK': 0.06672766745055017}	-3522.99593720647	80.00784583632402
23000	23000	-1697.59918340913	((sinh(pow3(-((((sin(_a4_) / T) + _a1_) / sin(-((_a2_ + (-((_a1_ * _a0_)) * T)))))))) * (T + (((_a3_ * T) / T) + T))) + _a2_)	{'Belgium': {'_a0_': 163.58005122787978, '_a1_': -1.777091313934902, '_a2_': -0.024630457653288234, '_a3_': -0.004020566242562988, '_a4_': 0.0016192873283857948}, 'Canada': {'_a0_': 21.53733069876623, '_a1_': 2.2110447786681067, '_a2_': 275.194983165908, '_a3_': -1.1874143992025552e-11, '_a4_': 3.494747556887158e-05}, 'Catalonia': {'_a0_': 16.57704770567316, '_a1_': -1.9948111127059336, '_a2_': 26.343010295872904, '_a3_': 0.0005715524198670453, '_a4_': -4.306301623369967e-05}, 'Croatia': {'_a0_': 247.7095781660177, '_a1_': 1.9618938135124748, '_a2_': -0.2863173717537799, '_a3_': -0.001475301744583001, '_a4_': -0.0007097080521037463}, 'France': {'_a0_': -92.6924400862721, '_a1_': -1.597693878050864, '_a2_': -0.856818317870489, '_a3_': 0.02075800887745082, '_a4_': 0.00027297038917845225}, 'Hungary': {'_a0_': -0.13935201898456756, '_a1_': 0.24903935318205822, '_a2_': -0.23183208025811716, '_a3_': 0.08823002124391555, '_a4_': -0.00010662824051024172}, 'India': {'_a0_': -84.32471072716459, '_a1_': -2.1538404793357273, '_a2_': 33.31146676369821, '_a3_': -1.5066775422224168e-06, '_a4_': -8.703534219237867e-06}, 'Italy': {'_a0_': 196.3099761075031, '_a1_': -1.906714828556166, '_a2_': -0.023010102376782703, '_a3_': -0.0029801266081452135, '_a4_': 0.0014243581607745325}, 'UK': {'_a0_': 13.436539802694098, '_a1_': 2.145890567263081, '_a2_': -186.6068048640805, '_a3_': 3.3724995386419922e-06, '_a4_': 6.366198705845969e-05}}	{'Belgium': 0.2814127836187665, 'Canada': 0.12634787040550305, 'Catalonia': 0.04425337189891196, 'Croatia': 0.14812948383834776, 'France': 0.4265702854142247, 'Hungary': 0.31519971740058755, 'India': 0.0384509866934741, 'Italy': 0.05907622062941787, 'UK': 0.05377319306277465}	-3588.48702633912	96.6443297604255
24000	24000	-1718.14272393208	((sinh(pow3(-((((_a4_ / T) + _a1_) / sin(-((_a2_ + (-((_a1_ * _a0_)) * T)))))))) * (T + ((_a1_ * _a4_) + T))) + _a2_)	{'Belgium': {'_a0_': 137.17346555963633, '_a1_': -1.9044842260957895, '_a2_': 0.09458090682826957, '_a4_': 0.001744529978011234, '_a3_': 1.0}, 'Canada': {'_a0_': 21.514477896024147, '_a1_': 2.2109149834095856, '_a2_': 275.19480533803903, '_a4_': 3.3003734692720556e-05, '_a3_': 1.0}, 'Catalonia': {'_a0_': 16.87966735461775, '_a1_': -1.9967916009987552, '_a2_': 26.34161574163026, '_a4_': -5.423708864357051e-05, '_a3_': 1.0}, 'Croatia': {'_a0_': 246.8190094546681, '_a1_': 1.964140278166361, '_a2_': -0.2853465637200267, '_a4_': -0.0007211709902128336, '_a3_': 1.0}, 'France': {'_a0_': -76.8660705503782, '_a1_': -1.7215762250003763, '_a2_': -0.8647929618807852, '_a4_': 0.0001588427448701573, '_a3_': 1.0}, 'Hungary': {'_a0_': 33.34577162068796, '_a1_': 0.39488385037062107, '_a2_': -0.21860142660817142, '_a4_': -4.5094636791790345e-05, '_a3_': 1.0}, 'India': {'_a0_': -84.29387349483032, '_a1_': -2.1537472985490753, '_a2_': 33.311316661368096, '_a4_': -8.162613562282677e-06, '_a3_': 1.0}, 'Italy': {'_a0_': 189.44955227301293, '_a1_': -1.9547868028317579, '_a2_': -0.001364906868285006, '_a4_': 0.001477664574499899, '_a3_': 1.0}, 'UK': {'_a0_': 13.418774398649235, '_a1_': 2.1457278608932078, '_a2_': -186.60700079210275, '_a4_': 6.019132929060154e-05, '_a3_': 1.0}}	{'Belgium': 0.307493508118969, 'Canada': 0.12634377238051503, 'Catalonia': 0.04444721424678479, 'Croatia': 0.1481759807601805, 'France': 0.42670995201855894, 'Hungary': 0.320605114629729, 'India': 0.03845098039905569, 'Italy': 0.0664534157171666, 'UK': 0.05375655193852743}	-3606.14887749655	84.93171481619184
25000	25000	-1649.66828958141	((sin(((sinh(-((T ** ((_a1_ / (_a4_ + _a4_)) * T)))) * (_a0_ + ((T * _a1_) * (T + T)))) + T)) + ((_a3_ + T) + (((_a4_ / _a1_) * _a4_) / _a2_))) * (T + ((_a1_ * pow2(_a1_)) / _a2_)))	{'Belgium': {'_a0_': 7.66198528187304, '_a1_': -4747897.649043704, '_a2_': 8.53007966256947e+20, '_a3_': 0.09815254429206188, '_a4_': -18709.23816410396}, 'Canada': {'_a0_': -2.8588819388623214, '_a1_': 3562586.2890651063, '_a2_': -3.363191913746684e+18, '_a3_': 1.0081870330095273, '_a4_': 8195.265247494566}, 'Catalonia': {'_a0_': 2.1175586061796516, '_a1_': 242041.34487023085, '_a2_': 274216032858843.28, '_a3_': 0.9931869177928172, '_a4_': 1464.1486760859639}, 'Croatia': {'_a0_': 25.92629913844142, '_a1_': 23966880.10724723, '_a2_': -1.5456261370347992e+23, '_a3_': 4.191303249335003, '_a4_': 67521.7765179625}, 'France': {'_a0_': -1.7376335362810642, '_a1_': -225592.45582752582, '_a2_': 1547546309342432.0, '_a3_': -0.9146600328437643, '_a4_': -1264.6316176750972}, 'Hungary': {'_a0_': 628.5710494222446, '_a1_': 356398.18537282455, '_a2_': 2.125529454047462e+18, '_a3_': -11.47528893939089, '_a4_': 72476.22978491317}, 'India': {'_a0_': -418.26801773125567, '_a1_': 3993894.0375942243, '_a2_': 2.1230321763422136e+21, '_a3_': -113706.69977535689, '_a4_': -3.10488150635247e+16}, 'Italy': {'_a0_': 6.33328136869034, '_a1_': 4891134.298906856, '_a2_': -9.289598385434012e+20, '_a3_': 0.5788162718156814, '_a4_': 20743.33355670059}, 'UK': {'_a0_': -23.31534529108304, '_a1_': -1951501.6256695818, '_a2_': 4.1499732158740154e+17, '_a3_': -0.9955364039710511, '_a4_': -11945.633635901773}}	{'Belgium': 0.2684698483565628, 'Canada': 0.12227288953726238, 'Catalonia': 0.04249027988605631, 'Croatia': 0.1487408292915512, 'France': 0.427578378057622, 'Hungary': 0.31165868745683195, 'India': 0.03879283997573531, 'Italy': 0.10642712232838072, 'UK': 0.05287103767833729}	-3539.7783414206	120.2208811288966
26000	26000	-1718.14272393208	((sinh(pow3(-((((_a4_ / T) + _a1_) / sin(-((_a2_ + (-((_a1_ * _a0_)) * T)))))))) * (T + ((_a1_ * _a4_) + T))) + _a2_)	{'Belgium': {'_a0_': 137.17346555963633, '_a1_': -1.9044842260957895, '_a2_': 0.09458090682826957, '_a4_': 0.001744529978011234, '_a3_': 1.0}, 'Canada': {'_a0_': 21.514477896024147, '_a1_': 2.2109149834095856, '_a2_': 275.19480533803903, '_a4_': 3.3003734692720556e-05, '_a3_': 1.0}, 'Catalonia': {'_a0_': 16.87966735461775, '_a1_': -1.9967916009987552, '_a2_': 26.34161574163026, '_a4_': -5.423708864357051e-05, '_a3_': 1.0}, 'Croatia': {'_a0_': 246.8190094546681, '_a1_': 1.964140278166361, '_a2_': -0.2853465637200267, '_a4_': -0.0007211709902128336, '_a3_': 1.0}, 'France': {'_a0_': -76.8660705503782, '_a1_': -1.7215762250003763, '_a2_': -0.8647929618807852, '_a4_': 0.0001588427448701573, '_a3_': 1.0}, 'Hungary': {'_a0_': 33.34577162068796, '_a1_': 0.39488385037062107, '_a2_': -0.21860142660817142, '_a4_': -4.5094636791790345e-05, '_a3_': 1.0}, 'India': {'_a0_': -84.29387349483032, '_a1_': -2.1537472985490753, '_a2_': 33.311316661368096, '_a4_': -8.162613562282677e-06, '_a3_': 1.0}, 'Italy': {'_a0_': 189.44955227301293, '_a1_': -1.9547868028317579, '_a2_': -0.001364906868285006, '_a4_': 0.001477664574499899, '_a3_': 1.0}, 'UK': {'_a0_': 13.418774398649235, '_a1_': 2.1457278608932078, '_a2_': -186.60700079210275, '_a4_': 6.019132929060154e-05, '_a3_': 1.0}}	{'Belgium': 0.307493508118969, 'Canada': 0.12634377238051503, 'Catalonia': 0.04444721424678479, 'Croatia': 0.1481759807601805, 'France': 0.42670995201855894, 'Hungary': 0.320605114629729, 'India': 0.03845098039905569, 'Italy': 0.0664534157171666, 'UK': 0.05375655193852743}	-3606.14887749655	84.93171481619184
27000	27000	-1718.14272393208	((sinh(pow3(-((((_a4_ / T) + _a1_) / sin(-((_a2_ + (-((_a1_ * _a0_)) * T)))))))) * (T + ((_a1_ * _a4_) + T))) + _a2_)	{'Belgium': {'_a0_': 137.17346555963633, '_a1_': -1.9044842260957895, '_a2_': 0.09458090682826957, '_a4_': 0.001744529978011234, '_a3_': 1.0}, 'Canada': {'_a0_': 21.514477896024147, '_a1_': 2.2109149834095856, '_a2_': 275.19480533803903, '_a4_': 3.3003734692720556e-05, '_a3_': 1.0}, 'Catalonia': {'_a0_': 16.87966735461775, '_a1_': -1.9967916009987552, '_a2_': 26.34161574163026, '_a4_': -5.423708864357051e-05, '_a3_': 1.0}, 'Croatia': {'_a0_': 246.8190094546681, '_a1_': 1.964140278166361, '_a2_': -0.2853465637200267, '_a4_': -0.0007211709902128336, '_a3_': 1.0}, 'France': {'_a0_': -76.8660705503782, '_a1_': -1.7215762250003763, '_a2_': -0.8647929618807852, '_a4_': 0.0001588427448701573, '_a3_': 1.0}, 'Hungary': {'_a0_': 33.34577162068796, '_a1_': 0.39488385037062107, '_a2_': -0.21860142660817142, '_a4_': -4.5094636791790345e-05, '_a3_': 1.0}, 'India': {'_a0_': -84.29387349483032, '_a1_': -2.1537472985490753, '_a2_': 33.311316661368096, '_a4_': -8.162613562282677e-06, '_a3_': 1.0}, 'Italy': {'_a0_': 189.44955227301293, '_a1_': -1.9547868028317579, '_a2_': -0.001364906868285006, '_a4_': 0.001477664574499899, '_a3_': 1.0}, 'UK': {'_a0_': 13.418774398649235, '_a1_': 2.1457278608932078, '_a2_': -186.60700079210275, '_a4_': 6.019132929060154e-05, '_a3_': 1.0}}	{'Belgium': 0.307493508118969, 'Canada': 0.12634377238051503, 'Catalonia': 0.04444721424678479, 'Croatia': 0.1481759807601805, 'France': 0.42670995201855894, 'Hungary': 0.320605114629729, 'India': 0.03845098039905569, 'Italy': 0.0664534157171666, 'UK': 0.05375655193852743}	-3606.14887749655	84.93171481619184
28000	28000	-1690.35539132612	(((((T * (_a4_ + (abs((_a3_ + _a3_)) * T))) + _a2_) * ((cos(T) ** (_a0_ * T)) + T)) + (_a1_ * _a3_)) / pow3(_a1_))	{'Belgium': {'_a0_': 262959858.2258647, '_a1_': -1.5296773837888784e-07, '_a2_': 5.036035622559281e-21, '_a3_': -1.4290042066424752e-15, '_a4_': -8.435347797410296e-18}, 'Canada': {'_a0_': 7233175998.728578, '_a1_': -2.0727275920381827e-08, '_a2_': 1.0237094905921073e-19, '_a3_': 3.4418115724093567e-15, '_a4_': -4.651206147481622e-17}, 'Catalonia': {'_a0_': 506027841.4976925, '_a1_': 2.2800575143441764e-07, '_a2_': 3.4401042221816813e-20, '_a3_': -1.0271278309373946e-14, '_a4_': -5.101713406673449e-17}, 'Croatia': {'_a0_': 4576750723.40339, '_a1_': 6.475343043456218e-07, '_a2_': 1.0132140217047527e-19, '_a3_': -1.9128371999308443e-13, '_a4_': -2.7145455703102488e-16}, 'France': {'_a0_': 0.010016773461802964, '_a1_': 0.000282742452221391, '_a2_': 8.55939650879927e-11, '_a3_': -2.8664954507865747e-07, '_a4_': -5.1227508934914565e-09}, 'Hungary': {'_a0_': 1.7503634126458326e+16, '_a1_': 4.874909825244012e-05, '_a2_': -6.2579011737907335e-12, '_a3_': -4.837348420947044e-10, '_a4_': 5.458470875690195e-10}, 'India': {'_a0_': 132518213501.57738, '_a1_': -1.9197228516104635e-05, '_a2_': -8.84752590173645e-12, '_a3_': -3.4178585030986365e-10, '_a4_': 4.87352221109812e-09}, 'Italy': {'_a0_': 1549129466.9208546, '_a1_': 9.828407018695775e-08, '_a2_': 2.834846435133099e-21, '_a3_': -2.0403472125129087e-15, '_a4_': -6.490992912827406e-18}, 'UK': {'_a0_': 608181899.7167441, '_a1_': 4.632342205780616e-09, '_a2_': 1.8231482553471332e-23, '_a3_': 6.578235495589447e-19, '_a4_': -1.0816745829984756e-20}}	{'Belgium': 0.276615974372357, 'Canada': 0.1361586026361743, 'Catalonia': 0.044231510824189905, 'Croatia': 0.15306500000822088, 'France': 0.4523672536764495, 'Hungary': 0.3208970762854479, 'India': 0.03962725764618211, 'Italy': 0.07646783847103841, 'UK': 0.05635035558695463}	-3534.82759067234	77.05840401004578
29000	29000	-1718.14272393208	((sinh(pow3(-((((_a4_ / T) + _a1_) / sin(-((_a2_ + (-((_a1_ * _a0_)) * T)))))))) * (T + ((_a1_ * _a4_) + T))) + _a2_)	{'Belgium': {'_a0_': 137.17346555963633, '_a1_': -1.9044842260957895, '_a2_': 0.09458090682826957, '_a4_': 0.001744529978011234, '_a3_': 1.0}, 'Canada': {'_a0_': 21.514477896024147, '_a1_': 2.2109149834095856, '_a2_': 275.19480533803903, '_a4_': 3.3003734692720556e-05, '_a3_': 1.0}, 'Catalonia': {'_a0_': 16.87966735461775, '_a1_': -1.9967916009987552, '_a2_': 26.34161574163026, '_a4_': -5.423708864357051e-05, '_a3_': 1.0}, 'Croatia': {'_a0_': 246.8190094546681, '_a1_': 1.964140278166361, '_a2_': -0.2853465637200267, '_a4_': -0.0007211709902128336, '_a3_': 1.0}, 'France': {'_a0_': -76.8660705503782, '_a1_': -1.7215762250003763, '_a2_': -0.8647929618807852, '_a4_': 0.0001588427448701573, '_a3_': 1.0}, 'Hungary': {'_a0_': 33.34577162068796, '_a1_': 0.39488385037062107, '_a2_': -0.21860142660817142, '_a4_': -4.5094636791790345e-05, '_a3_': 1.0}, 'India': {'_a0_': -84.29387349483032, '_a1_': -2.1537472985490753, '_a2_': 33.311316661368096, '_a4_': -8.162613562282677e-06, '_a3_': 1.0}, 'Italy': {'_a0_': 189.44955227301293, '_a1_': -1.9547868028317579, '_a2_': -0.001364906868285006, '_a4_': 0.001477664574499899, '_a3_': 1.0}, 'UK': {'_a0_': 13.418774398649235, '_a1_': 2.1457278608932078, '_a2_': -186.60700079210275, '_a4_': 6.019132929060154e-05, '_a3_': 1.0}}	{'Belgium': 0.307493508118969, 'Canada': 0.12634377238051503, 'Catalonia': 0.04444721424678479, 'Croatia': 0.1481759807601805, 'France': 0.42670995201855894, 'Hungary': 0.320605114629729, 'India': 0.03845098039905569, 'Italy': 0.0664534157171666, 'UK': 0.05375655193852743}	-3606.14887749655	84.93171481619184
