strata,patch,time,cases
1,1,1,0.0
2,1,1,0.0
3,1,1,0.0
1,2,1,0.0
2,2,1,0.0
3,2,1,0.0
1,3,1,0.0
2,3,1,0.0
3,3,1,1.0
1,4,1,0.0
2,4,1,0.0
3,4,1,0.0
1,5,1,0.0
2,5,1,2.0
3,5,1,0.0
1,1,2,0.0
2,1,2,0.0
3,1,2,0.0
1,2,2,0.0
2,2,2,0.0
3,2,2,0.0
1,3,2,0.0
2,3,2,0.0
3,3,2,0.637155297532656
1,4,2,0.0
2,4,2,0.0
3,4,2,0.0
1,5,2,0.0
2,5,2,1.2743105950653122
3,5,2,0.0
1,1,3,0.0010285391573280113
2,1,3,0.011915362779358141
3,1,3,0.0045227656797167766
1,2,3,2.176299027514639e-6
2,2,3,0.0035897475692819457
3,2,3,0.0001381840373356272
1,3,3,0.0011926313271186661
2,3,3,0.017812661334294145
3,3,3,0.4217041558935066
1,4,3,0.0
2,4,3,0.027188397062244962
3,4,3,0.00040458788896947077
1,5,3,0.011119564124536468
2,5,3,0.9555706902414942
3,5,3,0.047314260411721654
1,1,4,0.0025429288441871744
2,1,4,0.027290670211641548
3,1,4,0.010347714292643957
1,2,4,6.0757157840201354e-6
2,2,4,0.008215076269156983
3,2,4,0.00034335377458671884
1,3,4,0.003045289268475194
2,3,4,0.04190088358489177
3,3,4,0.2984488488340045
1,4,4,0.0
2,4,4,0.062148058180174576
3,4,4,0.0009249231908326577
1,5,4,0.02749123440966239
2,5,4,0.8459114959305569
3,5,4,0.10819423447882894
1,1,5,0.004193353303526692
2,1,5,0.04155961897098997
3,1,5,0.015776460332422856
1,2,5,3.063373376138796e-5
2,2,5,0.012748309794396739
3,2,5,0.0006344698827127417
1,3,5,0.005165903131189903
2,3,5,0.06533039357734953
3,3,5,0.22913019223766418
1,4,5,9.50552030479537e-5
2,4,5,0.0952593882364949
3,4,5,0.0018145844948394844
1,5,5,0.0452407982204363
2,5,5,0.8281813037192003
3,5,5,0.16450322110710744
1,1,6,0.0058211739069462375
2,1,6,0.05320234030613582
3,1,6,0.020275887507226927
1,2,6,0.0001043222650200873
2,2,6,0.01704942486342477
3,2,6,0.0010851239913738347
1,3,6,0.0073789178081840965
2,3,6,0.08566394121823573
3,3,6,0.18988572792759909
1,4,6,0.0004221084657676716
2,4,6,0.12405949311432454
3,4,6,0.0035344811429528548
1,5,6,0.06251985790911244
2,5,6,0.8437321340259022
3,5,6,0.21020208162962456
1,1,7,0.007378493821638978
2,1,7,0.062295789070042996
3,1,7,0.023902496932168487
1,2,7,0.00025286839029634494
2,2,7,0.021363405289770186
3,2,7,0.001762102500644907
1,3,7,0.009642213341178624
2,3,7,0.10295354132031642
3,3,7,0.1668917945121637
1,4,7,0.0011001592502854554
2,4,7,0.14939527868890087
3,4,7,0.006434339011445281
1,5,7,0.07869675797465488
2,5,7,0.8677474974580642
3,5,7,0.24557578903540675
1,1,8,0.008867036964248308
2,1,8,0.06948825861247782
3,1,8,0.026906015882432164
1,2,8,0.0004937531913928629
2,2,8,0.025963637001656457
3,2,8,0.002698747385223692
1,3,8,0.011969713726941262
2,3,8,0.11813822378237816
3,3,8,0.152593061525019
1,4,8,0.002204447546959625
2,4,8,0.17294941858097113
3,4,8,0.01064585985648616
1,5,8,0.09372452081097282
2,5,8,0.892071608136516
3,5,8,0.2731689765115843
1,1,9,0.010304087893827299
2,1,9,0.07547085845961128
3,1,9,0.029533455447629933
1,2,9,0.0008364138906311295
2,2,9,0.03102513189194251
3,2,9,0.003897817466872949
1,3,9,0.014387517069841423
2,3,9,0.132201438766461
3,3,9,0.14305883204391207
1,4,9,0.0037681085497446765
2,4,9,0.19614991968682635
3,4,9,0.016122195286306547
1,5,9,0.10777330980285485
2,5,9,0.9154446819093565
3,5,9,0.2956912580466926
1,1,10,0.01170757931409306
2,1,10,0.08078279446908664
3,1,10,0.03196398261664546
1,2,10,0.0012848920932196101
2,2,10,0.03662216460777933
3,2,10,0.005345542717263151
1,3,10,0.016916501172861125
2,3,10,0.14587418501043758
3,3,10,0.13633043752559149
1,4,10,0.00579558973069521
2,4,10,0.21990839569163026
3,4,10,0.02272481366966428
1,5,10,0.1210560877457473
2,5,10,0.9387747192033824
3,5,10,0.31524534968917306
1,1,11,0.013091551410072974
2,1,11,0.08578606785457715
3,1,11,0.034307304592981334
1,2,11,0.001840611104697374
2,2,11,0.042767056157658835
3,2,11,0.007024562417268494
1,3,11,0.019569117095678164
2,3,11,0.15961409525477488
3,3,11,0.13146609283944186
1,4,11,0.008276821238368823
2,4,11,0.2447091463666443
3,4,11,0.0302979402594428
1,5,11,0.13376374060588295
2,5,11,0.9632272786504683
3,5,11,0.3332286691170814
1,1,12,0.0144660598353449
2,1,12,0.09070337806676422
3,1,12,0.036623308224527
1,2,12,0.0025043226773239966
2,2,12,0.04944787160035949
3,2,12,0.008921440894759734
1,3,12,0.02235159156701373
2,3,12,0.1736801528935921
3,3,12,0.1280218052979423
1,4,12,0.011197479931659525
2,4,12,0.27077775317502667
3,4,12,0.038711503470362785
1,5,12,0.14605123305628012
2,5,12,0.989656606047131
3,5,12,0.35048712684866934
1,1,13,0.015838401809389682
2,1,13,0.09566613068533901
3,1,13,0.03894274533956514
1,2,13,0.0032771380115206197
2,2,13,0.05665192845632487
3,2,13,0.01102920773347998
1,3,13,0.02526703509605666
2,3,13,0.18821481556887074
3,3,13,0.1257841905491326
1,4,13,0.014544780885205886
2,4,13,0.2982185203041696
3,4,13,0.04787633308272822
1,5,13,0.1580424811239999
2,5,13,1.018565471110819
3,5,13,0.36750904501370274
1,1,14,0.017214343894408072
2,1,14,0.10075269088733972
3,1,14,0.04128218284895856
1,2,14,0.004160909172304598
2,2,14,0.06437603934356728
3,2,14,0.01334693630895724
1,3,14,0.028317797144642148
2,3,14,0.2033036114899945
3,3,14,0.12464024973196774
1,4,14,0.018309938754171726
2,4,14,0.3270973470097107
3,4,14,0.05774254691851472
1,5,14,0.16983917277301486
2,5,14,1.0502137504105795
3,5,14,0.38457916668995507
1,1,15,0.018598972719537483
2,1,15,0.10601339003897688
3,1,15,0.04365277371272977
1,2,15,0.005158263740695132
2,2,15,0.07262851199216752
3,2,15,0.015878195727808943
1,3,15,0.03150681641732011
2,3,15,0.21900996802188322
3,3,15,0.12451780503724964
1,4,15,0.022488699024526524
2,4,15,0.3574809831575124
3,4,15,0.0682909528097877
1,5,15,0.18152824843613333
2,5,15,1.0847299257072875
3,5,15,0.4018784570587316
1,1,16,0.019997176659882317
2,1,16,0.11148489090353907
3,1,16,0.04606453121363191
1,2,16,0.006272509304901295
2,2,16,0.08142745417625094
3,2,16,0.018629484614089465
1,3,16,0.034838215768745025
2,3,16,0.23539219989506355
3,3,16,0.12536053837542474
1,4,16,0.027081000771356997
2,4,16,0.3894503180718834
3,4,16,0.07952359339251903
1,5,16,0.19318699680664392
2,5,16,1.1221871038310174
3,5,16,0.4195402787459066
1,1,17,0.02141387429541706
2,1,17,0.11719763564784097
3,1,17,0.048527952021692855
1,2,17,0.007507524771789941
2,2,17,0.09079819482702199
3,2,17,0.021609099080605668
1,3,17,0.03831745929010437
2,3,17,0.2525101866066906
3,3,17,0.1271189714408087
1,4,17,0.03209039550884754
2,4,17,0.42310152434586207
3,4,17,0.0914561919176801
1,5,17,0.20488619607887248
2,5,17,1.1626452221608417
3,5,17,0.4376782784714233
1,1,18,0.02285410052392273
2,1,18,0.12317938034932713
3,1,18,0.05105433950198653
1,2,18,0.00886768397101725
2,2,18,0.10077110521314868
3,2,18,0.02482648764698995
1,3,18,0.04195130775340673
2,3,18,0.27042711402576847
3,3,18,0.12974817749535794
1,4,18,0.03752351172997294
2,4,18,0.45854319159809404
3,4,18,0.10411311759469188
1,5,18,0.2166919939976972
2,5,18,1.2061708479597486
3,5,18,0.45639846577476445
1,1,19,0.02432302591112639
2,1,19,0.1294567586321476
3,1,19,0.053655629435112935
1,2,19,0.01035781817523442
2,2,19,0.11138016674767888
3,2,19,0.028291975506363958
1,3,19,0.04574770971996576
2,3,19,0.2892093607591495
3,3,19,0.13320792343353582
1,4,19,0.04338965635226602
2,4,19,0.4958932263996353
3,4,19,0.11752447979361438
1,5,19,0.22866707614402212
2,5,19,1.2528447757096548
3,5,19,0.4758035954173982
1,1,20,0.02582595187555578
2,1,20,0.13605596200812953
3,1,20,0.056344116355699296
1,2,20,0.011983208695031295
2,2,20,0.12266220013288555
