strata,patch,time,cases
1,1,1,0.0
2,1,1,0.0
3,1,1,0.0
1,2,1,0.0
2,2,1,0.0
3,2,1,0.0
1,3,1,0.0
2,3,1,0.0
3,3,1,0.0
1,4,1,0.0
2,4,1,0.0
3,4,1,0.0
1,5,1,0.0
2,5,1,0.0
3,5,1,0.0
1,1,2,0.0
2,1,2,0.0
3,1,2,0.0
1,2,2,0.0
2,2,2,0.0
3,2,2,0.0
1,3,2,0.0
2,3,2,0.0
3,3,2,0.0
1,4,2,0.0
2,4,2,0.0
3,4,2,0.0
1,5,2,0.0
2,5,2,0.0
3,5,2,0.0
1,1,3,0.0
2,1,3,0.0
3,1,3,0.0
1,2,3,0.0
2,2,3,0.0
3,2,3,0.0
1,3,3,0.0
2,3,3,0.0
3,3,3,0.0
1,4,3,0.0
2,4,3,0.0
3,4,3,0.0
1,5,3,0.0
2,5,3,0.00028845606057000363
3,5,3,0.0
1,1,4,0.0
2,1,4,0.0
3,1,4,0.0
1,2,4,0.0
2,2,4,0.0
3,2,4,0.0
1,3,4,0.0
2,3,4,0.0
3,3,4,0.0006149054266504976
1,4,4,0.0
2,4,4,0.0
3,4,4,0.0
1,5,4,0.0
2,5,4,0.0009682755861033443
3,5,4,0.0
1,1,5,0.0
2,1,5,0.0
3,1,5,0.0
1,2,5,0.0
2,2,5,0.0
3,2,5,0.0
1,3,5,0.0
2,3,5,0.0
3,3,5,0.0020167392078071396
1,4,5,0.0
2,4,5,0.0
3,4,5,0.0
1,5,5,0.0
2,5,5,0.002019020934038617
3,5,5,0.0
1,1,6,0.0
2,1,6,1.24711850783603e-6
3,1,6,2.781073159926472e-6
1,2,6,0.0
2,2,6,3.757200443671322e-7
3,2,6,8.497011443415213e-8
1,3,6,0.0
2,3,6,1.864357807241696e-6
3,3,6,0.004164060810397774
1,4,6,0.0
2,4,6,2.8456668758302764e-6
3,4,6,2.4878328848439654e-7
1,5,6,0.0
2,5,6,0.0033816655097349923
3,5,6,2.9093795485122446e-5
1,1,7,5.709787151847688e-10
2,1,7,6.137618680228659e-6
3,1,7,1.3712129049311981e-5
1,2,7,1.2081410938367285e-12
2,2,7,1.8483720539762024e-6
3,2,7,4.356721066984741e-7
1,3,7,6.620721223841111e-10
2,3,7,9.290788567612795e-6
3,3,7,0.006929595908363957
1,4,7,0.0
2,4,7,1.3991840124718319e-5
3,4,7,1.2261749577711205e-6
1,5,7,6.172866042102188e-9
2,5,7,0.00499540187182487
3,5,7,0.0001434124800553671
1,1,8,2.9032294232063725e-9
2,1,8,1.763640307016919e-5
3,1,8,3.949319774481976e-5
1,2,8,6.528854909756977e-12
2,2,8,5.335280246968784e-6
3,2,8,1.3445776866220343e-6
1,3,8,3.4200695149070602e-9
2,3,8,2.7004114173117887e-5
3,3,8,0.010165494441320252
1,4,8,0.0
2,4,8,4.0253481297131424e-5
3,4,8,3.779678472257823e-6
1,5,8,3.138664785087639e-8
2,5,8,0.006809862321369188
3,5,8,0.00041272793977942
1,1,9,8.621787416915247e-9
2,1,9,3.871413613098446e-5
3,1,9,8.693843943404322e-5
1,2,9,3.1331250930380604e-11
2,2,9,1.1829693732531327e-5
3,2,9,3.2683256892896595e-6
1,3,9,1.030598795633699e-8
2,3,9,5.9932593396367025e-5
3,3,9,0.013733278763402794
1,4,9,5.276852837469487e-11
2,4,9,8.867460056321415e-5
3,4,9,9.48840800019691e-6
1,5,9,9.31577475450178e-8
2,5,9,0.00878674325559216
3,5,9,0.0009072781316778837
1,1,10,1.956368962832207e-8
2,1,10,7.198164064937372e-5
3,1,10,0.00016218739075908692
1,2,10,1.2578887376397773e-10
2,2,10,2.2344214100755267e-5
3,2,10,6.898981554859346e-6
1,3,10,2.3719196124182983e-8
2,3,10,0.00011266022502961111
3,3,10,0.017515201005529158
1,4,10,3.7217387026414993e-10
2,4,10,0.00016585898110263442
3,4,10,2.110040694299996e-5
1,5,10,2.1113736884233578e-7
2,5,10,0.010897886224622401
3,5,10,0.001689051544951071
1,1,11,3.7599797677341984e-8
2,1,11,0.00011952697661773581
3,1,11,0.0002703488107179435
1,2,11,4.024040065140217e-10
2,2,11,3.79012693722502e-5
3,2,11,1.322516151645956e-5
1,3,11,4.624083363239888e-8
2,3,11,0.0001891729681038579
3,3,11,0.021416566561339865
1,4,11,1.4637286515763956e-9
2,4,11,0.00027771676291564327
3,4,11,4.287156034071831e-5
1,5,11,4.0505925543553815e-7
2,5,11,0.01312281583413178
3,5,11,0.0028077444209375275
1,1,12,6.451924407079747e-8
2,1,12,0.00018289681626421054
3,1,12,0.0004154456610685399
1,2,12,1.0613473073675317e-9
2,2,12,5.9544822795689096e-5
3,2,12,2.3565594842761127e-5
1,3,12,8.051504886550765e-8
2,3,12,0.0002928129406492045
3,3,12,0.025364131606611072
1,4,12,4.240653488337753e-9
2,4,12,0.0004294686037371372
3,4,12,8.071770114173302e-5
1,5,12,6.933823685538951e-7
2,5,12,0.01544672103315126
3,5,12,0.004300096359337858
1,1,13,1.0196709245429024e-7
2,1,13,0.0002631582536375225
3,1,13,0.0006005229014407445
1,2,13,2.4090315826976435e-9
2,2,13,8.835524145624203e-5
3,2,13,3.957289629158454e-5
1,3,13,1.2918441239293283e-7
2,3,13,0.0004263456665857504
3,3,13,0.029303126153700114
1,4,13,1.0103133894916859e-8
2,4,13,0.0006257665259637957
3,4,13,0.00014217968677380187
1,5,13,1.0925513954943815e-6
2,5,13,0.017859024641292926
3,5,13,0.00619114890866298
1,1,14,1.5141898187060783e-7
2,1,14,0.0003609933884447522
3,1,14,0.0008278186900052951
1,2,14,4.868661251893535e-9
2,2,14,0.00012545928534432794
3,2,14,6.32149503353838e-5
1,3,14,1.9485975756279522e-7
2,3,14,0.0005920714817954452
3,3,14,0.03319407711426414
1,4,14,2.0975055532295514e-8
2,4,14,0.0008708434552771823
3,4,14,0.00023625301725145768
1,5,14,1.6167067849353194e-6
2,5,14,0.0203524176489398
3,5,14,0.008496324438625372
1,1,15,2.1417843551661346e-7
2,1,15,0.00047679795805879733
3,1,15,0.0010989420853195627
1,2,15,8.983765432984008e-9
2,2,15,0.00017203398849702974
3,2,15,9.674422744645487e-5
1,3,15,2.8010868157182164e-7
2,3,15,0.0007919417677879775
3,3,15,0.037009908189349495
1,4,15,3.9303872620021935e-8
2,4,15,0.0011686497777369852
3,4,15,0.0003731474550632208
1,5,15,2.2776836322640766e-6
2,5,15,0.022922201310190262
3,5,15,0.011223650970590943
1,1,16,2.913867216109773e-7
2,1,16,0.000610769857155087
3,1,16,0.0014150314631701238
1,2,16,1.5416693185017095e-8
2,2,16,0.0002293062790224677
3,2,16,0.00014266392979587564
1,3,16,3.874530716820906e-7
2,3,16,0.0010276623631109314
3,3,16,0.04073346317246744
1,4,16,6.803425720094689e-8
2,4,16,0.0015229640890405051
3,4,16,0.0005640323086875288
1,5,16,3.0851776250914873e-6
2,5,16,0.025565818391083905
3,5,16,0.014375793683681139
1,1,17,3.8403896256342793e-7
2,1,17,0.0007629824922417254
3,1,17,0.0017768861267777856
1,2,17,2.4944100111378526e-8
2,2,17,0.0002985507762581863
3,2,17,0.00020369679905060868
1,3,17,5.193708297035e-7
2,3,17,0.0013007791103182512
3,3,17,0.04435545663860224
1,4,17,1.1056655333994086e-7
2,4,17,0.0019374791592294733
3,4,17,0.0008208043219285338
1,5,17,4.046996079973597e-6
2,5,17,0.028282499909813037
3,5,17,0.01795176586075449
1,1,18,4.930028752318405e-7
2,1,18,0.0009334427391311885
3,1,18,0.002185072327173416
1,2,18,3.8451056735228704e-8
2,2,18,0.00038108765278135464
3,2,18,0.00028275947505857895
1,3,18,6.782998310585727e-7
2,3,18,0.0016127464328231287
3,3,18,0.04787280358399926
1,4,18,1.7070906966422628e-7
2,4,18,0.0024158687238502066
3,4,18,0.0011558970256794843
1,5,18,5.1693429348769534e-6
2,5,18,0.031072986316635146
3,5,18,0.02194830554708305
1,1,19,6.190381812054556e-7
2,1,19,0.0011221353618408717
3,1,19,0.0026400079832950706
1,2,19,5.692490140071965e-8
2,2,19,0.0004782816347552948
3,2,19,0.0003829432080653654
1,3,19,8.666435188359453e-7
2,3,19,0.001964981875659673
3,3,19,0.05128726739132994
1,4,19,2.526305676991657e-7
2,4,19,0.002961840851180757
3,4,19,0.0015821371001986237
1,5,19,6.457107564160159e-6
2,5,19,0.03393930136161492
3,5,19,0.02636095416020599
1,1,20,7.628156617482994e-7
