strata,patch,time,cases
1,1,1,0.0
2,1,1,0.0
3,1,1,0.0
1,2,1,0.0
2,2,1,0.0
3,2,1,0.0
1,3,1,0.0
2,3,1,0.0
3,3,1,0.0
1,4,1,0.0
2,4,1,0.0
3,4,1,0.0
1,5,1,0.0
2,5,1,0.0
3,5,1,0.0
1,1,2,0.00251374970050966
2,1,2,0.029121146632751296
3,1,2,0.011053639321227804
1,2,2,5.318874823245778e-6
2,2,2,0.008773343059325076
3,2,2,0.00033772178724827295
1,3,2,0.00291479096347802
2,3,2,0.0435341443010149
3,3,2,0.03846191896665162
1,4,2,0.0
2,4,2,0.0664484424201267
3,4,2,0.0009888128006413865
1,5,2,0.02717621472036713
2,5,2,0.3510486908760546
3,5,2,0.11563605244624772
1,1,3,0.004144432316480596
2,1,3,0.048143705149969185
3,1,3,0.018246928880686266
1,2,3,1.0468082298137621e-5
2,2,3,0.014487664394499337
3,2,3,0.0006239753992525073
1,3,3,0.005041877839653668
2,3,3,0.07466774881653275
3,3,3,0.07272809232006383
1,4,3,0.0
2,4,3,0.10955187709156926
3,4,3,0.0016304849641982542
1,5,3,0.044804500198425454
2,5,3,0.5793858053559605
3,5,3,0.19074858566436717
1,1,4,0.005129549580211648
2,1,4,0.05907447114420891
3,1,4,0.022444130259979368
1,2,4,6.263821409506208e-5
2,2,4,0.018364290370598762
3,2,4,0.00101597130421426
1,3,4,0.0064951920195248924
2,3,4,0.09441910975156513
3,3,4,0.09524738998039732
1,4,4,0.00023231491624919887
2,4,4,0.13603651960987714
3,4,4,0.0029945471320707013
1,5,4,0.055227681598958155
2,5,4,0.7068153405889572
3,5,4,0.23356499389507795
1,1,5,0.005785580201525
2,1,5,0.06530956738906869
3,1,5,0.024987045970388595
1,2,5,0.00019329682388115492
2,2,5,0.02181703014071671
3,2,5,0.001664041745105426
1,3,5,0.007634929022509644
2,3,5,0.10762969039914526
3,3,5,0.10727745441809179
1,4,5,0.0008402835975130528
2,4,5,0.15486276287076023
3,4,5,0.005812587243035412
1,5,5,0.061727202420606815
2,5,5,0.7724311589828327
3,5,5,0.25756823006107055
1,1,6,0.006314809502716358
2,1,6,0.06940382263537374
3,1,6,0.026843937450399924
1,2,6,0.000408005928854259
2,2,6,0.02566266945596865
3,2,6,0.0026168152425937886
1,3,6,0.008711546323407792
2,3,6,0.1182219192015056
3,3,6,0.1121920571590374
1,4,6,0.001839069905112511
2,4,6,0.1719356821399863
3,4,6,0.010221603832836703
1,5,6,0.06648018659740505
2,5,6,0.8069088368926832
3,5,6,0.272858960458078
1,1,7,0.00681786875813298
2,1,7,0.07282183115212619
3,1,7,0.02853715419768818
1,2,7,0.0006976997675607695
2,2,7,0.030187872881570776
3,2,7,0.0038517792965956565
1,3,7,0.00984386313921379
2,3,7,0.12840978737227648
3,3,7,0.11305228039209184
1,4,7,0.0031730102404674836
2,4,7,0.19004892352599978
3,4,7,0.015998880219580444
1,5,7,0.07064336577172416
2,5,7,0.828960058206231
3,5,7,0.2852125065061953
1,1,8,0.0073335311247958055
2,1,8,0.07624313732425189
3,1,8,0.030281514117613376
1,2,8,0.0010502528740951138
2,2,8,0.035394650852950696
3,2,8,0.005323756092862361
1,3,8,0.011067633737997996
2,3,8,0.1391345826620754
3,3,8,0.11201671846281412
1,4,8,0.004771626250244035
2,4,8,0.2100722638216846
3,4,8,0.022824831965100833
1,5,8,0.07472718684209823
2,5,8,0.848206161780374
3,5,8,0.29728864278962475
1,1,9,0.007870829700590621
2,1,9,0.07990935929775647
3,1,9,0.032130253798028786
1,2,9,0.001456545468565584
2,2,9,0.04119200076734102
3,2,9,0.006994795624086268
1,3,9,0.012381347061145066
2,3,9,0.15065142997166867
3,3,9,0.11041929636446725
1,4,9,0.006579085236286482
2,4,9,0.2320099837572661
3,4,9,0.03043384043187739
1,5,9,0.07890958595583547
2,5,9,0.8688280460473494
3,5,9,0.31000697597789306
1,1,10,0.0084279795295443
2,1,10,0.08386557260785714
3,1,10,0.03407249745700142
1,2,10,0.001911920215176452
2,2,10,0.04749437412838907
3,2,10,0.0088439110847634
1,3,10,0.013773405741122659
2,3,10,0.16294046696717107
3,3,10,0.1090083446757824
1,4,10,0.00856182356278977
2,4,10,0.2556261402630668
3,4,10,0.038660914639649296
1,5,10,0.08322838675903177
2,5,10,0.8922603911860172
3,5,10,0.3235084295759803
1,1,11,0.009001293238907943
2,1,11,0.08809234369000266
3,1,11,0.03608377166549993
1,2,11,0.002415349231953068
2,2,11,0.0542534155723371
3,2,11,0.010865299935056883
1,3,11,0.015233963478485026
2,3,11,0.1759220199065225
3,3,11,0.10816530018166504
1,4,11,0.01070510644075504
2,4,11,0.2807178991761448
3,4,11,0.04743073324586226
1,5,11,0.08767806269685353
2,5,11,0.9187759572248402
3,5,11,0.337684339535677
1,1,12,0.00958836284603308
2,1,12,0.09256403851560659
3,1,12,0.038145977640337544
1,2,12,0.002968034988781458
2,2,12,0.061456714299694425
3,2,12,0.01306284860767582
1,3,12,0.016758087732076935
2,3,12,0.18954096437081172
3,3,12,0.10806004028982018
1,4,12,0.013006520503307343
2,4,12,0.30718890277355476
3,4,12,0.0567279126878485
1,5,12,0.0922495151601643
2,5,12,0.9482732753517883
3,5,12,0.35241090689887866
1,1,13,0.010188592267484529
2,1,13,0.0972675558169149
3,1,13,0.04025171793257188
1,2,13,0.0035722670467314603
2,2,13,0.06911622960176513
3,2,13,0.015445146817212823
1,3,13,0.018345259021379238
2,3,13,0.20378449518852707
3,3,13,0.10874867950717425
1,4,13,0.015470330875561924
2,4,13,0.33503778556826636
3,4,13,0.06656939746160988
1,5,13,0.09694182217842312
2,5,13,0.9806045671031146
3,5,13,0.3676236248417424
1,1,14,0.010802804930776982
2,1,14,0.10220387460782704
3,1,14,0.04240245225786916
1,2,14,0.00423073894129043
2,2,14,0.07725722898615375
3,2,14,0.018022360406862063
1,3,14,0.019997929990364528
2,3,14,0.218674443666384
3,3,14,0.11023077794728796
1,4,14,0.018103824735766643
2,4,14,0.3643250654142162
3,4,14,0.07698595881280308
1,5,14,0.10176276469376119
2,5,14,1.0156791601477435
3,5,14,0.3833213681976651
1,1,15,0.011432708459924093
2,1,15,0.1073842222984978
3,1,15,0.04460528560575764
1,2,15,0.0049462450043190696
2,2,15,0.08591103099284092
3,2,15,0.02080481417405112
1,3,15,0.021720261179391454
2,3,15,0.23425456143443976
3,3,15,0.11248109002851375
1,4,15,0.02091541767097169
2,4,15,0.3951444924251205
3,4,15,0.08801247513249767
1,5,15,0.1067262220998607
2,5,15,1.0534756548106705
3,5,15,0.39954827487818007
1,1,16,0.01208048339203731
2,1,16,0.11282590801292923
3,1,16,0.04687027907831037
1,2,16,0.005721606991902645
2,2,16,0.09511134196715987
3,2,16,0.02380266411205626
1,3,16,0.02351730737477441
2,3,16,0.2505803858452541
3,3,16,0.11546638972585428
1,4,16,0.02391391222585353
2,4,16,0.42760515095206647
3,4,16,0.09968419323791622
1,5,16,0.11184959142468366
2,5,16,1.094026695538804
3,5,16,0.4163744241793065
1,1,17,0.0127485337414732
2,1,17,0.11854936283247985
3,1,17,0.049208712605980476
1,2,17,0.006559706166715921
2,2,17,0.1048929468869018
3,2,17,0.027026083633384056
1,3,17,0.025394592494075576
2,3,17,0.2677130983577821
3,3,17,0.11915392408256378
1,4,17,0.027108359113311338
2,4,17,0.4618226733353138
3,4,17,0.11203618711180482
1,5,17,0.11715205874290825
2,5,17,1.137401637783841
3,5,17,0.4338819318855337
1,1,18,0.013439360943181185
2,1,18,0.12457645736129576
3,1,18,0.051632155551152775
1,2,18,0.007463545484996756
2,2,18,0.11529160195676896
3,2,18,0.030485594203942683
1,3,18,0.027357933147466883
2,3,18,0.2857165347750836
3,3,18,0.12351532364426196
1,4,18,0.03050816104850022
2,4,18,0.4979161266608241
3,4,18,0.1251040961377613
1,5,18,0.12265366985931805
2,5,18,1.1836942842152642
3,5,18,0.4521568517789352
1,1,19,0.014155513131971605
2,1,19,0.13092972957374777
3,1,19,0.05415206926882455
1,2,19,0.008436306946742746
2,2,19,0.12634438086025465
3,2,19,0.03419236216372976
1,3,19,0.029413393102592472
2,3,19,0.3046561222196872
3,3,19,0.1285281290551977
1,4,19,0.03412323085582118
2,4,19,0.536007729125998
3,4,19,0.13892510560349566
1,5,19,0.12837493207193773
2,5,19,1.2330158904235649
3,5,19,0.4712853183931942
1,1,20,0.014899573720486219
