strata,patch,time,cases
1,1,1,0.0
2,1,1,0.0
3,1,1,0.0
1,2,1,0.0
2,2,1,0.0
3,2,1,0.0
1,3,1,0.0
2,3,1,0.0
3,3,1,0.0
1,4,1,0.0
2,4,1,0.0
3,4,1,0.0
1,5,1,0.0
2,5,1,0.0
3,5,1,0.0
1,1,2,0.0
2,1,2,0.0
3,1,2,0.0
1,2,2,0.0
2,2,2,0.0
3,2,2,0.0
1,3,2,0.0
2,3,2,0.0
3,3,2,0.0
1,4,2,0.0
2,4,2,0.0
3,4,2,0.0
1,5,2,0.0
2,5,2,0.0
3,5,2,0.0
1,1,3,0.0
2,1,3,0.0
3,1,3,0.0
1,2,3,0.0
2,2,3,0.0
3,2,3,0.0
1,3,3,0.0
2,3,3,0.0
3,3,3,0.0
1,4,3,0.0
2,4,3,0.0
3,4,3,0.0
1,5,3,0.0
2,5,3,5.583887781868127e-5
3,5,3,0.0
1,1,4,0.0
2,1,4,0.0
3,1,4,0.0
1,2,4,0.0
2,2,4,0.0
3,2,4,0.0
1,3,4,0.0
2,3,4,0.0
3,3,4,0.0001686905640127411
1,4,4,0.0
2,4,4,0.0
3,4,4,0.0
1,5,4,0.0
2,5,4,0.00017212593392594604
3,5,4,0.0
1,1,5,0.0
2,1,5,0.0
3,1,5,0.0
1,2,5,0.0
2,2,5,0.0
3,2,5,0.0
1,3,5,0.0
2,3,5,0.0
3,3,5,0.0005050616287219166
1,4,5,0.0
2,4,5,0.0
3,4,5,0.0
1,5,5,0.0
2,5,5,0.00032831981925141805
3,5,5,0.0
1,1,6,3.996851006293382e-9
2,1,6,2.414152708279542e-7
3,1,6,7.629478934088913e-7
1,2,6,8.4569876568571e-12
2,2,6,7.273130476090082e-8
3,2,6,2.331034319570462e-8
1,3,6,4.6345048566887784e-9
2,3,6,3.608994992275758e-7
3,3,6,0.0009498014513141239
1,4,6,0.0
2,4,6,5.508597901467668e-7
3,4,6,6.825015918298428e-8
1,5,6,4.321006229471532e-8
2,5,6,0.0005020325229435631
3,5,6,7.981469274699032e-6
1,1,7,1.6325754956151227e-8
2,1,7,1.1219132091238552e-6
3,1,7,3.5437208687672966e-6
1,2,7,3.724499671144174e-11
2,2,7,3.378616413148958e-7
3,2,7,1.1285968819659167e-7
1,3,7,1.9305981747660645e-8
2,3,7,1.699535663428293e-6
3,3,7,0.001436973638353948
1,4,7,0.0
2,4,7,2.557469696439003e-6
3,4,7,3.168816824132225e-7
1,5,7,1.7649647266141943e-7
2,5,7,0.0006766659057964539
3,5,7,3.706252843200883e-5
1,1,8,4.0029905955962127e-8
2,1,8,3.0401523519286854e-6
3,1,8,9.603664010448728e-6
1,2,8,1.7361677214436544e-10
2,2,8,9.201954667383432e-7
3,2,8,3.299520813810453e-7
1,3,8,4.820142909000951e-8
2,3,8,4.6623675440384405e-6
3,3,8,0.001913826698371159
1,4,8,3.6937969862286415e-10
2,4,8,6.939787244601273e-6
3,4,8,9.268404408066794e-7
1,5,8,4.323976978589899e-7
2,5,8,0.0008421942680527344
3,5,8,0.00010035364554789049
1,1,9,7.659331547984779e-8
2,1,9,6.286485779422352e-6
3,1,9,1.9874676619380265e-5
1,2,9,6.612033598351798e-10
2,2,9,1.9249805370703217e-6
3,2,9,7.634002415538813e-7
1,3,9,9.389245717492197e-8
2,3,9,9.757809439841937e-6
3,3,9,0.0023452555755662675
1,4,9,2.2358373932261853e-9
2,4,9,1.4409608909412526e-5
3,4,9,2.228045337099074e-6
1,5,9,8.258573490812258e-7
2,5,9,0.0009936794712890093
3,5,9,0.0002073434188784909
1,1,10,1.262527563431394e-7
2,1,10,1.100183112430042e-5
3,1,10,3.483679141022971e-5
1,2,10,1.9363059292503078e-9
2,2,10,3.4323018662276858e-6
3,2,10,1.5412049737508309e-6
1,3,10,1.5765146255751128e-7
2,3,10,1.7287970713494025e-5
3,3,10,0.0027118840386343916
1,4,10,7.64088346918572e-9
2,4,10,2.5397964361775075e-5
3,4,10,4.776764912002741e-6
1,5,10,1.3574532061524166e-6
2,5,10,0.0011295057552022484
3,5,10,0.00036254070811159877
1,1,11,1.8843612475418843e-7
2,1,11,1.718708041632258e-5
3,1,11,5.454949456659853e-5
1,2,11,4.61260310597457e-9
2,2,11,5.5021259489281735e-6
3,2,11,2.8361132694692787e-6
1,3,11,2.3991950663176143e-7
2,3,11,2.7356046007553575e-5
3,3,11,0.003006212327501026
1,4,11,1.9438473857329503e-8
2,4,11,4.008297562481878e-5
3,4,11,9.383865544798755e-6
1,5,11,2.018261791828499e-6
2,5,11,0.0012499923549295338
3,5,11,0.0005657875631090678
1,1,12,2.621349386844495e-7
2,1,12,2.4737892552349203e-5
3,1,12,7.875680061029006e-5
1,2,12,9.433789927310784e-9
2,2,12,8.182078481701207e-6
3,2,12,4.862021906815425e-6
1,3,12,3.406855446919762e-7
2,3,12,3.991198297923343e-5
3,3,12,0.003228785132705563
1,4,12,4.1037362846053746e-8
2,4,12,5.845999806420595e-5
3,4,12,1.7083707601321906e-5
1,5,12,2.7941831885834044e-6
2,5,12,0.001356471759044758
3,5,12,0.0008134105518396328
1,1,13,3.461632259142231e-7
2,1,13,3.3485540172387325e-5
3,1,13,0.00010700704257620591
1,2,13,1.7217407684371243e-8
2,2,13,1.1513705363280247e-5
3,2,13,7.863230947052146e-6
1,3,13,4.5972741618903663e-7
2,3,13,5.480754766585216e-5
3,3,13,0.003385075224656004
1,4,13,7.610345146165058e-8
2,4,13,8.041516249299093e-5
3,4,13,2.9060587275491112e-5
1,5,13,3.6690877260865662e-6
2,5,13,0.0014507342983310178
3,5,13,0.0010995714554295688
1,1,14,4.393161755220394e-7
2,1,14,4.323291523603542e-5
3,1,14,0.00013875587233994101
1,2,14,2.8805729267633307e-8
2,2,14,1.5536074649210297e-5
3,2,14,1.210062211700431e-5
1,3,14,5.96742468063185e-7
2,3,14,7.184486202976591e-5
3,3,14,0.0034832014327913128
1,4,14,1.2830171961408498e-7
2,4,14,0.00010578433312517435
3,4,14,4.6559013102195746e-5
1,5,14,4.626837931301303e-6
2,5,14,0.0015347149171947155
3,5,14,0.0014174575357160579
1,1,15,5.404580026605467e-7
2,1,15,5.378145080209532e-5
3,1,15,0.00017344163038552016
1,2,15,4.503049426423161e-8
2,2,15,2.0287209368664774e-5
3,2,15,1.7838474439573695e-5
1,3,15,7.51410730771883e-7
2,3,15,9.081257695976279e-5
3,3,15,0.003532374099804104
1,4,15,2.0111269206647462e-7
2,4,15,0.00013439339660952987
3,4,15,7.080041051325146e-5
1,5,15,5.652457949791873e-6
2,5,15,0.0016103254412865454
3,5,15,0.0017601719185390181
1,1,16,6.485656866671547e-7
2,1,16,6.494870156512894e-5
3,1,16,0.0002105338856063799
1,2,16,6.669184848453002e-8
2,2,16,2.5804302736600517e-5
3,2,16,2.5334178527102703e-5
1,3,16,9.234243061498659e-7
2,3,16,0.0001115096445612242
3,3,16,0.003541900830878251
1,4,16,2.977260729729579e-7
2,4,16,0.00016608250651796712
3,4,16,0.00010291970442382088
1,5,16,6.7327291841747665e-6
2,5,16,0.0016793695312278317
3,5,16,0.002121316470093533
1,1,17,7.627473886788879e-7
2,1,17,7.657816196896329e-5
3,1,17,0.0002495607353443339
1,2,17,9.454869636695126e-8
2,2,17,3.212352135679446e-5
3,2,17,3.4831623536110154e-5
1,3,17,1.1125030094855086e-6
2,3,17,0.00013375910763597774
3,3,17,0.003520593809505046
1,4,17,4.2099761426999794e-7
2,4,17,0.00020071887397815678
3,4,17,0.00014392624763908592
1,5,17,7.856427984323497e-6
2,5,17,0.0017435034084537751
3,5,17,0.002495319979639521
1,1,18,8.822471418153059e-7
2,1,18,8.854340327177128e-5
3,1,18,0.0002901212622994558
1,2,18,1.2931691265843663e-7
2,2,18,3.9279874793044665e-5
3,2,18,4.655800118822925e-5
1,3,18,1.318405814441608e-6
2,3,18,0.00015741481351091104
3,3,18,0.0034764507913163435
1,4,18,5.734504862445757e-7
2,4,18,0.00023820232822333872
3,4,18,0.00019468731935058233
1,5,18,9.014352404982439e-6
2,5,18,0.001804221856852471
3,5,18,0.0028775805854003604
1,1,19,1.006442363799906e-6
2,1,19,0.00010074844655386137
3,1,19,0.0003318885647340628
1,2,19,1.71672332538199e-7
2,2,19,4.730734116901092e-5
3,2,19,6.072327115741877e-5
1,3,19,1.540941492745901e-6
2,3,19,0.00018236355927630867
3,3,19,0.0034165149955632957
