strata,patch,time,cases
1,1,1,0.0
2,1,1,0.0
3,1,1,0.0
1,2,1,0.0
2,2,1,0.0
3,2,1,0.0
1,3,1,0.0
2,3,1,0.0
3,3,1,0.0
1,4,1,0.0
2,4,1,0.0
3,4,1,0.0
1,5,1,0.0
2,5,1,0.0
3,5,1,0.0
1,1,2,0.0
2,1,2,0.0
3,1,2,0.0
1,2,2,0.0
2,2,2,0.0
3,2,2,0.0
1,3,2,0.0
2,3,2,0.0
3,3,2,0.0
1,4,2,0.0
2,4,2,0.0
3,4,2,0.0
1,5,2,0.0
2,5,2,0.0
3,5,2,0.0
1,1,3,0.0
2,1,3,0.0
3,1,3,0.0
1,2,3,0.0
2,2,3,0.0
3,2,3,0.0
1,3,3,0.0
2,3,3,0.0
3,3,3,0.0
1,4,3,0.0
2,4,3,0.0
3,4,3,0.0
1,5,3,0.0
2,5,3,0.0001302907149102563
3,5,3,0.0
1,1,4,0.0
2,1,4,0.0
3,1,4,0.0
1,2,4,0.0
2,2,4,0.0
3,2,4,0.0
1,3,4,0.0
2,3,4,0.0
3,3,4,0.00039361131602972917
1,4,4,0.0
2,4,4,0.0
3,4,4,0.0
1,5,4,0.0
2,5,4,0.0004137256026879217
3,5,4,0.0
1,1,5,0.0
2,1,5,0.0
3,1,5,0.0
1,2,5,0.0
2,2,5,0.0
3,2,5,0.0
1,3,5,0.0
2,3,5,0.0
3,3,5,0.001215026755887232
1,4,5,0.0
2,4,5,0.0
3,4,5,0.0
1,5,5,0.0
2,5,5,0.0008148670329549423
3,5,5,0.0
1,1,6,9.325985681351224e-9
2,1,6,5.633022985985598e-7
3,1,6,1.7802117512874128e-6
1,2,6,1.973297119933323e-11
2,2,6,1.6970637777543523e-7
3,2,6,5.439080078997746e-8
1,3,6,1.081384466560715e-8
2,3,6,8.420988315310102e-7
3,3,6,0.0023603555470486596
1,4,6,0.0
2,4,6,1.285339510342456e-6
3,4,6,1.592503714269633e-7
1,5,6,1.0082347868766906e-7
2,5,6,0.0012888932630060062
3,5,6,1.8623428307631072e-5
1,1,7,3.895941261571642e-8
2,1,7,2.6701041299683854e-6
3,1,7,8.433987404028951e-6
1,2,7,8.873733965234976e-11
2,2,7,8.041022790996187e-7
3,2,7,2.683898468177832e-7
1,3,7,4.605143346349074e-8
2,3,7,4.043778106165325e-6
3,3,7,0.003695673356560524
1,4,7,0.0
2,4,7,6.086782246222806e-6
3,4,7,7.541781267871657e-7
1,5,7,4.2118728304050026e-7
2,5,7,0.0017992706674936387
3,5,7,8.820855135087206e-5
1,1,8,9.776304596987311e-8
2,1,8,7.386461326389188e-6
3,1,8,2.333339565400661e-5
1,2,8,4.1491628091703473e-10
2,2,8,2.235296638237647e-6
3,2,8,7.991391679728163e-7
1,3,8,1.1760689950501709e-7
2,3,8,1.1321375476756834e-5
3,3,8,0.0051025380415573056
1,4,8,8.618859634533495e-10
2,4,8,1.6860340645103296e-5
3,4,8,2.245333550836947e-6
1,5,8,1.0560629352366126e-6
2,5,8,0.0023210952813157624
3,5,8,0.00024383157319772186
1,1,9,1.9153281787910002e-7
2,1,9,1.560530037486451e-5
3,1,9,4.9333643295629436e-5
1,2,9,1.5897447621978715e-9
2,2,9,4.774762126013162e-6
3,2,9,1.8805452771044744e-6
1,3,9,2.3440609642456515e-7
2,3,9,2.419879364113996e-5
3,3,9,0.0064920207523917455
1,4,9,5.296986185562719e-9
2,4,9,3.576016991227481e-5
3,4,9,5.478158444912913e-6
1,5,9,2.0654648739463284e-6
2,5,9,0.002839237414152193
3,5,9,0.0005147340141585334
1,1,10,3.2335931082610805e-7
2,1,10,2.7923003087310887e-5
3,1,10,8.840345451595673e-5
1,2,10,4.705897972668336e-9
2,2,10,8.694767300103128e-6
3,2,10,3.855862468893426e-6
1,3,10,4.027542898876859e-7
2,3,10,4.381183341088514e-5
3,3,10,0.007804637987119868
1,4,10,1.8389190184598887e-8
2,4,10,6.441486044197786e-5
3,4,10,1.1893944643142183e-5
1,5,10,3.4778677464421993e-6
2,5,10,0.003345430029671811
3,5,10,0.0009202387946206888
1,1,11,4.943701236916302e-7
2,1,11,4.462637832243052e-5
3,1,11,0.00014159185295842936
1,2,11,1.1360731796141633e-8
2,2,11,1.4233719083475003e-5
3,2,11,7.198257026708742e-6
1,3,11,6.271258324190556e-7
2,3,11,7.087607433097783e-5
3,3,11,0.009005133441330818
1,4,11,4.7544402737433006e-8
2,4,11,0.00010392513182090596
3,4,11,2.364140385817668e-5
1,5,11,5.298345461081753e-6
2,5,11,0.003835795845952635
3,5,11,0.0014693164192542821
1,1,12,7.044275582623873e-7
2,1,12,6.574264786247864e-5
3,1,12,0.00020917913926798762
1,2,12,2.3579665491443906e-8
2,2,12,2.1609297688747723e-5
3,2,12,1.2510835419004071e-5
1,3,12,9.10863465149191e-7
2,3,12,0.00010574813888419979
3,3,12,0.010076284090575207
1,4,12,1.0204408152669443e-7
2,4,12,0.000154969586130037
3,4,12,4.355358697875478e-5
1,5,12,7.5166653777319445e-6
2,5,12,0.004309122114900371
3,5,12,0.0021622334263659082
1,1,13,9.526504967802226e-7
2,1,13,9.111265743356006e-5
3,1,13,0.0002908896804284885
1,2,13,4.370705362578305e-8
2,2,13,3.1029988355228494e-5
3,2,13,2.050878871087802e-5
1,3,13,1.2566465069488644e-6
2,3,13,0.00014852104386851126
3,3,13,0.011013408478165992
1,4,13,1.924418718354369e-7
2,4,13,0.00021793648984543538
3,4,13,7.501652940331913e-5
1,5,13,1.0113670425880523e-5
2,5,13,0.0047657691871715435
3,5,13,0.0029929673807040074
1,1,14,1.2377625963308573e-6
2,1,14,0.00012046274643452338
3,1,14,0.0003860948133811813
1,2,14,7.430025386689578e-8
2,2,14,4.270191905906393e-5
3,2,14,3.199167232090655e-5
1,3,14,1.6667584413707793e-6
2,3,14,0.00019911790774616855
3,3,14,0.011820057614792078
1,4,14,3.2998355441989543e-7
2,4,14,0.0002930394509925886
3,4,14,0.00012178222562062768
1,5,14,1.3065766625449738e-5
2,5,14,0.005207013604605267
3,5,14,0.003951577017480471
1,1,15,1.5583107883448444e-6
2,1,15,0.00015346383051228208
3,1,15,0.0004939754655984538
1,2,15,1.1804493592149147e-7
2,2,15,5.6831495667907935e-5
3,2,15,4.781395149652456e-5
1,3,15,2.1432272883102643e-6
2,3,15,0.0002573683012054414
3,3,15,0.01250485810134609
1,4,15,5.26143885625838e-7
2,4,15,0.00038040340428151346
3,4,15,0.00018777604599945822
1,5,15,1.6347870981089014e-5
2,5,15,0.005634659119654177
3,5,15,0.005026150905098707
1,1,16,1.912799179163203e-6
2,1,16,0.0001897747077011115
3,1,16,0.0006136391646290438
1,2,16,1.7769601372752372e-7
2,2,16,7.362554186591752e-5
3,2,16,6.885938827245724e-5
1,3,16,2.6879011767006717e-6
2,3,16,0.0003230639028685002
3,3,16,0.013079302268719829
1,4,16,7.92305477481832e-7
2,4,16,0.00048012228939030136
3,4,16,0.00027693239966189773
1,5,16,1.9935262962191936e-5
2,5,16,0.006050804187296651
3,5,16,0.006204237952983978
1,1,17,2.2997717537881387e-6
2,1,17,0.00022907094711337902
3,1,17,0.0007441978176549442
1,2,17,2.560411409283071e-7
2,2,17,9.329054246527433e-5
3,2,17,9.602185005555264e-5
1,3,17,3.3024978610320936e-6
2,3,17,0.00039599600308657485
3,3,17,0.013556254382372443
1,4,17,1.1395658242918198e-6
2,4,17,0.0005922952011672178
3,4,17,0.00039307428198902814
1,5,17,2.380470674248763e-5
2,5,17,0.0064576995352016294
3,5,17,0.007473806400973263
1,1,18,2.717865052976669e-6
2,1,18,0.0002710623501205831
3,1,18,0.0008848160681155927
1,2,18,3.5588115401767465e-7
2,2,18,0.00011603201381219256
3,2,18,0.00013019284658642293
1,3,18,3.9886471827065556e-6
2,3,18,0.0004759792191857497
3,3,18,0.013948972557315194
1,4,18,1.5786434391079094e-6
2,4,18,0.000717048125673667
3,4,18,0.0005398384844294302
1,5,18,2.7935104381675283e-5
2,5,18,0.00685765874085643
3,5,18,0.008823830820913063
1,1,19,3.1658430322303376e-6
2,1,19,0.0003155021346966879
3,1,19,0.0010347393911570477
1,2,19,4.800220469223819e-7
2,2,19,0.00014205445959651906
3,2,19,0.00017225483458128705
1,3,19,4.747933344428447e-6
2,3,19,0.0005628656028493602
3,3,19,0.014270490669797766
1,4,19,2.119853181455128e-6
2,4,19,0.0008545467941159874
3,4,19,0.0007206402158457816
