strata,patch,time,cases
1,1,1,0.0
2,1,1,0.0
3,1,1,0.0
1,2,1,0.0
2,2,1,0.0
3,2,1,0.0
1,3,1,0.0
2,3,1,0.0
3,3,1,0.0
1,4,1,0.0
2,4,1,0.0
3,4,1,0.0
1,5,1,0.0
2,5,1,0.0
3,5,1,0.0
1,1,2,0.0
2,1,2,0.0
3,1,2,0.0
1,2,2,0.0
2,2,2,0.0
3,2,2,0.0
1,3,2,0.0
2,3,2,0.0
3,3,2,0.0
1,4,2,0.0
2,4,2,0.0
3,4,2,0.0
1,5,2,0.0
2,5,2,0.000760153256704981
3,5,2,0.0
1,1,3,0.0
2,1,3,0.0
3,1,3,0.0
1,2,3,0.0
2,2,3,0.0
3,2,3,0.0
1,3,3,0.0
2,3,3,0.0
3,3,3,0.0022964408780934485
1,4,3,0.0
2,4,3,0.0
3,4,3,0.0
1,5,3,0.0
2,5,3,0.0016916477795266567
3,5,3,0.0
1,1,4,0.0
2,1,4,0.0
3,1,4,0.0
1,2,4,0.0
2,2,4,0.0
3,2,4,0.0
1,3,4,0.0
2,3,4,0.0
3,3,4,0.004907194410159019
1,4,4,0.0
2,4,4,0.0
3,4,4,0.0
1,5,4,0.0
2,5,4,0.0024610633846848364
3,5,4,0.0
1,1,5,5.4410465032340566e-8
2,1,5,3.2864665535378828e-6
3,1,5,1.0386263988939705e-5
1,2,5,1.151277919686813e-10
2,2,5,9.901154954783964e-7
3,2,5,3.1733147203752556e-7
1,3,5,6.309105944905656e-8
2,3,5,4.913045182818065e-6
3,3,5,0.007036616066650634
1,4,5,0.0
2,4,5,7.499037943197985e-6
3,4,5,9.291121670110259e-7
1,5,5,5.882329813720578e-7
2,5,5,0.003003312816654206
3,5,5,0.00010865440172623613
1,1,6,1.756104026801134e-7
2,1,6,1.2456007155268847e-5
3,1,6,3.9339341436299045e-5
1,2,6,4.083475906871762e-10
2,2,6,3.7507527190710126e-6
3,2,6,1.2643981507126744e-6
1,3,6,2.0874071390181935e-7
2,3,6,1.892516391286453e-5
3,3,6,0.008479175052505417
1,4,6,0.0
2,4,6,2.838794065906754e-5
3,4,6,3.5174341124806464e-6
1,5,6,1.8985056161785496e-6
2,5,6,0.0033536761774761673
3,5,6,0.0004114122093843063
1,1,7,3.5444221524929316e-7
2,1,7,2.829548293360301e-5
3,1,7,8.938771931544495e-5
1,2,7,1.9289070869742616e-9
2,2,7,8.58456492587407e-6
3,2,7,3.1748363347390654e-6
1,3,7,4.309088943240549e-7
2,3,7,4.36392102153924e-5
3,3,7,0.009286131247052166
1,4,7,5.028488963919257e-9
2,4,7,6.46316191938666e-5
3,4,7,8.919831321870354e-6
1,5,7,3.8269122953797045e-6
2,5,7,0.0035693468473596487
3,5,7,0.0009336808677262611
1,1,8,5.755985178061868e-7
2,1,8,5.010579153831699e-5
3,1,8,0.00015849955822990822
1,2,8,6.975322031591709e-9
2,2,8,1.546803517943333e-5
3,2,8,6.54235252541963e-6
1,3,8,7.15747498711941e-7
2,3,8,7.843314379384918e-5
3,3,8,0.00959512237019122
1,4,8,2.6127066315474054e-8
2,4,8,0.00011518540612408365
3,4,8,1.9516219969267354e-5
1,5,8,6.197207955808282e-6
2,5,8,0.003700085895640948
3,5,8,0.0016516513944727564
1,1,9,8.249862837235613e-7
2,1,9,7.641728602025479e-5
3,1,9,0.00024233576997826324
1,2,9,1.8644279417145976e-8
2,2,9,2.426329651016472e-5
3,2,9,1.2073146795501162e-5
1,3,9,1.050571067133259e-6
2,3,9,0.00012148721154451443
3,3,9,0.009551999177525788
1,4,9,7.792886530165089e-8
2,4,9,0.00017761140402770538
3,4,9,3.902958684002793e-5
1,5,9,8.842887512189967e-6
2,5,9,0.0037815184596457123
3,5,9,0.002515986012998021
1,1,10,1.092054472876405e-6
2,1,10,0.00010559780241522494
3,1,10,0.0003361048637874523
1,2,10,4.019897957297689e-8
2,2,10,3.4852215094245425e-5
3,2,10,2.0625294986093982e-5
1,3,10,1.4265368652759703e-6
2,3,10,0.00017068105185737332
3,3,10,0.009280757874239142
1,4,10,1.7546422957352805e-7
2,4,10,0.00024930494687684895
3,4,10,7.200766704332935e-5
1,5,10,1.163573082915919e-5
2,5,10,0.003836844008214101
3,5,10,0.003471922544093056
1,1,11,1.3697499172068614e-6
2,1,11,0.0001362165017928526
3,1,11,0.0004356279052319246
1,2,11,7.460283806340942e-8
2,2,11,4.718341208682769e-5
3,2,11,3.309493462712578e-5
1,3,11,1.8383479814997775e-6
2,3,11,0.00022412915144820586
3,3,11,0.00887632500033405
1,4,11,3.318360788776106e-7
2,4,11,0.00032812437616617157
3,4,11,0.0001230699007604009
1,5,11,1.448791526107468e-5
2,5,11,0.0038804771344658324
3,5,11,0.004471296385508009
1,1,12,1.6536951261485993e-6
2,1,12,0.00016719395397402095
3,1,12,0.0005377431861971555
1,2,12,1.24307458334277e-7
2,2,12,6.126674181421393e-5
3,2,12,5.031193405224835e-5
1,3,12,2.28310894613333e-6
2,3,12,0.0002803975913086882
3,3,12,0.008406847443166046
1,4,12,5.571742529552218e-7
2,4,12,0.0004125737489449151
3,4,12,0.00019626899903283225
1,5,12,1.734438812395952e-5
2,5,12,0.003921241970025896
3,5,12,0.005477493621686738
1,1,13,1.941327208581876e-6
2,1,13,0.00019781566875409589
3,1,13,0.0006403106224604209
1,2,13,1.912394430501276e-7
2,2,13,7.714926945228797e-5
3,2,13,7.297713045445399e-5
1,3,13,2.7592919384257986e-6
2,3,13,0.0003385222703347175
3,3,13,0.007918990121746343
1,4,13,8.585955170053212e-7
2,4,13,0.0005017473207877307
3,4,13,0.0002947278266509228
1,5,13,2.017367482857925e-5
2,5,13,0.003964588955456792
3,5,13,0.006465893851049765
1,1,14,2.2312427690798353e-6
2,1,14,0.00022767845742213753
3,1,14,0.0007420359207825406
1,2,14,2.7689341907226986e-7
2,2,14,9.489274677482828e-5
3,2,14,0.00010164412520164727
1,3,14,3.266072635183955e-6
2,3,14,0.00039793497664205435
3,3,14,0.007443401360038758
1,4,14,1.2407163349394466e-6
2,4,14,0.0005951900587495084
3,4,14,0.0004205524184269657
1,5,14,2.2960205333353765e-5
2,5,14,0.004013966373600212
3,5,14,0.00742210254857484
1,1,15,2.522768072974562e-6
2,1,15,0.0002566156237568392
3,1,15,0.0008422519098801913
1,2,15,3.824568252500061e-7
2,2,15,0.00011455982298293993
3,2,15,0.00013673310384071337
1,3,15,3.8029931035133997e-6
2,3,15,0.00045836492042583327
3,3,15,0.006999317148356033
1,4,15,1.7063464608352503e-6
2,4,15,0.0006927575741979639
3,4,15,0.0005749405956435606
1,5,15,2.5698777293089608e-5
2,5,15,0.004071619783550351
3,5,15,0.008339496454835147
1,1,16,2.81569941021909e-6
2,1,16,0.0002846254815318109
3,1,16,0.0009407237948214684
1,2,16,5.089243221302282e-7
2,2,16,0.0001362088544239909
3,2,16,0.00017856083001056776
1,3,16,4.369831827274005e-6
2,3,16,0.0005197490660805208
3,3,16,0.0065980942220426626
1,4,16,2.2571429069625428e-6
2,4,16,0.0007945073474148951
3,4,16,0.0007583900620499433
1,5,16,2.8390841565153147e-5
2,5,16,0.004139049736985589
3,5,16,0.009216889902267955
1,1,17,3.110152037156424e-6
2,1,17,0.00031181311040281924
3,1,17,0.001037500184637754
1,2,17,6.571860206207678e-7
2,2,17,0.00015989442536031872
3,2,17,0.00022737430230488305
1,3,17,4.9665769899160825e-6
2,3,17,0.0005821626262561551
3,3,17,0.006245783101923794
1,4,17,2.894131886041857e-6
2,4,17,0.0009006251768038345
3,4,17,0.0009709296730696598
1,5,17,3.1042092964654765e-5
2,5,17,0.004217279487117684
3,5,17,0.01005664428301841
1,1,18,3.4064715872711686e-6
2,1,18,0.00033834716014776426
3,1,18,0.0011328089891578675
1,2,18,8.280890546760483e-7
2,2,18,0.00018567057971948458
3,2,18,0.0002833807689199611
1,3,18,5.593437770258407e-6
2,3,18,0.0006457699249141653
3,3,18,0.005944943096546566
1,4,18,3.618085111445535e-6
2,4,18,0.0010113796988299988
3,4,18,0.0012123275566069559
1,5,18,3.366092051351984e-5
2,5,18,0.004307020088674712
3,5,18,0.010863273920490139
1,1,19,3.705179259366917e-6
2,1,19,0.00036442987186631676
3,1,19,0.0012269887821618228
1,2,19,1.0224783277172302e-6
2,2,19,0.00021359466368734906
3,2,19,0.00034677121757972334
1,3,19,6.250861182390463e-6
2,3,19,0.0007107916279538219
