strata,patch,time,cases
1,1,1,0.0
2,1,1,0.0
3,1,1,0.0
1,2,1,0.0
2,2,1,0.0
3,2,1,0.0
1,3,1,0.0
2,3,1,0.0
3,3,1,0.0
1,4,1,0.0
2,4,1,0.0
3,4,1,0.0
1,5,1,0.0
2,5,1,0.0
3,5,1,0.0
1,1,2,0.0
2,1,2,0.0
3,1,2,0.0
1,2,2,0.0
2,2,2,0.0
3,2,2,0.0
1,3,2,0.0
2,3,2,0.0
3,3,2,0.0
1,4,2,0.0
2,4,2,0.0
3,4,2,0.0
1,5,2,0.0
2,5,2,0.2526242656449554
3,5,2,0.0
1,1,3,0.0
2,1,3,0.0
3,1,3,0.0
1,2,3,0.0
2,2,3,0.0
3,2,3,0.0
1,3,3,0.0
2,3,3,0.0
3,3,3,0.08602820827934687
1,4,3,0.0
2,4,3,0.0
3,4,3,0.0
1,5,3,0.0
2,5,3,0.6240480133796092
3,5,3,0.0
1,1,4,0.0
2,1,4,0.0
3,1,4,0.0
1,2,4,0.0
2,2,4,0.0
3,2,4,0.0
1,3,4,0.0
2,3,4,0.0
3,3,4,0.20489574564062502
1,4,4,0.0
2,4,4,0.0
3,4,4,0.0
1,5,4,0.0
2,5,4,1.0174139212927367
3,5,4,0.0
1,1,5,0.00018131380630943621
2,1,5,0.0010922023846257564
3,1,5,0.00038908542789335666
1,2,5,3.8364417877030243e-7
2,2,5,0.0003290483829973204
3,2,5,1.1887725144790382e-5
1,3,5,0.00021024044043740618
2,3,5,0.0016327686824232036
3,3,5,0.32969933801454954
1,4,5,0.0
2,4,5,0.0024921802764561306
3,4,5,3.480597117956689e-5
1,5,5,0.001960188371592154
2,5,5,1.397909896068888
3,5,5,0.004070361049282846
1,1,6,0.0006295885313198256
2,1,6,0.004406980850173758
3,1,6,0.0015689829251111333
1,2,6,1.454688627595012e-6
2,2,6,0.001327070276800842
3,2,6,5.0277104347546113e-5
1,3,6,0.0007470726890169602
2,3,6,0.006689259252297416
3,3,6,0.44834573562480157
1,4,6,0.0
2,4,6,0.010044489179892698
3,4,6,0.0001402910131680861
1,5,6,0.006806421318045953
2,5,6,1.7587810501211838
3,5,6,0.016408794699442453
1,1,7,0.0013688052377065078
2,1,7,0.010684595772984055
3,1,7,0.003804811377240436
1,2,7,6.854891279075092e-6
2,2,7,0.0032387311981579067
3,2,7,0.0001334457940358685
1,3,7,0.001657733317921245
2,3,7,0.016442627918237293
3,3,7,0.5564709838992858
1,4,7,1.675660139076694e-5
2,4,7,0.02439958955720133
3,4,7,0.00037494565393782404
1,5,7,0.014781602867943245
2,5,7,2.103423667139906
3,5,7,0.03974849741262944
1,1,8,0.0023949802688677845
2,1,8,0.020235551750066912
3,1,8,0.007214200691662039
1,2,8,2.5245121133078607e-5
2,2,8,0.006224942434049355
3,2,8,0.0002887335521628817
1,3,8,0.0029585122265309437
2,3,8,0.031557131612607876
3,3,8,0.6534104732488486
1,4,8,9.116708159319001e-5
2,4,8,0.04645996614262628
3,4,8,0.0008537598264482457
1,5,8,0.025802802194233813
2,5,8,2.4374162804593444
3,5,8,0.07521361579983322
1,1,9,0.003695687021504739
2,1,9,0.03305743994332123
3,1,9,0.01180987872085788
1,2,9,6.982150050686937e-5
2,2,9,0.010406715870998302
3,2,9,0.0005559769795122749
1,3,9,0.004658274882960608
2,3,9,0.052248454995951044
3,3,9,0.7400638622507777
1,4,9,0.00028510632456588174
2,4,9,0.07658020044416615
3,4,9,0.001763890374622508
1,5,9,0.03967574319121984
2,5,9,2.76568761742838
3,5,9,0.12275530836866261
1,1,10,0.005258803079041248
2,1,10,0.04897429459883792
3,1,10,0.017547966980835907
1,2,10,0.00015686179608217753
2,2,10,0.01590041809976145
3,2,10,0.0009871916735972079
1,3,10,0.006768341763347104
2,3,10,0.0784843752536288
3,3,10,0.8178455114579486
1,4,10,0.0006737128692063279
2,4,10,0.11486117630154659
3,4,10,0.003357582807597142
1,5,10,0.056197871407988396
2,5,10,3.0919351617345283
3,5,10,0.18167042581443948
1,1,11,0.007075253150632102
2,1,11,0.06774427032468898
3,1,11,0.024363681547777998
1,2,11,0.00030430744955093264
2,2,11,0.0228350011519622
3,2,11,0.0016437071650065157
1,3,11,0.009304634307113523
2,3,11,0.11013823098687413
3,3,11,0.8882151998927833
1,4,11,0.0013379666747846439
2,4,11,0.16134577850116022
3,4,11,0.005931556149217432
1,5,11,0.07519663070252437
2,5,11,3.418824321151347
3,5,11,0.2510016202139432
1,1,12,0.009139123229797578
2,1,12,0.08912588715219488
3,1,12,0.03219206546277095
1,2,12,0.0005308124481273997
2,2,12,0.03135559787720733
3,2,12,0.002592614148151529
1,3,12,0.01228675457585608
2,3,12,0.14708004376372982
3,3,12,0.9524984748329651
1,4,12,0.0023596320838820514
2,4,12,0.21611726334335168
3,4,12,0.009803779314436711
1,5,12,0.09653700687344292
2,5,12,3.7483353927526926
3,5,12,0.32978289648386555
1,1,13,0.01144697434689934
2,1,13,0.11291111013379136
3,1,13,0.040977445805282335
1,2,13,0.0008552817846430257
2,2,13,0.04162052030536665
3,2,13,0.0039038119480661344
1,3,13,0.015736499706500588
2,3,13,0.18921930473496057
3,3,13,1.0118403696408174
1,4,13,0.003818698761116512
2,4,13,0.27933333213786554
3,4,13,0.015294703932104615
1,5,13,0.12011763512845422
2,5,13,4.082045482008135
3,5,13,0.4171617178128234
1,1,14,0.013997140127439396
2,1,14,0.1389372109659248
3,1,14,0.05067619003264504
1,2,14,0.0012967530901721838
2,2,14,0.05379680164032392
3,2,14,0.005648148577887609
1,3,14,0.019676764635377448
2,3,14,0.236518623670373
3,3,14,1.0672137232640806
1,4,14,0.005792631974760099
2,4,14,0.35122778758427753
3,4,14,0.022715504196514684
1,5,14,0.14586446733046665
2,5,14,4.421309855364739
3,5,14,0.5124424863814827
1,1,15,0.016789240507695268
2,1,15,0.16708723273194875
3,1,15,0.06125625488529572
1,2,15,0.0018744600092259923
2,2,15,0.06805680865520683
3,2,15,0.00789659211728362
1,3,15,0.02413099274239277
2,3,15,0.2889932118261131
3,3,15,1.1194451582447489
1,4,15,0.00835664379238965
2,4,15,0.4321006524580252
3,4,15,0.03236283697059681
1,5,15,0.17372529843217524
2,5,15,4.767364740091416
3,5,15,0.6150881933960786
1,1,16,0.01982391189726744
2,1,16,0.197285475566071
3,1,16,0.07269563383348784
1,2,16,0.0026079628078848685
2,2,16,0.0845765898305475
3,2,16,0.010720133285201626
1,3,16,0.029123041678664387
2,3,16,0.3467052802057292
3,3,16,1.1692430065013062
1,4,16,0.011584398149759468
2,4,16,0.5223072940020446
3,4,16,0.044518315229119934
1,5,16,0.20366584797546558
2,5,16,5.1213815940268095
3,5,16,0.724704181500578
1,1,17,0.023102687316404958
2,1,17,0.2294915671881265
3,1,17,0.08498073875553275
1,2,17,0.003517285087425975
2,2,17,0.1035356991152779
3,2,17,0.014190099078564028
1,3,17,0.03467728723090801
2,3,17,0.4097578444113442
3,3,17,1.217221568179976
1,4,17,0.01554880955392757
2,4,17,0.6222504059728157
3,4,17,0.059450750203136116
1,5,17,0.23566716037282326
2,5,17,5.4844954643386465
3,5,17,0.8410171732579823
1,1,18,0.02662796144921489
2,1,18,0.26369479636823534
3,1,18,0.09810509988763971
1,2,18,0.004623033659560578
2,2,18,0.12511796297670272
3,2,18,0.018378637734634565
1,3,18,0.0408188320602649
2,3,18,0.47828964465824536
3,3,18,1.2639205004128082
1,4,18,0.02032278232680979
2,4,18,0.7323753361772434
3,4,18,0.07741964170325458
1,5,18,0.269723903545491
2,5,18,5.857821023455544
3,5,18,0.9638556022361073
1,1,19,0.030402995972890468
2,1,19,0.29990932466872483
3,1,19,0.11206844190146875
1,2,19,0.005946499260770175
2,2,19,0.14951271340438566
3,2,19,0.023359233961138745
1,3,19,0.047573742134894764
2,3,19,0.5524715079717788
3,3,19,1.3098198106787515
1,4,19,0.025979847397263334
2,4,19,0.8531680095553661
3,4,19,0.09867894867355362
1,5,19,0.3058432213410996
2,5,19,6.2424632992925995
3,5,19,1.0931333066631201
1,1,20,0.03443194006891539
2,1,20,0.3381703759208677
3,1,20,0.12687606745401736
1,2,20,0.007509743798960503
2,2,20,0.17691616815361363
3,2,20,0.02920719133688246
1,3,20,0.05496927531027486
2,3,20,0.6325039436569347
3,3,20,1.355351386131669
1,4,20,0.032594704699471684
2,4,20,0.9851545209381921
3,4,20,0.1234806362903434
1,5,20,0.34404391738951595
