strata,patch,time,R_eff
1,1,1,7.626799119447723
2,1,1,12.23579712870625
3,1,1,6.509297431516656
1,2,1,7.626971700293884
2,2,1,12.235839318376215
3,2,1,6.509406829641379
1,3,1,7.62684326139704
2,3,1,12.235826227689168
3,3,1,6.5092885555196345
1,4,1,7.626997528661206
2,4,1,12.235884965374593
3,4,1,6.50942631411018
1,5,1,7.62694793823321
2,5,1,12.235694212742692
3,5,1,6.509382346552693
1,1,2,7.626705365261608
2,1,2,12.235686814253608
3,1,2,6.509238869107262
1,2,2,7.626912054727751
2,2,2,12.235733964857513
3,2,2,6.509365655478213
1,3,2,7.626757918847545
2,3,2,12.235719460179265
3,3,2,6.509232414013884
1,4,2,7.626945659566131
2,4,2,12.235791050829034
3,4,2,6.5093905995041315
1,5,2,7.626886571001932
2,5,2,12.23556716565059
3,5,2,6.509340020972844
1,1,3,7.626588053242914
2,1,3,12.235547098884833
3,1,3,6.509165990015346
1,2,3,7.626833935628366
2,2,3,12.235599519305383
3,2,3,6.509312227910437
1,3,3,7.626650227282539
2,3,3,12.235583547416558
3,3,3,6.509162429468302
1,4,3,7.6268773362627185
2,4,3,12.235670447098636
3,4,3,6.509343926131213
1,5,3,7.626807301174253
2,5,3,12.23540840519682
3,5,3,6.509285931998964
1,1,4,7.626440637186485
2,1,4,12.235369500866184
3,1,4,6.509074766413916
1,2,4,7.626731796298016
2,2,4,12.235427549449316
3,2,4,6.509242936710747
1,3,4,7.626513892895068
2,3,4,12.235410054396581
3,3,4,6.509074678944035
1,4,4,7.626787511539104
2,4,4,12.235515271426888
3,4,4,6.509282988531277
1,5,4,7.626704777501209
2,5,4,12.235208965703123
3,5,4,6.509216596843511
1,1,5,7.626255088822391
2,1,5,12.235143470922186
3,1,5,6.508960238088391
1,2,5,7.626598640990661
2,2,5,12.235207551041633
3,2,5,6.509153255885943
1,3,5,7.626341134694156
2,3,5,12.235188470529367
3,3,5,6.508964283140936
1,4,5,7.6266697772537535
2,4,5,12.235315646820213
3,4,5,6.509203615411444
1,5,5,7.626572264720467
2,5,5,12.234957780796789
3,5,5,6.509127650370594
1,1,6,7.626021382470019
2,1,6,12.234855712105658
3,1,6,6.5088162025623255
1,2,6,7.6264255597939465
2,2,6,12.234926262982452
3,2,6,6.509037443468872
1,3,6,7.626122189287187
2,3,6,12.2349055297283
3,3,6,6.5088251139386735
1,4,6,7.62651592473851
2,4,6,12.235059042785375
3,4,6,6.509100483813385
1,5,6,7.626401190395794
2,5,6,12.234640986573284
3,5,6,6.50901355611649
1,1,7,7.625726878721625
2,1,7,12.234489340908011
3,1,7,6.50863483041137
1,2,7,7.626201159200705
2,2,7,12.234566827831156
3,2,7,6.508888174588175
1,3,7,7.625844707830714
2,3,7,12.234544372390346
3,3,7,6.5086494196115465
1,4,7,7.62631540553751
2,4,7,12.234729467128322
3,4,7,6.508966770064578
1,5,7,7.626180590626727
2,5,7,12.234241060364944
3,5,7,6.508867249140427
1,1,8,7.625355591715498
2,1,8,12.234022871226081
3,1,8,6.508406202604237
1,2,8,7.6259108664247925
2,2,8,12.234107775497515
3,2,8,6.508696095548147
1,3,8,7.625493031959008
2,3,8,12.234083529429268
3,3,8,6.508427367241919
1,4,8,7.626054667950806
2,4,8,12.234306481986545
3,4,8,6.508793722890816
1,5,8,7.625896432890313
2,5,8,12.233735783551943
3,5,8,6.508679700364494
1,1,9,7.615650017201669
2,1,9,12.227499879418867
3,1,9,6.505910810303231
1,2,9,7.616291924007449
2,2,9,12.227593364468964
3,2,9,6.506241424342846
1,3,9,7.615808586252975
2,3,9,12.227566744356524
3,3,9,6.505939568097801
1,4,9,7.61646854634558
2,4,9,12.227833756596409
3,4,9,6.5063615836525415
1,5,9,7.616284207160134
2,5,9,12.227170288692086
3,5,9,6.506230499098742
1,1,10,7.594963731228994
2,1,10,12.211918152225662
3,1,10,6.497417095801795
1,2,10,7.595696403782875
2,2,10,12.212018372331695
3,2,10,6.497790332063398
1,3,10,7.595144583542341
2,3,10,12.211992115645197
3,3,10,6.497454036822998
1,4,10,7.5958995712603565
2,4,10,12.212301132290829
3,4,10,6.497930218779045
1,5,10,7.59570300630189
2,5,10,12.211540865064961
3,5,10,6.497789393058353
1,1,11,7.569845235050265
2,1,11,12.191205846561232
3,1,11,6.486123213848699
1,2,11,7.570679876234625
2,2,11,12.191312729239238
3,2,11,6.486543830555373
1,3,11,7.570051084320744
2,3,11,12.191287531140519
3,3,11,6.486169358880946
1,4,11,7.570914557582836
2,4,11,12.191644575491173
3,4,11,6.486706354091101
