strata,patch,time,cases
1,1,1,4898.0
2,1,1,30062.0
3,1,1,15135.0
1,2,1,10049.0
2,2,1,60370.0
3,2,1,29824.0
1,3,1,15169.0
2,3,1,89681.0
3,3,1,45072.0
1,4,1,30015.0
2,4,1,179719.0
3,4,1,90155.0
1,5,1,40108.0
2,5,1,240088.0
3,5,1,119651.0
1,1,2,4897.9974862502995
2,1,2,30061.970878853368
3,1,2,15134.98894636068
1,2,2,10048.999994681126
2,2,2,60369.99122665694
3,2,2,29823.999662278213
1,3,2,15168.997085209037
2,3,2,89680.95646585569
3,3,2,45071.961538081036
1,4,2,30015.0
2,4,2,179718.93355155757
3,4,2,90154.9990111872
1,5,2,40107.97282378528
2,5,2,240087.64895130915
3,5,2,119650.88436394755
1,1,3,4897.994827028527
2,1,3,30061.939940932072
3,1,3,15134.97723030544
1,2,3,10048.999987355619
2,2,3,60369.981922588035
3,2,3,29823.999237840566
1,3,3,15168.993765490834
2,3,3,89680.90751958983
3,3,3,45071.91153462497
1,4,3,30015.0
2,4,3,179718.86325972585
3,4,3,90154.99796492716
1,5,3,40107.94407593567
2,5,3,240087.2769772508
3,5,3,119650.76193715392
1,1,4,4897.9921461533595
2,1,4,30061.909311432384
3,1,4,15134.96556709388
1,2,4,10048.999930902311
2,2,4,60369.97211811247
3,2,4,29823.998590535575
1,3,4,15168.990249215181
2,3,4,89680.85721677686
3,3,4,45071.85925751539
1,4,4,30014.999767685083
2,4,4,179718.79195025636
3,4,4,90154.99593372711
1,5,4,40107.91532030738
2,5,4,240086.91248314708
3,5,4,119650.64107304288
1,1,5,4897.98939128903
2,1,5,30061.878905112266
3,1,5,15134.953840818816
1,2,5,10048.999774614316
2,2,5,60369.96115134227
3,2,5,29823.997526764928
1,3,5,15168.986451870967
2,3,5,89680.80537317258
3,3,5,45071.80825552379
1,4,5,30014.999064661202
2,4,5,179718.71746258938
3,4,5,90154.99189042221
1,5,5,40107.8862235355
2,5,5,240086.55766301582
3,5,5,119650.52150311526
1,1,6,4897.9864948010545
2,1,6,30061.848088448103
3,1,6,15134.941760095107
1,2,6,10048.999480814859
2,2,6,60369.94837893121
3,2,6,29823.995893123287
1,3,6,15168.982251305622
2,3,6,89680.75074260891
3,3,6,45071.75944670893
1,4,6,30014.99772206
2,4,6,179718.63702520085
3,4,6,90154.98510309661
1,5,6,40107.856213921856
2,5,6,240086.20713330887
3,5,6,119650.40082440201
1,1,7,4897.9834079408565
2,1,7,30061.816272803484
3,1,7,15134.929083270565
1,2,7,10048.999024179151
2,2,7,60369.93335345386
3,2,7,29823.993587449233
1,3,7,15168.977554526316
2,3,7,89680.69218243338
3,3,7,45071.71268138866
1,4,7,30014.995635636074
2,4,7,179718.548561844
3,4,7,90154.97514349458
1,5,7,40107.824849357
2,5,7,240085.85492298898
3,5,7,119650.27682643679
1,1,8,4897.980102643155
2,1,8,30061.78305533072
3,1,8,15134.915662497307
1,2,8,10048.998386151508
2,2,8,60369.91579484574
3,2,8,29823.990539457995
1,3,8,15168.972302988475
2,3,8,89680.62891680856
3,3,8,45071.66745988005
1,4,8,30014.992738734367
2,4,8,179718.4507770784
3,4,8,90154.96177135617
1,5,8,40107.79186072178
2,5,8,240085.4964951922
3,5,8,119650.14805123891
1,1,9,4897.976564718097
2,1,9,30061.74819306238
3,1,9,15134.901423612735
1,2,9,10048.997550131879
2,2,9,60369.8955152328
3,2,9,29823.98669012219
1,3,9,15168.966460783444
2,3,9,89680.56047091761
3,3,9,45071.62322394762
1,4,9,30014.98897889148
2,4,9,179718.342885077
3,4,9,90154.94482321842
1,5,9,40107.75710255064
2,5,9,240085.1288167769
3,5,9,119650.01369270818
1,1,10,4897.9727870978495
2,1,10,30061.711540711876
3,1,10,15134.886334784052
1,2,10,10048.996498789264
2,2,10,60369.87235852197
3,2,10,29823.98197897906
1,3,10,15168.960002707145
2,3,10,89680.48654054265
3,3,10,45071.57945515448
1,4,10,30014.984304219754
2,4,10,179718.22433848525
3,4,10,90154.92414367267
1,5,10,40107.72049668521
2,5,10,240084.74989014128
3,5,10,119649.8733471564
1,1,11,4897.968765347345
2,1,11,30061.67299905838
3,1,11,15134.870382226105
1,2,11,10048.995213068834
2,2,11,60369.84616643055
3,2,11,29823.976338968652
1,3,11,15168.952906549675
2,3,11,89680.40688940421
3,3,11,45071.53569576662
1,4,11,30014.978657735744
2,4,11,179718.09465337926
3,4,11,90154.89955514923
1,5,11,40107.6819928412
2,5,11,240084.3582925821
3,5,11,119649.7268028219
1,1,12,4897.964495260864
2,1,12,30061.632483033078
3,1,12,15134.853555792772
1,2,12,10048.993672105977
2,2,12,60369.81676451661
3,2,12,29823.96969571624
1,3,12,15168.945149216142
2,3,12,89680.32128927321
3,3,12,45071.491543538716
1,4,12,30014.971976163564
2,4,12,179717.95332235147
3,4,12,90154.87085095944
1,5,12,40107.64154656767
2,5,12,240083.95286402124
3,5,12,119649.5739075395
1,1,13,4897.959971806055
2,1,13,30061.58990552293
3,1,13,15134.835842041988
1,2,13,10048.991853456984
2,2,13,60369.78395904619
3,2,13,29823.961968553627
1,3,13,15168.93670521681
2,3,13,89680.22949215632
3,3,13,45071.44664048039
1,4,13,30014.96419053629
2,4,13,179717.79978242825
3,4,13,90154.83779838111
1,5,13,40107.59910895985
2,5,13,240083.53253220767
3,5,13,119649.41450050613
1,1,14,4897.955188774952
2,1,14,30061.54517069521
3,1,14,15134.817221701307
1,2,14,10048.989733337363
2,2,14,60369.74753808379
3,2,14,29823.953071721862
1,3,14,15168.92754630238
2,3,14,89680.13122066317
3,3,14,45071.40066219557
1,4,14,30014.95522711981
2,4,14,179717.63340931144
3,4,14,90154.8001439321
1,5,14,40107.554622787306
2,5,14,240083.09622825
3,5,14,119649.248383931
1,1,15,4897.950138738473
2,1,15,30061.498172068223
3,1,15,15134.797669255744
1,2,15,10048.987286759719
2,2,15,60369.707273304295
3,2,15,29823.942915143547
1,3,15,15168.917641512111
2,3,15,89680.02616655044
3,3,15,45071.35330927386
1,4,15,30014.945008069946
2,4,15,179717.45352070872
3,4,15,90154.75761743262
1,5,15,40107.50802153748
2,5,15,240082.64285108424
3,5,15,119649.07531522065
1,1,16,4897.944813095922
2,1,16,30061.448792484676
3,1,16,15134.77715332708
1,2,16,10048.984487565896
2,2,16,60369.662921180316
3,2,16,29823.931404685518
1,3,16,15168.906957288673
2,3,16,89679.91399188747
3,3,16,45071.304300614895
1,4,16,30014.933451712186
2,4,16,179717.2593806343
3,4,16,90154.70993406349
1,5,16,40107.45922950117
2,5,16,240082.17125435825
3,5,16,119648.89500778048
1,1,17,4897.939202130928
2,1,17,30061.396904583045
3,1,17,15134.755637201622
1,2,17,10048.981308383663
2,2,17,60369.61422331436
3,2,17,29823.91844204173
1,3,17,15168.895457537361
2,3,17,89679.79433037552
3,3,17,45071.25336824023
1,4,17,30014.920472522164
2,4,17,179717.05020192088
3,4,17,90154.6567947565
1,5,17,40107.40816206191
2,5,17,240081.6802416519
3,5,17,119648.70713430543
1,1,18,4897.9332950460575
2,1,18,30061.34237120258
3,1,18,15134.733079260885
1,2,18,10048.977720540186
2,2,18,60369.56090610492
3,2,18,29823.903924395465
1,3,18,15168.88310361058
2,3,18,89679.66678802815
3,3,18,45071.20025318924
1,4,18,30014.905980920266
2,4,18,179716.82514665357
3,4,18,90154.59788552705
1,5,18,40107.35472589321
2,5,18,240081.16856371993
3,5,18,119648.5113299535
1,1,19,4897.92707997368
2,1,19,30061.28504556647
3,1,19,15134.709433260608
1,2,19,10048.973693954877
2,2,19,60369.5026800028
3,2,19,29823.88774398012
1,3,19,15168.869854233624
2,3,19,89679.53094314826
3,3,19,45071.14470219903
1,4,19,30014.889882969506
2,4,19,179716.58332504838
3,4,19,90154.53287626221
1,5,19,40107.29881900503
2,5,19,240080.6349154835
3,5,19,119648.30719459172
1,1,20,4897.920543968274
2,1,20,30061.22477124881
3,1,20,15134.684648476374
1,2,20,10048.969197024033
2,2,20,60369.43923855183
3,2,20,29823.869787606785
1,3,20,15168.8556653924
2,3,20,89679.38634576272
3,3,20,45071.086464953245
1,4,20,30014.872080030385
2,4,20,179716.32379336207
3,4,20,90154.46141929088
1,5,20,40107.24033066102
2,5,20,240080.0779322576
3,5,20,119648.09429406513
1,1,21,4897.913672985869
2,1,21,30061.16138197423
3,1,21,15134.658669750741
1,2,21,10048.96419650239
2,2,21,60369.37025732572
3,2,21,29823.849936188344
1,3,21,15168.84049019826
2,3,21,89679.23251668827
3,3,21,45071.025291744976
1,4,21,30014.85246839864
2,4,21,179716.04555124952
3,4,21,90154.38314790069
1,5,21,40107.179141201676
2,5,21,240079.4961853081
3,5,21,119647.87216067735
1,1,22,4897.906451854632
2,1,22,30061.094701296748
3,1,22,15134.631437472113
1,2,22,10048.958657382753
2,2,22,60369.29539281128
3,2,22,29823.82806426732
1,3,22,15168.824278738586
2,3,22,89679.06894635034
3,3,22,45070.960931440975
1,4,22,30014.830938934912
2,4,22,179715.74753879907
3,4,22,90154.29767486289
1,5,22,40107.115121800656
2,5,22,240078.88817694288
3,5,22,119647.64029309095
1,1,23,4897.898864238969
2,1,23,30061.024542190204
3,1,23,15134.602887505924
1,2,23,10048.952542773064
2,2,23,60369.21428125199
3,2,23,29823.80403954428
1,3,23,15168.806977917055
2,3,23,89678.89509342494
3,3,23,45070.893129664895
1,4,23,30014.807376686967
2,4,23,179715.4286333461
3,4,23,90154.20459097183
1,5,23,40107.04813417056
2,5,23,240078.2523352938
3,5,23,119647.39815580541
1,1,24,4897.890892598306
2,1,24,30060.950706569743
3,1,24,15134.57295109042
1,2,24,10048.945813769782
2,2,24,60369.12653744921
3,2,24,29823.77772240047
1,3,24,15168.788531284685
2,3,24,89678.71038333589
3,3,24,45070.8216271397
1,4,24,30014.78166050201
2,4,24,179715.0876460943
3,4,24,90154.10346358379
1,5,24,40106.97803022615
2,5,24,240077.58700887085
3,5,24,119647.1451783166
1,1,25,4897.882518141037
2,1,25,30060.87298475477
3,1,25,15134.541554703685
1,2,25,10048.938429326447
2,2,25,60369.03175351231
3,2,25,29823.74896540841
1,3,25,15168.768878861549
2,3,25,89678.51420662008
3,3,25,45070.74615814599
1,4,25,30014.75366262575
2,4,25,179714.72331854035
3,4,25,90153.99383513401
1,5,25,40106.90465170803
2,5,25,240076.89046091758
3,5,25,119646.88075401922
1,1,26,4897.87372077376
2,1,26,30060.791154878694
3,1,26,15134.508619905215
1,2,26,10048.930346116538
2,2,26,60368.9294975486
3,2,26,29823.717612825527
1,3,26,15168.747956948451
2,3,26,89678.30591716239
3,3,26,45070.66644906442
1,4,26,30014.723248285398
2,4,26,179714.33431868654
3,4,26,90153.87522161323
1,5,26,40106.827829767695
2,5,26,240076.1608635629
3,5,26,119646.60423888742
1,1,27,4897.864479045795
2,1,27,30060.704982247833
3,1,27,15134.474063153597
1,2,27,10048.921518389878
2,2,27,60368.81931228461
3,2,27,29823.68350006693
1,3,27,15168.725697927694
2,3,27,89678.084830298
3,3,27,45070.58221697864
1,4,27,30014.69027525412
2,4,27,179713.91923702406
3,4,27,90153.74711098868
1,5,27,40106.747384513445
2,5,27,240075.39629175083
3,5,27,119646.31494995336
1,1,28,4897.854770088857
2,1,28,30060.614218650197
3,1,28,15134.437795600976
1,2,28,10048.911897821943
2,2,28,60368.70071361224
3,2,28,29823.646453154444
1,3,28,15168.702030052116
2,3,28,89677.85022077808
3,3,28,45070.4931683204
1,4,28,30014.654593394862
2,4,28,179713.47658227076
3,4,28,90153.6089615571
1,5,28,40106.66312451618
2,5,28,240074.59471692282
3,5,28,119646.01216359476
1,1,29,4897.84456955177
2,1,29,30060.518601614196
3,1,29,15134.399722864506
1,2,29,10048.901433355555
2,2,29,60368.5731890532
3,2,29,29823.60628813937
1,3,29,15168.67687722159
2,3,29,89677.60132059401
3,3,29,45070.39899754198
1,4,29,30014.61604418171
2,4,29,179713.00477684813
3,4,29,90153.46020022036
1,5,29,40106.57484627414
2,5,29,240073.75400042586
3,5,29,119645.6951136372
1,1,30,4897.833851530072
2,1,30,30060.417853616458
3,1,30,15134.359744774823
1,2,30,10048.89007103438
2,2,30,60368.43619613648
3,2,30,29823.562810496835
1,3,30,15168.65015874609
2,3,30,89677.33731665506
3,3,30,45070.299385803526
1,4,30,30014.574460197062
2,4,30,179712.50215208388
3,4,30,90153.30022067549
