	t	H	expr	parvals	sse	bic	Hp
23000	23000	-99.6478795236883	(((((((_a2_ ** _a2_) * T) + _a4_) * _a1_) / _a2_) + ((_a4_ + T) ** (_a4_ + T))) * _a4_)	{'Hungary': {'_a1_': -0.0033441274680987643, '_a2_': 4.035317991499585e-07, '_a4_': 0.005084606467536267, '_a0_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.32123489108196734}	-299.155870125507	49.93005553906533
36000	36000	-120.264209216573	(((((T ** -(_a1_)) * T) * _a1_) * _a2_) * (T + T))	{'Hungary': {'_a1_': 1.8413011818540304, '_a2_': -0.20949899564949412, '_a0_': 1.0, '_a3_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3237182568429196}	-303.004696625906	31.238139096380262
44000	44000	-117.325921962098	((((-(T) * _a2_) + _a2_) * -((-(T) ** _a3_))) * T)	{'Hungary': {'_a2_': -0.7775711637490209, '_a3_': -0.8403365330495511, '_a0_': 1.0, '_a1_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32377313630078747}	-302.986558617994	34.167357346899365
24000	24000	-124.445129417436	((((T * T) / T) ** (_a0_ * (_a1_ * T))) * _a1_)	{'Hungary': {'_a0_': 134.44952008319095, '_a1_': -0.2074617782522909, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3212256348302731}	-303.831782165525	27.470761665326226
72000	72000	-126.540256032098	((((T / _a2_) * _a0_) ** (T / _a2_)) / _a2_)	{'Hungary': {'_a0_': -9.4145211345e-313, '_a2_': -4.655174867740217, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32189340488460594}	-303.609579378547	25.264533657176425
54000	54000	-120.737752012995	((((_a0_ + (T + _a1_)) + T) * _a0_) * (_a2_ + _a2_))	{'Hungary': {'_a0_': -71832133.51299778, '_a1_': 71832133.52292733, '_a2_': 1.4671905593819918e-07, '_a3_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32123497616407815}	-299.155841785545	28.84016887977753
31000	31000	-108.749985658893	((((_a0_ / _a1_) * (exp(_a2_) * (((_a2_ ** (_a2_ + (_a3_ + _a2_))) ** _a4_) * (sin((((_a2_ ** (_a1_ * P)) + (_a3_ ** _a0_)) * (_a4_ + T))) + P)))) / (pow2(_a2_) ** (_a3_ + _a3_))) + (((T * _a3_) + _a2_) * -(_a3_)))	{'Hungary': {'_a0_': -3.661502362540398e-288, '_a1_': 2.178356589238279, '_a2_': 0.01657373611560908, '_a3_': 9.415328612618893, '_a4_': -13.055489549843537}}	{'Hungary': 0.05240678658448509}	-483.815818549384	133.15792361579906
20000	20000	-121.989163267082	((((_a1_ / _a2_) + -(T)) * pow2(T)) + _a0_)	{'Hungary': {'_a0_': -0.23193854305072725, '_a1_': 7064029.534892701, '_a2_': -455.72034103246114, '_a3_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3274892282562073}	-297.092636177504	26.557154821670096
69000	69000	-119.284698603426	((((_a3_ ** T) / _a0_) * pow3(_a3_)) + (_a0_ ** _a0_))	{'Hungary': {'_a0_': -3.887896603588018e+208, '_a3_': 2.0250974689348504e+69, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3218633062906444}	-303.619584865093	32.52509382911993
100000	100000	-109.243418392197	((((_a3_ / _a2_) * _a3_) + (T / exp((-(exp(_a3_)) * T)))) / _a3_)	{'Hungary': {'_a2_': 0.11359062383657736, '_a3_': -0.023780425291224604, '_a0_': 1.0, '_a1_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3212408726182601}	-303.826706591013	42.6699349033098
90000	90000	-111.844648944592	((((_a4_ / _a1_) * (T / pow2(-(_a0_)))) ** (T + T)) / _a4_)	{'Hungary': {'_a0_': 2.7558000204874083e-15, '_a1_': 5.570505494857e-08, '_a4_': -4.6690130450720275, '_a2_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.32192119227251303}	-298.927514187776	37.619108149296565
75000	75000	-120.520271308885	(((-((_a3_ * _a3_)) ** exp(T)) * (_a2_ * _a3_)) * _a3_)	{'Hungary': {'_a2_': 1.2784289581093408e-139, '_a3_': -3.595682141184292e+34, '_a0_': 1.0, '_a1_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32186749365355644}	-303.618192830311	31.288825106270227
29000	29000	-139.336773725214	(((P + cos(_a3_)) + (((T ** (_a3_ * (P / _a1_))) ** (P + ((_a2_ / _a3_) / _a3_))) * (-(log(((T + _a4_) + (((P + P) * ((_a2_ + T) * _a2_)) * _a0_)))) * ((_a1_ * (-(_a1_) + T)) + _a3_)))) + pow2(T))	{'Hungary': {'_a0_': 1.6233365224230558e-12, '_a1_': 31.17328149592252, '_a2_': -56382.34683560324, '_a3_': 971.7857042427382, '_a4_': -0.0003899992593840023}}	{'Hungary': 0.02912471642879294}	-546.672853248724	133.99965289914837
60000	60000	-132.469298728437	(((T * _a4_) + _a2_) / exp(T))	{'Hungary': {'_a2_': -0.20924606688622374, '_a4_': -42.474021315952854, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.3212289207680036}	-303.830687627914	19.446045085520065
63000	63000	-110.758163484779	(((T ** _a1_) + T) * log(pow2((_a4_ * exp((_a2_ + _a1_))))))	{'Hungary': {'_a1_': 0.1564462602669336, '_a2_': -0.4492229372682015, '_a4_': 0.9178117614894094, '_a0_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.3236055377755571}	-298.369131801913	38.4264024161775
76000	76000	-136.027948131188	(((T ** _a3_) ** T) * _a2_)	{'Hungary': {'_a2_': -0.20746177641103988, '_a3_': -27.89313756462415, '_a0_': 1.0, '_a1_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32122563483027355}	-303.831782165524	15.887942951574177
