	t	H	expr	parvals	sse	bic	Hp
68000	68000	-144.782026133046	((((((((_a3_ * T) ** P) + pow2((((cos(((T * _a3_) * _a4_)) * _a1_) / (T / (_a4_ * _a4_))) * T))) * ((_a1_ + (pow3(T) + _a2_)) / P)) / _a1_) + (_a1_ + _a1_)) * _a3_) * T)	{'UK': {'_a1_': -0.15276551810738026, '_a2_': 0.15276548130893142, '_a3_': 79.95296312555732, '_a4_': -37.5613752259864, '_a0_': 1.0}}	{'UK': 0.04238851692768323}	-511.189617533708	110.81278263380835
89000	89000	-99.0244726458309	(((((((T * log(_a4_)) * _a2_) + (_a0_ * pow2(((_a1_ ** T) * log((T / _a3_)))))) * ((pow2(pow2(pow3(_a1_))) / _a4_) * ((pow3(pow3(_a1_)) * (_a1_ / (_a3_ * _a0_))) * (_a1_ / _a2_)))) + _a3_) * (_a1_ * (_a2_ * _a1_))) + sqrt(_a2_))	{'UK': {'_a0_': -1.499692607510073e-17, '_a1_': 73461845679.4193, '_a2_': 3.002844133963364e-17, '_a3_': 0.0006943509633544949, '_a4_': 7.372597327338383e+272}}	{'UK': 0.05366747181124471}	-481.272323583875	141.6116891461064
75000	75000	-164.193941504435	(((((((_a1_ * _a1_) * T) ** _a4_) + (_a2_ ** _a4_)) + ((T + _a3_) / (T * _a4_))) * (_a2_ + (_a1_ ** ((T * _a4_) * _a4_)))) + (_a0_ + T))	{'UK': {'_a0_': -0.05385713471498966, '_a1_': 24.016563945094166, '_a2_': 1.1182355358828073, '_a3_': 4.3250520483139314e-07, '_a4_': -30.616390149106472}}	{'UK': 0.050856400440100945}	-487.029040780499	79.32057888581377
46000	46000	-174.75580588724	(((((((_a2_ / _a3_) / P) ** pow2(T)) ** _a3_) * _a3_) + -((T * ((T * (_a3_ + _a1_)) * _a2_)))) / _a2_)	{'UK': {'_a1_': -535226.0706968644, '_a2_': 85.07094705669755, '_a3_': 542704.0942749165, '_a0_': 1.0, '_a4_': 1.0}}	{'UK': 0.062085053785703115}	-475.028273714314	62.758330969916976
86000	86000	-133.48201838603	((((((P ** _a1_) ** -((_a0_ * (pow2(pow2(T)) * ((P + P) + ((_a3_ * _a4_) * (T * P))))))) + P) + ((_a3_ / ((pow2(_a1_) / T) + (((T + _a2_) * T) * _a1_))) + _a0_)) + _a0_) + _a0_)	{'UK': {'_a0_': -0.013302969534160922, '_a1_': 4.095591148683167e-08, '_a2_': -0.0063308330623795825, '_a3_': -6.091818836004954e-15, '_a4_': -3.083148759690046e+38}}	{'UK': 0.04573150893095476}	-498.39441492564	115.7151890767902
30000	30000	-143.618551336201	((((((T * T) * pow2(_a2_)) * (T / (((_a2_ / (T ** _a0_)) / T) / pow2(T)))) ** -(_a0_)) + ((_a2_ * T) * (((_a2_ ** _a0_) * T) * _a4_))) * _a2_)	{'UK': {'_a0_': 2.9132557024494816, '_a2_': 1.7428034142357496e+36, '_a4_': -6.476442866261731e-175, '_a1_': 1.0, '_a3_': 1.0}}	{'UK': 0.06495436750096208}	-470.194045310082	91.47847131883998
54000	54000	-112.091286863035	((((((T * log((_a4_ + _a2_))) * _a2_) + (_a0_ * pow2(((_a1_ ** T) * log((T / _a3_)))))) * ((pow2(pow2(pow3(_a1_))) / _a4_) * ((pow3(pow2(_a1_)) * (_a1_ / _a0_)) * (_a1_ / _a2_)))) + _a3_) * (_a1_ * (_a2_ * _a1_)))	{'UK': {'_a0_': -1.3038406124655948e-17, '_a1_': 73442823914.80444, '_a2_': 3.004383846084876e-17, '_a3_': 0.0006943579686651548, '_a4_': 1.2839187081096084e+237}}	{'UK': 0.05366746989611546}	-481.272327402181	128.5448768380552
44000	44000	-108.316053725806	((((((T * log(_a4_)) * (_a3_ / _a1_)) + (_a0_ * pow2(((-(_a1_) ** T) * log((T / _a3_)))))) * ((pow2(pow2(pow3(_a1_))) / _a4_) * ((pow3(pow2(_a1_)) * (_a1_ / _a0_)) * (_a1_ / _a2_)))) + _a1_) * (_a1_ * (_a2_ * _a1_)))	{'UK': {'_a0_': -4.106815606271523e-15, '_a1_': 73377362017.81932, '_a2_': 2.8480876752686308e-31, '_a3_': 0.0006943821222236886, '_a4_': 1.2589687694792382e+237}}	{'UK': 0.05366747920413926}	-481.272308844227	132.3201006963074
53000	53000	-108.524694834453	((((((T * log(_a4_)) * _a2_) + (_a0_ * pow2(((_a1_ ** (T + _a0_)) * log((T / _a3_)))))) * ((pow2(pow2(pow3(_a1_))) / _a4_) * ((pow3(pow2(_a1_)) * (_a1_ / _a0_)) * (_a1_ / _a2_)))) + pow2(_a3_)) * (_a1_ * (_a2_ * _a1_)))	{'UK': {'_a0_': -1.8763842586647708e-14, '_a1_': 73470293817.78384, '_a2_': 4.323669971368691e-14, '_a3_': 0.0006943478772313977, '_a4_': 1.2945476090360068e+237}}	{'UK': 0.0536674733244661}	-481.272320566876	132.1114654489852
58000	58000	-107.104749924821	((((((T * log(_a4_)) * _a2_) + (_a0_ * pow2(((_a1_ ** T) * log((T / _a3_)))))) * ((pow2(pow2(pow3(_a1_))) / _a4_) * ((pow3(pow2(_a1_)) * (_a1_ / (_a3_ * _a0_))) * (_a1_ / _a2_)))) + _a3_) * ((_a3_ + _a1_) * (_a2_ * _a1_)))	{'UK': {'_a0_': -1.3214330680006805e-17, '_a1_': 73435037796.97887, '_a2_': 3.0048942215469404e-17, '_a3_': 0.0006943609341470998, '_a4_': 1.8448273271280374e+240}}	{'UK': 0.053667469783968254}	-481.272327625776	133.5314138880664
