	t	H	expr	parvals	sse	bic	Hp
60000	60000	-118.629559391247	((((((((_a3_ * P) + _a2_) / _a2_) + (_a1_ * ((pow2(P) + ((_a3_ + _a0_) * (_a2_ * P))) / (pow2((((_a4_ * (_a4_ + _a3_)) * _a4_) * (_a0_ ** P))) * pow2(pow2((pow2(_a2_) * T))))))) + _a4_) * (_a0_ * _a4_)) * P) * _a0_)	{'Belgium': {'_a0_': 226075078.82161155, '_a1_': 4.284194259320086e-169, '_a2_': -2.1203204907754493e-10, '_a3_': 6.769971555573251e-10, '_a4_': -3.808378476846982e-17}}	{'Belgium': 0.04751478145563841}	-494.301309950618	128.52109558406246
77000	77000	-109.298845595026	((((((((_a3_ / _a4_) + (T * ((T ** (((_a3_ / _a2_) * _a2_) * T)) * _a0_))) * exp(_a3_)) / (pow2(pow3(_a4_)) * pow2(((_a2_ + pow3(_a4_)) * _a4_)))) * (_a4_ ** P)) * ((_a2_ / T) * exp(_a3_))) + _a1_) + sqrt(P))	{'Belgium': {'_a0_': -14651524077741.387, '_a1_': -0.6047128557471879, '_a2_': 2.186306014410467e-209, '_a3_': 97.34015761864643, '_a4_': 9.75031307219432e-09}}	{'Belgium': 0.04887339472296072}	-491.284731491066	136.34352015050683
29000	29000	-36.0654750062522	((((((((pow2((T / _a4_)) ** (T / _a3_)) + _a0_) * (((T * _a1_) + _a0_) * (pow3(_a0_) * (_a1_ / T)))) / (_a2_ * _a2_)) * (-((pow3(_a1_) / _a4_)) * ((_a1_ + _a1_) * _a1_))) * _a2_) * (_a1_ * (_a0_ * _a1_))) * _a0_)	{'Belgium': {'_a0_': 5.24989610372911e+18, '_a1_': -2.570975408848383e+21, '_a2_': -1.6634104241827487e+308, '_a3_': -9.892738354439889e-05, '_a4_': 0.005994310009543492}}	{'Belgium': 0.2311269257935795}	-325.035209679162	126.45212983332864
30000	30000	-36.0654750062522	((((((((pow2((T / _a4_)) ** (T / _a3_)) + _a0_) * (((T * _a1_) + _a0_) * (pow3(_a0_) * (_a1_ / T)))) / (_a2_ * _a2_)) * (-((pow3(_a1_) / _a4_)) * ((_a1_ + _a1_) * _a1_))) * _a2_) * (_a1_ * (_a0_ * _a1_))) * _a0_)	{'Belgium': {'_a0_': 5.24989610372911e+18, '_a1_': -2.570975408848383e+21, '_a2_': -1.6634104241827487e+308, '_a3_': -9.892738354439889e-05, '_a4_': 0.005994310009543492}}	{'Belgium': 0.2311269257935795}	-325.035209679162	126.45212983332864
37000	37000	-36.0654750062522	((((((((pow2((T / _a4_)) ** (T / _a3_)) + _a0_) * (((T * _a1_) + _a0_) * (pow3(_a0_) * (_a1_ / T)))) / (_a2_ * _a2_)) * (-((pow3(_a1_) / _a4_)) * ((_a1_ + _a1_) * _a1_))) * _a2_) * (_a1_ * (_a0_ * _a1_))) * _a0_)	{'Belgium': {'_a0_': 5.24989610372911e+18, '_a1_': -2.570975408848383e+21, '_a2_': -1.6634104241827487e+308, '_a3_': -9.892738354439889e-05, '_a4_': 0.005994310009543492}}	{'Belgium': 0.2311269257935795}	-325.035209679162	126.45212983332866
98000	98000	-138.590816003137	(((((((P * _a2_) * _a3_) + (_a1_ * ((pow3(P) + (pow2(_a0_) * ((_a2_ / T) * P))) / (pow2(((pow2(_a4_) * _a2_) * (_a0_ ** P))) * pow2(pow2((_a4_ * T))))))) + _a0_) * (_a0_ * _a4_)) * P) * _a0_)	{'Belgium': {'_a0_': 42949127578.755165, '_a1_': 3.022578766016761e-302, '_a2_': -1.9156591998653814e-27, '_a3_': 7.003332923030787e+37, '_a4_': -2.3199306481442934e-32}}	{'Belgium': 0.03911238316530224}	-515.123694988438	118.97103149108244
90000	90000	-139.35257128104	(((((((P * _a2_) * _a3_) + (_a1_ * ((pow3(P) + (pow2(_a0_) * ((_a2_ / T) * P))) / (pow2(((pow2(_a4_) * _a2_) * (_a0_ ** P))) * pow2(pow2((_a4_ * T))))))) + _a0_) * (_a0_ * _a4_)) * P) * _a0_)	{'Belgium': {'_a0_': 36759353818.77328, '_a1_': 1.5251388056083144e-300, '_a2_': -2.374998020840181e-27, '_a3_': 4.810813046103051e+37, '_a4_': -3.589929728227397e-32}}	{'Belgium': 0.038559430692566087}	-516.647205544245	118.97103149108248
68000	68000	-130.755632313873	(((((((P * _a2_) * _a3_) + (_a1_ * ((sin(P) + (_a0_ * (_a2_ * P))) / (pow2((((_a4_ * _a4_) * _a4_) * (_a0_ ** P))) * pow2(pow2((_a4_ * -(T)))))))) + (_a0_ + _a0_)) * (_a0_ * _a4_)) * P) * _a0_)	{'Belgium': {'_a0_': 15536939719.838531, '_a1_': -5.310274420553671e-301, '_a2_': -6.43378310071088e-11, '_a3_': 1.5464197761211892e+21, '_a4_': -2.6333227130794126e-31}}	{'Belgium': 0.04345378529877709}	-503.860998619461	121.17486699585744
82000	82000	-126.833398418436	(((((((P * _a4_) * (_a0_ + _a3_)) + (_a1_ * ((pow3(P) + (pow2(_a0_) * ((_a2_ / T) * P))) / (pow2((((_a4_ * _a2_) * _a4_) * (_a0_ ** P))) * pow2(pow2((_a4_ * T))))))) + _a0_) * (_a0_ * _a4_)) * P) * (_a0_ + _a1_))	{'Belgium': {'_a0_': 29176138494.955677, '_a1_': 8.500689643993365e-298, '_a2_': -3.936238120896959e-27, '_a3_': 1.2535174578535519e+42, '_a4_': -7.257871254381637e-32}}	{'Belgium': 0.0384198117516172}	-517.035342465018	131.68427281407304
33000	33000	-33.6762832293026	(((((((_a0_ * (_a3_ + ((((T + _a1_) ** T) ** -(((pow3(T) * T) * (_a2_ * sin(pow3(T)))))) * (_a4_ + (_a2_ / -(T)))))) * (_a2_ * (pow2(_a3_) * ((_a4_ * _a4_) / _a1_)))) * T) + _a0_) * pow2(_a2_)) * _a2_) * _a2_)	{'Belgium': {'_a0_': -4.106243187558727e-256, '_a1_': 0.9973757938151325, '_a2_': 4.1346103527776367e+24, '_a3_': 2.4290896506755158e+26, '_a4_': 1.8456030346823605e+27}}	{'Belgium': 0.20439389033042318}	-338.187441542875	135.41743754213502
26000	26000	-30.9625367476287	(((((((_a0_ * (_a3_ + (((_a1_ + T) ** -(((pow3(T) * T) * (_a2_ * abs(pow3(T)))))) * (_a4_ + (_a2_ / -(T)))))) * (_a2_ * (pow2(_a2_) * (_a0_ + pow2(-(_a4_)))))) * T) + (_a0_ * _a1_)) * pow2(_a2_)) * _a3_) * _a2_)	{'Belgium': {'_a0_': 6.623837491274215e-228, '_a1_': 0.997371652632436, '_a2_': 9.282417704487741e+21, '_a3_': 5.722063273491873e+23, '_a4_': 4.180736871802691e+24}}	{'Belgium': 0.20840772716465938}	-336.106567540216	137.09074702247943
29000	29000	-40.0117136645679	(((((((_a0_ * (_a3_ + (((_a1_ + T) ** -(((pow3(T) * T) * (_a2_ * sin(pow3(T)))))) * (_a4_ + (_a2_ / -(T)))))) * (_a4_ * (pow2(_a3_) * (_a3_ + pow2(_a4_))))) * T) + _a0_) * pow2(_a3_)) * _a4_) * _a4_)	{'Belgium': {'_a0_': -3.0953590448200676e-241, '_a1_': 0.9973716511821058, '_a2_': 9.28232030726713e+21, '_a3_': 5.721989409988662e+23, '_a4_': 4.18069198697884e+24}}	{'Belgium': 0.20840772716163095}	-336.106567541771	128.04157010631766
93000	93000	-143.924310991128	(((((((_a1_ + _a3_) + (_a4_ / P)) * ((T + (-(_a2_) / pow2((_a0_ * _a0_)))) * _a0_)) / pow2(T)) / _a3_) / (_a1_ ** -(((_a0_ ** P) + (P + (P + (_a4_ + P))))))) + ((((_a1_ ** P) * _a3_) * -(P)) * P))	{'Belgium': {'_a0_': 7.120756480898438e-23, '_a1_': 1.6047253153785764e-07, '_a2_': 8.057111542880706e-92, '_a3_': 76.04663508918605, '_a4_': -3.110564703988572}}	{'Belgium': 0.02788881823221663}	-551.31251739932	131.73194770853223
56000	56000	-97.4528865544802	(((((((_a2_ * _a2_) / _a0_) * T) ** ((T / pow2(_a3_)) ** ((_a1_ * _a1_) * _a4_))) / ((_a2_ * _a4_) * _a4_)) + (_a1_ / pow2(pow2(T)))) + (_a0_ + _a3_))	{'Belgium': {'_a0_': 2.5671692987439164e-103, '_a1_': 1.1401968172904993e-12, '_a2_': -1.0283901304837259e-50, '_a3_': -0.051698655562797985, '_a4_': -4.154727401678263e+25}}	{'Belgium': 0.16198277311920037}	-363.071252009523	84.08273945028131
45000	45000	-144.641621945494	(((((((_a3_ + (_a4_ / P)) * (((_a1_ * _a2_) + (_a4_ / (T * (T / _a3_)))) * _a0_)) * _a3_) * _a1_) / (_a1_ ** -(((_a0_ ** P) + (P + (P + _a4_)))))) + ((((_a1_ ** P) * _a3_) * -(P)) * P)) + _a0_)	{'Belgium': {'_a0_': 3.715940572547897e-29, '_a1_': 1.0912898293319631e-07, '_a2_': 278495739995059.22, '_a3_': 82.30792120858895, '_a4_': -3.539868147253797}}	{'Belgium': 0.03127847221430022}	-539.039163297282	124.87795970314752
57000	57000	-76.73302601946	(((((((_a4_ * _a0_) * T) + ((T * _a0_) * T)) ** ((((_a4_ / _a2_) ** (_a2_ * (T * pow2((T * T))))) ** T) ** _a1_)) * -(_a3_)) * pow2(_a0_)) * pow2(_a0_))	{'Belgium': {'_a0_': 1537454.3264772252, '_a1_': -2.0083389626432866e+190, '_a2_': -0.0998939039999763, '_a3_': 1.798288318308623e-26, '_a4_': -0.00205762453167242}}	{'Belgium': 0.20471069903558234}	-338.021720897792	92.2778344294356
