	t	H	expr	parvals	sse	bic	Hp
24000	24000	-129.139294796001	(((((((((T + ((((_a1_ + T) + T) ** ((-((_a0_ / pow2(_a3_))) * T) ** (pow3(T) * _a2_))) + _a0_)) + _a1_) * _a3_) / ((T * _a4_) * (_a4_ * (T * _a4_)))) / (_a4_ * pow2(pow2(_a4_)))) + _a1_) + _a0_) * _a1_) * _a2_)	{'Catalonia': {'_a0_': -1.3182290504215366e-159, '_a1_': -0.0015567640102722826, '_a2_': 221124.23955902577, '_a3_': 5.435930253989457e-139, '_a4_': -2.1287198868791746e-17}}	{'Catalonia': 0.039227824893577824}	-514.808345459187	128.2648779335924
38000	38000	-129.099461840705	(((((((((T + ((((_a1_ + T) + T) ** ((-((_a0_ / pow2(_a3_))) * _a2_) ** (pow3(T) * _a2_))) + _a0_)) + _a1_) * _a3_) / ((T * _a4_) * (_a4_ * (T * _a4_)))) / (_a4_ * pow2(pow2(_a4_)))) + _a1_) + _a0_) * _a1_) * _a2_)	{'Catalonia': {'_a0_': -8.827816679564337e-192, '_a1_': -0.0015568738829422602, '_a2_': 221645.7542854339, '_a3_': 7.519767596042109e-151, '_a4_': -7.010626996027008e-19}}	{'Catalonia': 0.039257042501708396}	-514.728679548595	128.2648779335924
42000	42000	-129.099461842462	(((((((((T + ((((_a1_ + T) + T) ** ((-((_a0_ / pow2(_a3_))) * _a2_) ** (pow3(T) * _a2_))) + _a0_)) + _a1_) * _a3_) / ((T * _a4_) * (_a4_ * (T * _a4_)))) / (_a4_ * pow2(pow2(_a4_)))) + _a1_) + _a3_) * _a1_) * _a2_)	{'Catalonia': {'_a0_': -8.862632816873923e-192, '_a1_': -0.0015568737736691549, '_a2_': 221644.69401739017, '_a3_': 7.529078033632478e-151, '_a4_': -7.011710693795114e-19}}	{'Catalonia': 0.03925704250041926}	-514.728679552108	128.2648779335924
57000	57000	-128.711878374467	(((((((((T + ((((_a1_ + T) + T) ** ((-((_a0_ / pow2(_a3_))) + _a1_) ** (pow3(T) * _a2_))) + _a0_)) + _a1_) * _a3_) / ((T * _a4_) * (_a4_ * (T * _a4_)))) / (_a4_ * pow2(pow2(_a4_)))) + _a1_) + _a0_) * _a1_) * _a2_)	{'Catalonia': {'_a0_': -8.071772752825725e-203, '_a1_': -0.0015568772172869876, '_a2_': 221690.73162096494, '_a3_': 4.978823039255719e-159, '_a4_': -6.658464688226249e-20}}	{'Catalonia': 0.039257047280495214}	-514.728666523412	128.6524548872388
22000	22000	-132.278473497097	(((((((((T + ((((_a1_ + T) + T) ** ((-((_a0_ / pow2(_a3_))) + _a1_) ** (pow3(T) * _a2_))) + _a4_)) + _a1_) * _a3_) / ((T * _a4_) * (_a4_ * (T * _a4_)))) / (_a4_ * pow2(_a4_))) + _a1_) + _a4_) * _a1_) * _a2_)	{'Catalonia': {'_a0_': -3.985354790826798e-147, '_a1_': -0.0015568736175706037, '_a2_': 221644.68999882627, '_a3_': 3.3913362351357223e-131, '_a4_': -1.1749972043811096e-21}}	{'Catalonia': 0.03925704250236283}	-514.728679546811	125.0858662763088
60000	60000	-128.711884818422	(((((((((T + ((((_a1_ + T) + T) ** ((-((_a0_ / pow2(_a3_))) + _a2_) ** (pow3(T) * _a2_))) + _a3_)) + _a1_) * _a3_) / ((T * _a4_) * (_a4_ * (T * _a4_)))) / (_a4_ * pow2(pow2(_a4_)))) + _a1_) + _a3_) * _a1_) * _a2_)	{'Catalonia': {'_a0_': -6.837989685889445e-203, '_a1_': -0.001556873836502183, '_a2_': 221644.7652611272, '_a3_': 4.4433850679727894e-159, '_a4_': -6.564406996048846e-20}}	{'Catalonia': 0.03925704255207201}	-514.728679411322	128.6524548872388
85000	85000	-128.576489557298	(((((((((T + ((((_a1_ + T) + T) ** ((-((_a0_ / pow2(_a3_))) / T) ** (pow3(T) * _a2_))) + _a0_)) + _a1_) * _a3_) / ((T * _a4_) * (_a4_ * (T * _a4_)))) / (_a4_ * pow2(pow2(_a4_)))) + _a1_) + _a0_) * _a1_) * _a2_)	{'Catalonia': {'_a0_': -4.0130468935895884e-206, '_a1_': -0.0015570018918803488, '_a2_': 221954.4582212139, '_a3_': 3.3763810203055086e-159, '_a4_': -6.343056156969374e-20}}	{'Catalonia': 0.03928891994673458}	-514.641828825814	128.7444248556094
21000	21000	-132.114539649466	(((((((((T + ((((_a1_ + T) + T) ** ((-((_a0_ / pow2(_a3_))) / T) ** (pow3(T) * _a2_))) + _a4_)) + _a1_) * _a3_) / ((T * _a4_) * (_a4_ * (T * _a4_)))) / (_a4_ * -(_a4_))) + _a1_) + _a3_) * _a1_) * _a2_)	{'Catalonia': {'_a0_': -2.4511884729766947e-141, '_a1_': -0.0015569840309282797, '_a2_': 222184.49473248425, '_a3_': 9.64602835318393e-127, '_a4_': -5.954923925707517e-25}}	{'Catalonia': 0.03928886119301276}	-514.64198883665	125.20645476885936
82000	82000	-128.576630121355	(((((((((T + ((((_a1_ + T) + T) ** ((-((_a0_ / pow2(_a3_))) / T) ** (pow3(T) * _a2_))) + _a4_)) + _a1_) * _a3_) / ((T * _a4_) * (_a4_ * (T * _a4_)))) / (_a4_ * pow2(pow2(_a4_)))) + _a1_) + _a0_) * _a1_) * _a2_)	{'Catalonia': {'_a0_': -4.173164882393059e-206, '_a1_': -0.0015569837741447362, '_a2_': 222186.5210943384, '_a3_': 3.9852403933701763e-159, '_a4_': -6.476061988700173e-20}}	{'Catalonia': 0.03928881672051524}	-514.642109953928	128.7444248556094
44000	44000	-128.481389317378	(((((((((T + ((((_a1_ + T) + T) ** ((-((_a0_ / pow2(_a3_))) / _a2_) ** (pow3(T) * _a2_))) + _a4_)) + _a1_) * _a3_) / ((T * _a4_) * (_a4_ * (T * _a4_)))) / (_a4_ * pow2(pow2(_a4_)))) + _a1_) + _a0_) * _a1_) * _a2_)	{'Catalonia': {'_a0_': -4.177815915326329e-201, '_a1_': -0.0015574819603430862, '_a2_': 228301.9215760082, '_a3_': 5.796357562251102e-159, '_a4_': -6.790501882081572e-20}}	{'Catalonia': 0.03935882104082462}	-514.451628345974	128.7444248556094
23000	23000	-123.092976728477	((((((((-(_a4_) * (((_a3_ * (_a3_ * P)) + _a1_) * ((pow2((_a3_ * _a3_)) * sqrt((_a3_ * T))) ** _a0_))) + (T ** pow2((sqrt(_a2_) * T)))) * pow2(_a1_)) * T) + T) + ((P / _a0_) + log(T))) + _a1_) + pow2(_a0_))	{'Catalonia': {'_a0_': 6.754700899587168, '_a1_': -40.232461556393076, '_a2_': 57707.38493767086, '_a3_': 141961384.9601373, '_a4_': 1.0190002140190862e-257}}	{'Catalonia': 0.03943307244417709}	-514.249960327624	134.03200343533453
45000	45000	-118.022485659532	(((((((_a1_ * (pow2(pow2((pow3(_a4_) * pow2(_a4_)))) / T)) * _a1_) * pow3((_a4_ / ((T / pow2(_a4_)) / pow3(_a4_))))) * (_a3_ * pow3((_a4_ * pow2(_a4_))))) * pow2(((sqrt(T) ** _a0_) + (_a4_ * (_a2_ ** T))))) + _a0_) / _a1_)	{'Catalonia': {'_a0_': -2.159782646225353, '_a1_': 102.68247988591415, '_a2_': 1.6378415816163723e-292, '_a3_': 7.53081905022241e-182, '_a4_': -3098.018309550184}}	{'Catalonia': 0.038957036396591295}	-515.549524366546	139.7522765237413
40000	40000	-111.069337261315	(((((((_a1_ * (pow2(pow2((pow3(_a4_) * pow2(_a4_)))) / T)) * pow2(_a4_)) * pow3((_a1_ / ((T / pow2(_a4_)) / pow3(_a4_))))) * (_a3_ * pow3((pow2(_a4_) * pow2(_a1_))))) * pow2(((sqrt(T) ** _a0_) + (_a4_ * (_a2_ ** T))))) + _a4_) + _a1_)	{'Catalonia': {'_a0_': -2.1590231820787738, '_a1_': 3089.532495446451, '_a2_': 1.9669976103409412e-292, '_a3_': 1.0158308810840991e-200, '_a4_': -3089.5535202168135}}	{'Catalonia': 0.03895702758538388}	-515.549548567548	146.70543702245914
