	t	H	expr	parvals	sse	bic	Hp
46000	46000	-134.521142819862	((((((((_a4_ ** P) ** exp(((log(_a4_) * (P * P)) / (_a3_ + (T * _a0_))))) * ((-(P) * _a2_) + (_a1_ * _a1_))) * _a4_) + _a1_) * _a3_) / pow2(_a1_)) / _a2_)	{'Croatia': {'_a0_': 606.5956214382777, '_a1_': 4261667673159.6265, '_a2_': 5.424105434154109e-13, '_a3_': -0.6841782949343995, '_a4_': 1.3910379321668613e-13}}	{'Croatia': 0.06316955142043217}	-463.829683826122	97.39369909319907
58000	58000	-102.960555140854	(((((((_a0_ * (pow2(_a3_) * (cos(pow3((T * _a4_))) ** _a3_))) * (_a3_ * (pow2(_a3_) * ((T + _a3_) * _a3_)))) * _a3_) * _a3_) + _a2_) * ((pow2(_a3_) * _a3_) * _a3_)) * _a3_)	{'Croatia': {'_a0_': 1.6752616349203691e-230, '_a2_': -7.602191014806493e-83, '_a3_': 2.2624592619316316e+16, '_a4_': 1.9459427821999078, '_a1_': 1.0}}	{'Croatia': 0.11693461823193284}	-402.612709132913	98.34579942560345
85000	85000	-94.2725676893191	(((((((_a4_ + _a0_) / _a3_) * ((_a0_ * _a4_) * (_a0_ ** T))) * exp(pow2(((pow2((_a2_ ** (pow2((pow2(T) + pow2(T))) * sqrt(_a4_)))) + cosh(T)) ** _a3_)))) / ((P / (_a0_ * -(_a2_))) / (_a1_ + P))) * _a0_) * _a3_)	{'Croatia': {'_a0_': 6.53294685171006e+71, '_a1_': -0.009720160254419902, '_a2_': 5.570526103472776e-307, '_a3_': -599270.8389697906, '_a4_': 2.9611200807343293e+18}}	{'Croatia': 0.06366606578827878}	-462.991948970412	137.22340679588703
21000	21000	-140.996655814888	((((((P / (P + _a2_)) + -((_a2_ / _a4_))) / T) * pow3((tanh((T * -(_a1_))) ** _a3_))) + (_a2_ * -(_a1_))) / _a4_)	{'Croatia': {'_a1_': -14278.26342251929, '_a2_': 0.055604266664163564, '_a3_': 2227434153004.945, '_a4_': -2706.958388312673, '_a0_': 1.0}}	{'Croatia': 0.07882189399369571}	-444.816094171344	81.41139127078364
33000	33000	-86.5331517424749	((((((_a0_ * -(P)) * ((_a0_ * _a4_) * (_a0_ ** T))) * exp(exp(((pow2((_a2_ ** (pow2((_a2_ + pow2(T))) * sqrt(_a4_)))) + cosh(T)) ** _a3_)))) / ((P / (_a0_ * -(_a2_))) * (pow2(_a1_) * (P ** _a1_)))) * _a0_) * _a3_)	{'Croatia': {'_a0_': 1.2914748516250474e+68, '_a1_': -0.14450670615772504, '_a2_': 1.3705039540779024e-301, '_a3_': -1433983.140821766, '_a4_': 5.196711523802326e+19}}	{'Croatia': 0.06667024360701215}	-458.058496857543	142.49609668629654
51000	51000	-126.52265302193	((((((_a0_ ** ((T * (_a3_ * T)) ** _a1_)) * -(_a4_)) + _a2_) * sqrt(((pow2(_a4_) * _a3_) * (-(_a4_) * _a0_)))) * _a3_) * _a3_)	{'Croatia': {'_a0_': 4.6953385367950956e-61, '_a1_': 268.32003776846636, '_a2_': -2062350.370330009, '_a3_': 782626.7444898331, '_a4_': -696407.8816354446}}	{'Croatia': 0.11739206419488157}	-397.522114982893	72.23840446951637
40000	40000	-84.7502493490865	((((((_a0_ / -(_a1_)) * ((_a0_ * _a4_) * (_a0_ ** T))) * exp(pow2(((pow2((_a2_ ** (pow2((pow2(T) + pow2(T))) * sqrt(_a4_)))) + cosh(T)) ** _a3_)))) / ((P / (_a0_ * -(_a2_))) / (P ** (P ** -(_a1_))))) * _a0_) * _a3_)	{'Croatia': {'_a0_': 2.1608527005279876e+69, '_a1_': 0.027772584024180442, '_a2_': 1.8747769189769916e-304, '_a3_': -615948.309138002, '_a4_': 3.436168442698893e+18}}	{'Croatia': 0.06467332124099291}	-461.312362540783	145.90593192130495
70000	70000	-91.6627005301079	((((((_a0_ / _a3_) * ((_a0_ * _a4_) * (((_a4_ * _a0_) + _a4_) ** T))) * exp(pow2(((pow2((_a2_ ** (pow2((pow2(T) + pow2(T))) * sqrt(_a4_)))) + cosh(T)) ** _a3_)))) / ((P / (_a0_ * -(_a2_))) / (P + _a1_))) * _a0_) * _a3_)	{'Croatia': {'_a0_': 7.504365474805004e+71, '_a1_': -0.00846826584593441, '_a2_': 2.8457398562605803e-307, '_a3_': -649318.7634816149, '_a4_': 3.1283560238368077e+18}}	{'Croatia': 0.06084532201636325}	-467.84084253374	142.25772073676245
90000	90000	-96.7452972631918	((((((_a0_ / _a3_) * ((_a0_ * _a4_) * (_a0_ ** T))) * exp(pow3(((pow2((_a2_ ** (pow2((pow2(T) + pow2(T))) * sqrt(_a4_)))) + cosh(T)) ** _a3_)))) / ((P / (_a0_ * -(_a2_))) / (_a1_ + P))) * _a0_) * _a3_)	{'Croatia': {'_a0_': 6.40581041842528e+71, '_a1_': -0.009720159381650183, '_a2_': 6.027102656270749e-307, '_a3_': -399430.2230302138, '_a4_': 2.9606007733246095e+18}}	{'Croatia': 0.06366979758425659}	-462.985677333197	134.747541403407
35000	35000	-86.0061351649733	((((((_a0_ / log(_a1_)) * ((_a0_ * _a4_) * (_a0_ ** T))) * exp(exp(((pow2((_a2_ ** (pow2((_a2_ + pow2(T))) * sqrt(_a4_)))) + cosh(T)) ** _a3_)))) / ((P / (_a0_ * -(_a2_))) / (P ** (P ** -(_a1_))))) * _a0_) * _a3_)	{'Croatia': {'_a0_': 8.647331720601881e+68, '_a1_': 0.031196932102427632, '_a2_': 1.0354182034971183e-302, '_a3_': -1412211.1734231093, '_a4_': 4.9936969654879494e+19}}	{'Croatia': 0.0635382910191655}	-463.206908665764	145.59731916790864
28000	28000	-107.473211352363	((((((_a1_ * ((_a4_ + -(P)) + -((log(_a4_) ** exp(abs((pow2(T) * _a1_))))))) * _a2_) + (_a0_ * (_a1_ * (((_a3_ * -((P * T))) ** P) + _a0_)))) * (_a1_ / _a3_)) / pow2(_a3_)) / _a3_)	{'Croatia': {'_a0_': 5.581322297642794e-213, '_a1_': 12453966.477536919, '_a2_': -1.086856224602786e-214, '_a3_': -1.7400302263608992e-50, '_a4_': 2.7182811630128376}}	{'Croatia': 0.06829577675967502}	-455.48095241052	120.26726485289696
30000	30000	-111.221339287334	((((((_a1_ * ((_a4_ + -(P)) + -((log(_a4_) ** exp(pow2((pow2(T) * _a1_))))))) * _a2_) + (_a0_ * ((P * _a4_) * (((_a3_ * _a3_) ** P) + _a3_)))) * (_a1_ / _a3_)) / pow2(-(_a3_))) / _a3_)	{'Croatia': {'_a0_': -2.3486969909496199e-172, '_a1_': 3112548.174937936, '_a2_': 1.1555800402344961e-182, '_a3_': -8.835897813683088e-43, '_a4_': 2.7182811316481916}}	{'Croatia': 0.06769061124547407}	-456.433299751062	116.995310588197
22000	22000	-115.311134795152	((((((_a1_ * ((_a4_ + -(P)) + -((log(_a4_) ** exp(pow2((pow2(T) * _a1_))))))) * _a2_) + (_a0_ * (_a3_ * (((_a3_ * _a3_) ** P) + _a2_)))) * (_a1_ / _a3_)) / pow2(_a3_)) / _a3_)	{'Croatia': {'_a0_': -3.872498996743139e-174, '_a1_': 3138679.233478468, '_a2_': -3.385938255784476e-241, '_a3_': -2.0664332004045732e-57, '_a4_': 2.718281314395609}}	{'Croatia': 0.073506462677877}	-447.613734721981	108.4957325658382
25000	25000	-110.520071278073	((((((_a1_ * ((_a4_ + -(P)) + -((log(_a4_) ** exp(pow3((pow2(T) * _a1_))))))) * _a2_) + (_a0_ * (T * (((_a3_ * -(P)) ** P) + _a3_)))) * (_a1_ / (_a3_ + _a0_))) / pow2(_a3_)) / _a3_)	{'Croatia': {'_a0_': 1.866791295183664e-218, '_a1_': 1985709.266658423, '_a2_': -2.0836131150038858e-229, '_a3_': -1.4537849797204692e-54, '_a4_': 2.7182813408222772}}	{'Croatia': 0.0645509627610619}	-461.514992586156	120.23742501500448
